# mse trained on AR-SLu
site,mse
AR-SLu,1.526445865481254e-05
AT-Neu,0.0052682768886681405
AU-ASM,0.00841218844947804
AU-Cpr,0.0016968215055962054
AU-Cum,0.002080736883182781
AU-DaP,0.00012992230539881906
AU-DaS,0.001071988241076057
AU-Dry,6.508151061858585e-05
AU-Emr,0.00024808674462708217
AU-GWW,0.0005423265008094215
AU-Gin,0.000725937027691832
AU-How,0.00039101491141459627
AU-Lox,0.000575615104659084
AU-RDF,0.0007715097822872562
AU-Rig,0.0005171797685433597
AU-Rob,0.0004477005233577383
AU-Stp,0.00010088403233558246
AU-TTE,0.00021478155876251723
AU-Wac,0.002634281572777406
AU-Whr,0.0008356937629588016
AU-Wom,0.0006670958190060813
AU-Ync,0.0003523636724539365
BE-Bra,0.0006493608779929245
BE-Dor,0.0004835655229526012
BE-Lcr,0.0009308285508119032
BE-Lon,0.0027197076958881657
BE-Maa,0.00040783292529423013
BE-Vie,0.001152689564832107
BR-Npw,0.0005784199601314153
BR-Sa3,0.0015290124343818059
CA-ARB,0.001786802393077603
CA-ARF,0.0023873701545992494
CA-DB2,0.0015312865436261898
CA-DBB,0.0021785193122269148
CA-Gro,0.0005532157194393887
CA-LP1,0.00042773786441751963
CA-NS1,0.0014981382089686857
CA-NS2,0.002611523489211491
CA-NS3,0.0003509314460749585
CA-NS4,0.0010973462838540058
CA-NS5,0.0023161652808476765
CA-NS6,0.005842759567007108
CA-NS7,0.0007240364748550682
CA-Oas,0.001986123639122079
CA-Obs,0.005497294662710055
CA-Qfo,0.0019431275670614265
CA-SF1,0.0016564808523558683
CA-SF2,0.003183234326282281
CA-SF3,0.0005332593322124957
CA-TP1,0.0012727833304619256
CA-TP4,0.006462137402024332
CA-TPD,0.00254918970086067
CH-Aws,0.0005506685424602252
CH-Cha,0.0011574783130195783
CH-Dav,0.00145021296362043
CH-Fru,0.001976040697460944
CH-Lae,0.0014882049251842984
CH-Oe1,0.0007821573887243077
CH-Oe2,0.0005069217745607498
CN-Cha,0.0010040631144635364
CN-Cng,0.0010397744047557402
CN-Dan,0.002549963505968175
CN-Din,0.00024324214254688043
CN-Du2,0.0045962702650168405
CN-Du3,0.0022971942012293216
CN-Ha2,0.005054010821182002
CN-HaM,0.0006678669383975535
CN-Qia,0.0009529578532263169
CN-Sw2,0.0006685124569693604
CZ-BK1,0.0003155529750666894
CZ-BK2,0.007767641590916328
CZ-KrP,9.962792484579616e-05
CZ-Lnz,0.00016244131093041367
CZ-RAJ,0.0007255438519114605
CZ-Stn,9.755633136783984e-05
CZ-wet,0.0008163470411379301
DE-Geb,0.00038035114583693207
DE-Gri,0.0051539757219375626
DE-Hai,7.746418047711978e-05
DE-HoH,0.0002643012687856277
DE-Hte,0.002835481233344354
DE-Hzd,0.00048415064673366546
DE-Kli,0.0008609884397455926
DE-Lkb,0.00280082433411352
DE-Obe,0.0011632389157891546
DE-RuR,0.002008155083679999
DE-RuS,7.664891737267823e-05
DE-RuW,0.0024086660785240734
DE-Seh,0.0016051547559858797
