cluster,mse,rmse,r2,relative_error,mae
0,0.0006953362608328,0.0263692294319126,0.3496602773666382,0.0323633030056953,0.0171962287276983
1,0.0008539472473785,0.0292223757996937,0.1863040924072265,0.0353066399693489,0.0186673123389482
2,0.0005908272578381,0.0243069384711053,0.2912957072257995,0.0328567177057266,0.0170231573283672
3,0.0007749944925308,0.0278387228969078,0.4565789699554443,0.037550363689661,0.0199059899896383
4,0.0009695430635474,0.0311374864680414,-0.1309798955917358,0.040560495108366,0.0209751352667808
5,0.0009898531716316,0.0314619321026489,0.4385533332824707,0.0381279848515987,0.0207365453243255
6,0.0008838977082632,0.0297304172231613,0.3183774352073669,0.0364969447255134,0.0195718556642532
7,0.0007109849248081,0.0266643005685156,-3.147517204284668,0.0361542664468288,0.018274113535881
8,0.0008704533684067,0.0295034467207942,0.4619253277778625,0.046501200646162,0.0207177940756082
9,0.0008654501871205,0.0294185347548205,0.257642388343811,0.0356369689106941,0.0189301576465368
