site_id,mse,rmse,r2,relative_error,mae
AR-SLu,0.0007857693126425,0.0280315770630643,0.6284734010696411,0.0329434722661972,0.0189568921923637
AT-Neu,0.0016018707538023,0.0400233775911324,0.47630375623703,0.0445998832583427,0.025509001687169
AU-ASM,0.000546584080439,0.0233791377180395,-5.669264793395996,0.0357532985508441,0.0180578716099262
AU-Cpr,0.0003289762535132,0.018137702542308,-1.781306505203247,0.025040965527296,0.0127522237598896
AU-Cum,0.0004222397692501,0.0205484736476983,0.2665612697601318,0.028627960011363,0.0147899342700839
AU-DaP,0.0007674716762267,0.0277032791601771,0.465075135231018,0.038976777344942,0.020505079999566
AU-DaS,0.0003212218580301,0.0179226632515981,0.6584941148757935,0.0237225387245416,0.0125564290210604
AU-Dry,0.000308935646899,0.0175765652759304,0.3988353610038757,0.0235602408647537,0.0122143505141139
AU-Emr,0.0005110079655423,0.0226054852976523,-1.7115025520324707,0.0297612883150577,0.0151315247640013
AU-GWW,0.0003759344108402,0.019389028104582,-4.425973415374756,0.0278709139674901,0.0142057510092854
AU-Gin,0.0001913849555421,0.0138341951533929,0.530231773853302,0.018892329186201,0.0098390150815248
AU-How,0.0004915424506179,0.0221707566541604,0.6545374393463135,0.0304459314793348,0.0162689853459596
AU-Lox,0.0012159609468653,0.0348706315811081,0.5101121664047241,0.0382046848535537,0.0224565602838993
AU-RDF,0.0007382475305348,0.0271707108949115,-0.390479564666748,0.0367883592844009,0.0186031758785247
AU-Rig,0.0004979202058166,0.0223141257013719,0.3170378804206848,0.0304905232042074,0.0158608760684728
AU-Rob,0.0007377589936368,0.0271617192687947,0.495500385761261,0.0446960218250751,0.0231337677687406
AU-Stp,0.0005594880203716,0.0236534991147535,-2.0684292316436768,0.0343205146491527,0.0173600502312183
AU-TTE,0.0007317657000385,0.0270511681825115,-17.68461036682129,0.0440431535243988,0.0219934377819299
AU-Wac,0.0013392855180427,0.0365962500543804,0.3364861011505127,0.0437341257929801,0.0233516972512006
AU-Whr,0.0001390890101902,0.0117936003913231,0.7238066792488098,0.0168513357639312,0.0087720658630132
AU-Wom,0.000379447825253,0.0194794205574244,0.7290118336677551,0.0297301020473241,0.0159050859510898
AU-Ync,0.0006404494051821,0.0253071018724419,-5.572037696838379,0.0370578169822692,0.0185971986502408
BE-Bra,0.0008721317863091,0.0295318774599445,0.2603824734687805,0.0367141254246234,0.0193283688277006
BE-Dor,0.0008467460866086,0.0290989018110412,0.5788892507553101,0.0336225368082523,0.019096203148365
BE-Lcr,0.0011298506287857,0.033613250791701,0.4578630924224853,0.0361228547990322,0.0204459559172391
BE-Lon,0.0010148909641429,0.0318573533763082,0.3720542788505554,0.0346616245806217,0.019068481400609
BE-Maa,0.0005841429810971,0.0241690500660886,-2.663137435913086,0.0312367994338274,0.015969980508089
BE-Vie,0.0012773126363754,0.0357395108580885,0.0749400854110717,0.0451417155563831,0.0242366697639226
BR-Npw,0.0012151513947173,0.0348590217119958,0.464642584323883,0.0479749515652656,0.0252999011427164
BR-Sa3,0.0016272836364805,0.0403396038215618,0.5000724792480469,0.0595737844705581,0.0324345417320728
CA-ARB,0.0003920258895959,0.0197996436734596,-2.971264123916626,0.030693270266056,0.0155983511358499
CA-ARF,0.0003802667488344,0.0195004294525633,-0.9073117971420288,0.0291064213961362,0.0147846080362796
CA-DB2,0.0004627589951269,0.0215118338392367,-3.237018585205078,0.0315446108579635,0.0160474255681037
CA-DBB,0.0005970812053419,0.0244352451459355,-3.987563133239746,0.0362370200455188,0.0184022057801485
CA-Gro,0.0004442432255018,0.0210770782012557,0.4173234105110168,0.0311916600912809,0.0161154493689537
CA-LP1,0.0002941532584372,0.0171508967239993,-0.305243968963623,0.0270632952451705,0.0137732475996017
CA-NS1,0.0003388368058949,0.018407520362476,0.1660505533218383,0.0294774565845727,0.0149690601974725
CA-NS2,0.0003539356112014,0.0188131765313954,-0.0258662700653076,0.0293109267950058,0.0149178933352231
CA-NS3,0.0037297878880053,0.061071989389616,-13.018091201782228,0.0859840810298919,0.0437003225088119
CA-NS4,0.0019904838409274,0.0446148387975063,-8.943025588989258,0.0554442405700683,0.0279952026903629
CA-NS5,0.0004042765649501,0.0201066298754943,0.0721160173416137,0.0318828858435153,0.0161789786070585
CA-NS6,0.0003989422984886,0.0199735399588728,-1.1516392230987549,0.0333144031465053,0.0168549604713916
CA-NS7,0.0005930148181505,0.0243518955761261,-2.0151126384735107,0.0355800241231918,0.0180145986378192
CA-Oas,0.0017304811626672,0.0415990524251127,-0.5620745420455933,0.0598596781492233,0.0312472339719533
CA-Obs,0.000492773076985,0.0221984926737161,-0.1982795000076294,0.0314178876578807,0.0160452164709568
CA-Qfo,0.0002475891960784,0.0157349673046523,0.1082163453102111,0.0241925399750471,0.0123166209086775
CA-SF1,0.0003387518809176,0.018405213416793,0.6696139574050903,0.0263941418379545,0.0139154763892292
CA-SF2,0.001264359219931,0.0355578292353606,0.2987474203109741,0.0433627888560295,0.0237052105367183
CA-SF3,0.0008710632100701,0.0295137800030787,-1.4213523864746094,0.0394683219492435,0.020334105938673
CA-TP1,0.0004499186761677,0.0212112865278777,0.3580173850059509,0.0296275522559881,0.0153189580887556
CA-TP4,0.0004876782768405,0.0220834389722388,0.625249981880188,0.0311592854559421,0.0164578668773174
CA-TPD,0.000746518780943,0.0273224958768961,0.4942588806152344,0.0368565134704113,0.0195005312561988
CH-Aws,0.0010324280010536,0.0321314176633031,0.4994184374809265,0.038503773510456,0.0210844110697507
CH-Cha,0.0019509398844093,0.044169445144911,0.3785866498947143,0.0512274429202079,0.0290604699403047
CH-Dav,0.0009167601820081,0.0302780478566262,0.1379661560058593,0.0389345958828926,0.0202333088964223
CH-Fru,0.0010184958809986,0.0319138822614653,0.5616894960403442,0.0393981225788593,0.0218746587634086
CH-Lae,0.0017253854312002,0.0415377591018132,0.2752014398574829,0.0518182553350925,0.0269179567694664
CH-Oe1,0.0008835666230879,0.0297248485797316,0.5297422409057617,0.0322648845613002,0.018289590254426
CH-Oe2,0.0009633594891056,0.0310380329451729,0.3769818544387817,0.0361163429915905,0.0195231027901172
CN-Cha,0.0006861048168502,0.0261936025939593,0.5649199485778809,0.0368805639445781,0.0198077894747257
CN-Cng,0.0003815561940427,0.0195334634420726,-0.4063528776168823,0.0318047031760215,0.0161558855324983
CN-Dan,0.0005283078062348,0.0229849473837728,-6.850618839263916,0.0395664721727371,0.019974572584033
CN-Din,0.000484781427076,0.0220177525437108,0.4139746427536011,0.0362595506012439,0.018663628026843
