site_id,mse,rmse
AR-SLu,0.0034546148963272,0.058775972100232
AT-Neu,0.0037305846344679,0.0610785120518497
AU-ASM,0.0024869034532457,0.0498688625621816
AU-Cpr,0.0194006264209747,0.1392861314739365
AU-Cum,0.0033951476216316,0.0582678952909028
AU-DaP,0.0058714700862765,0.0766255185057597
AU-DaS,0.0059562567621469,0.0771767890116384
AU-Dry,0.0054867672733962,0.0740727161200144
AU-Emr,0.0077560357749462,0.0880683585344146
AU-GWW,0.00534622464329,0.0731178818298919
AU-Gin,0.007757413201034,0.0880761783970789
AU-How,0.0025552548468112,0.0505495286507331
AU-Lox,0.006346552632749,0.0796652536100217
AU-RDF,0.0080674858763813,0.0898191843448903
AU-Rig,0.0132424253970384,0.1150757376558519
AU-Rob,0.007971336133778,0.0892823394282323
AU-Stp,0.0051215956918895,0.0715653246474123
AU-TTE,0.0027157722506672,0.0521130717830681
AU-Wac,0.0126607213169336,0.1125198707648281
AU-Whr,0.0032526650466024,0.0570321404701111
AU-Wom,0.0048764790408313,0.0698317910469961
AU-Ync,0.0041821436025202,0.0646694951466317
BE-Bra,0.0015160962939262,0.0389370812199147
BE-Dor,0.0026418108027428,0.051398548644323
BE-Lcr,0.0036662451457232,0.0605495263872742
BE-Lon,0.0057177008129656,0.0756154799823794
BE-Maa,0.004400345031172,0.0663350965264394
BE-Vie,0.004299474414438,0.0655703775682129
BR-Npw,0.004169622901827,0.0645726172756463
BR-Sa3,0.0074471845291554,0.0862970713822635
CA-ARB,0.005826286971569,0.0763301183778006
CA-ARF,0.005643518641591,0.0751233561656497
CA-DB2,0.0016708568437024,0.0408761158098772
CA-DBB,0.0064182011410593,0.0801136763671434
CA-Gro,0.0025206254795193,0.0502058311306502
CA-LP1,0.005841732956469,0.0764312302430692
CA-NS1,0.0046901549212634,0.068484705747075
CA-NS2,0.0046981186605989,0.0685428235528636
CA-NS3,0.0060827075503766,0.0779917146264694
CA-NS4,0.0047824317589402,0.0691551282186666
CA-NS5,0.0054278685711324,0.0736740698694759
CA-NS6,0.0068148970603942,0.0825523897921452
CA-NS7,0.0044133951887488,0.0664333891108141
CA-Oas,0.0057181986048817,0.0756187715113235
CA-Obs,0.0057732951827347,0.0759822030658148
CA-Qfo,0.0025460526812821,0.0504584252754895
CA-SF1,0.0040255119092762,0.0634469219842558
CA-SF2,0.0366547554731369,0.1914543169352336
CA-SF3,0.0050786477513611,0.0712646318404938
CA-TP1,0.0059194881469011,0.0769382099278448
CA-TP4,0.0064713978208601,0.0804449987311837
CA-TPD,0.0038951821625232,0.0624113944926987
CH-Aws,0.0032054346520453,0.0566165581084312
CH-Cha,0.0047545623965561,0.0689533349197567
CH-Dav,0.0010371642420068,0.0322050344202088
CH-Fru,0.003522171638906,0.0593478865580401
CH-Lae,0.0025032432749867,0.0500324222378523
CH-Oe1,0.0075117852538824,0.0866705558646211
CH-Oe2,0.0031870296224951,0.056453783066285
CN-Cha,0.0094149904325604,0.0970308736050564
CN-Cng,0.0055089793168008,0.0742224987237753
CN-Dan,0.0060962252318859,0.0780783275428329
CN-Din,0.0051016551442444,0.0714258716729759
CN-Du2,0.008024956099689,0.0895821193078675
CN-Du3,0.0118893291801214,0.1090382005543076
CN-Ha2,0.011825792491436,0.108746459673113
CN-HaM,0.0201840698719024,0.1420706509871143
CN-Qia,0.0047099627554416,0.0686291684012101
CN-Sw2,0.0378916971385479,0.1946578977040179
CZ-BK1,0.0036190745886415,0.0601587449058033
CZ-BK2,0.0046737445518374,0.0683647902932309
CZ-KrP,0.0041395239531993,0.0643391323628115
CZ-Lnz,0.0039694961160421,0.0630039373058711
CZ-RAJ,0.0042715305462479,0.0653569471919241
CZ-Stn,0.0026429493445903,0.0514096230738011
CZ-wet,0.0046847034245729,0.0684448933418187
DE-Geb,0.0027359093073755,0.0523059203855122
DE-Gri,0.003676600055769,0.0606349738663181
DE-Hai,0.00515739293769,0.0718149910373176
DE-HoH,0.0046755098737776,0.0683777001205629
DE-Hte,0.0038973854389041,0.0624290432323303
DE-Hzd,0.0068757692351937,0.0829202582918898
DE-Kli,0.0030201005283743,0.0549554412990589
DE-Lkb,0.0053071910515427,0.0728504704963719
DE-Lnf,0.0046614990569651,0.0682751715996753
DE-Obe,0.0035592357162386,0.0596593305044451
DE-RuR,0.0043469597585499,0.0659314777519048
DE-RuS,0.0054364874958992,0.0737325402783547
DE-RuW,0.0029441812075674,0.0542603096891959
