site_id,mse,rmse,r2,relative_error,mae
AR-SLu,0.0034546148963272,0.058775972100232,0.926610231399536,0.1656541377305984,0.0395664758980274
AT-Neu,0.0037305846344679,0.0610785120518497,0.7295544147491455,0.1172084510326385,0.0446514077484607
AU-ASM,0.0024869034532457,0.0498688625621816,0.2461029291152954,0.1971485614776611,0.0404772348701953
AU-Cpr,0.0194006264209747,0.1392861314739365,-17.138612747192383,0.2776033878326416,0.1181584596633911
AU-Cum,0.0033951476216316,0.0582678952909028,-0.8871790170669556,0.1444639414548874,0.0479906611144542
AU-DaP,0.0058714700862765,0.0766255185057597,0.4060496687889099,0.2151029706001281,0.0625634938478469
AU-DaS,0.0059562567621469,0.0771767890116384,-0.9979991912841796,0.1251972019672393,0.0612382218241691
AU-Dry,0.0054867672733962,0.0740727161200144,0.2490279674530029,0.1447903215885162,0.0595050454139709
AU-Emr,0.0077560357749462,0.0880683585344146,-0.6223956346511841,0.1669160276651382,0.0663970336318016
AU-GWW,0.00534622464329,0.0731178818298919,0.4171887636184692,0.1296153962612152,0.0563152618706226
AU-Gin,0.007757413201034,0.0880761783970789,0.8031104803085327,0.1386377215385437,0.0608223937451839
AU-How,0.0025552548468112,0.0505495286507331,0.4538560509681701,0.0945539250969886,0.0401698425412178
AU-Lox,0.006346552632749,0.0796652536100217,-1.1050019264221191,0.4454192519187927,0.0721798688173294
AU-RDF,0.0080674858763813,0.0898191843448903,-13.92523956298828,0.2269400060176849,0.0740426331758499
AU-Rig,0.0132424253970384,0.1150757376558519,0.4402618408203125,0.4555282294750213,0.0954021662473678
AU-Rob,0.007971336133778,0.0892823394282323,0.4516772627830505,0.1638289242982864,0.0655698478221893
AU-Stp,0.0051215956918895,0.0715653246474123,0.1171563267707824,0.184546947479248,0.0567457936704158
AU-TTE,0.0027157722506672,0.0521130717830681,-0.5736914873123169,0.179523155093193,0.0406243056058883
AU-Wac,0.0126607213169336,0.1125198707648281,-1.3978240489959717,0.2192882448434829,0.0902906954288482
AU-Whr,0.0032526650466024,0.0570321404701111,0.5743542313575745,0.1531698256731033,0.0465476922690868
AU-Wom,0.0048764790408313,0.0698317910469961,0.8093056678771973,0.1430808752775192,0.0516749210655689
AU-Ync,0.0041821436025202,0.0646694951466317,-2.414149045944214,0.157017096877098,0.0484535470604896
BE-Bra,0.0015160962939262,0.0389370812199147,0.5594050884246826,0.1107337772846221,0.0251106172800064
BE-Dor,0.0026418108027428,0.051398548644323,0.8001500368118286,0.0917184054851532,0.0343586690723896
BE-Lcr,0.0036662451457232,0.0605495263872742,0.6518222689628601,0.1093432009220123,0.0454121641814708
BE-Lon,0.0057177008129656,0.0756154799823794,0.5203050374984741,0.3216404914855957,0.0461487881839275
BE-Maa,0.004400345031172,0.0663350965264394,0.5840122699737549,0.0951371490955352,0.0483708493411541
BE-Vie,0.004299474414438,0.0655703775682129,0.6186360120773315,0.1353914886713028,0.0496902428567409
BR-Npw,0.004169622901827,0.0645726172756463,0.4712307453155517,0.1465855091810226,0.0406256951391696
BR-Sa3,0.0074471845291554,0.0862970713822635,0.704371988773346,0.1629917919635772,0.0582979023456573
CA-ARB,0.005826286971569,0.0763301183778006,0.6089454889297485,0.3184382617473602,0.0553197190165519
CA-ARF,0.005643518641591,0.0751233561656497,0.6510003805160522,0.2559724450111389,0.0583420172333717
CA-DB2,0.0016708568437024,0.0408761158098772,-11.637150764465332,0.0776656419038772,0.0317313037812709
CA-DBB,0.0064182011410593,0.0801136763671434,-52.70652770996094,0.1292163282632827,0.0518474988639354
CA-Gro,0.0025206254795193,0.0502058311306502,0.5069535374641418,0.113867238163948,0.0382719226181507
CA-LP1,0.005841732956469,0.0764312302430692,0.3830152153968811,0.1456006467342376,0.0559771619737148
CA-NS1,0.0046901549212634,0.068484705747075,0.6630735397338867,0.1126355975866317,0.0516665652394294
CA-NS2,0.0046981186605989,0.0685428235528636,0.5731967091560364,0.151652842760086,0.0538507439196109
CA-NS3,0.0060827075503766,0.0779917146264694,0.2318416237831115,0.2142190188169479,0.0637257769703865
CA-NS4,0.0047824317589402,0.0691551282186666,0.3585516810417175,0.1055132299661636,0.0537580661475658
CA-NS5,0.0054278685711324,0.0736740698694759,0.700292706489563,0.1774131506681442,0.056725300848484
CA-NS6,0.0068148970603942,0.0825523897921452,0.6437429785728455,0.2577251195907593,0.0592679567635059
CA-NS7,0.0044133951887488,0.0664333891108141,0.4537811279296875,0.1719760298728943,0.0537989847362041
CA-Oas,0.0057181986048817,0.0756187715113235,0.6092180609703064,0.2611882984638214,0.0592958629131317
CA-Obs,0.0057732951827347,0.0759822030658148,0.7089634537696838,0.1927153021097183,0.0566599033772945
CA-Qfo,0.0025460526812821,0.0504584252754895,0.5857731103897095,0.0699091032147407,0.0369507037103176
CA-SF1,0.0040255119092762,0.0634469219842558,0.76298987865448,0.1217996627092361,0.0507649779319763
CA-SF2,0.0366547554731369,0.1914543169352336,-1.338508367538452,0.2903493046760559,0.1332046538591385
CA-SF3,0.0050786477513611,0.0712646318404938,-0.3134599924087524,0.1058554649353027,0.0520955696702003
CA-TP1,0.0059194881469011,0.0769382099278448,0.5433292388916016,0.1090354323387146,0.0560111813247203
CA-TP4,0.0064713978208601,0.0804449987311837,0.4526468515396118,0.1399271935224533,0.0626304149627685
CA-TPD,0.0038951821625232,0.0624113944926987,0.6465066075325012,0.1289417743682861,0.0481214970350265
CH-Aws,0.0032054346520453,0.0566165581084312,0.6029565334320068,0.0886335223913192,0.04341571778059
CH-Cha,0.0047545623965561,0.0689533349197567,0.5918349623680115,0.1247550621628761,0.0488382205367088
CH-Dav,0.0010371642420068,0.0322050344202088,0.2952954173088074,0.0538859218358993,0.0253357794135808
CH-Fru,0.003522171638906,0.0593478865580401,0.6227178573608398,0.1024447083473205,0.039789792150259
CH-Lae,0.0025032432749867,0.0500324222378523,0.4698513746261596,0.0959843769669532,0.0375488959252834
CH-Oe1,0.0075117852538824,0.0866705558646211,0.4230148196220398,0.2036312222480774,0.0561387613415718
CH-Oe2,0.0031870296224951,0.056453783066285,0.2867059707641601,0.0904144048690795,0.0401902310550212
CN-Cha,0.0094149904325604,0.0970308736050564,0.5483051538467407,0.2712349593639374,0.0807359218597412
CN-Cng,0.0055089793168008,0.0742224987237753,0.3354799151420593,0.2863166630268097,0.0572386085987091
CN-Dan,0.0060962252318859,0.0780783275428329,0.4337810277938843,0.238058790564537,0.0629080832004547
CN-Din,0.0051016551442444,0.0714258716729759,0.8179894685745239,0.1656798124313354,0.0535185150802135
CN-Du2,0.008024956099689,0.0895821193078675,-0.5720556974411011,0.2348411828279495,0.0722963809967041
CN-Du3,0.0118893291801214,0.1090382005543076,-2.6914021968841557,0.271950900554657,0.0892369598150253
CN-Ha2,0.011825792491436,0.108746459673113,0.6234402656555176,0.2815442979335785,0.0809791386127471
CN-HaM,0.0201840698719024,0.1420706509871143,0.000851035118103,0.5064562559127808,0.1170914024114608
CN-Qia,0.0047099627554416,0.0686291684012101,0.710442066192627,0.1628418713808059,0.0534876100718975
CN-Sw2,0.0378916971385479,0.1946578977040179,-21.209932327270508,0.3733229637145996,0.1676293909549713
CZ-BK1,0.0036190745886415,0.0601587449058033,0.5904066562652588,0.0998599082231521,0.0468039400875568
CZ-BK2,0.0046737445518374,0.0683647902932309,0.5854576230049133,0.2804459035396576,0.0497435703873634
CZ-KrP,0.0041395239531993,0.0643391323628115,0.5142308473587036,0.0834296345710754,0.0433024540543556
CZ-Lnz,0.0039694961160421,0.0630039373058711,0.6770092248916626,0.1434046030044555,0.050559040158987
