group_left_out,mse,R2,Relative Error,MAE,RMSE
0,0.0002786548,0.7415259480476379,3.1598113,0.008512628,0.016692957
1,0.0003818616,0.6391372084617615,4.244128,0.01038341,0.01954128
2,0.00023288467,0.7229549288749695,2.121698,0.00799042,0.0152605595
3,0.0003328062,0.7685621976852417,2.440562,0.009199219,0.018242978
4,0.00018013077,0.7916082143783569,2.2545402,0.0072993655,0.01342128
5,0.0004846338,0.727380633354187,10.030533,0.011920657,0.0220144
6,0.00034761845,0.7341419458389282,inf,0.00975683,0.018644528
7,6.830203e-05,0.6048458218574524,2.0369217,0.004401848,0.008264504
8,0.00046621903,0.7145949602127075,3.2056198,0.011846324,0.021592107
9,0.00029885038,0.7457681894302368,2.4051507,0.00863076,0.01728729
