group_left_out,mse,r2,relative_error,mae,rmse
2,0.00034842503,0.585506021976471,0.02162134,0.0115934685,0.018666146
5,0.0009308664,0.4763638377189636,0.036691673,0.020256821,0.030510103
0,0.0006763877,0.37259840965270996,0.02733706,0.015070259,0.026007455
9,0.00049169734,0.581714391708374,0.022267897,0.012313483,0.02217425
8,0.0007552631,0.5376526117324829,0.032278735,0.015322769,0.02748205
6,0.0006748723,0.4838598370552063,0.027247386,0.015092479,0.025978304
7,0.000104952436,0.3928099274635315,0.013005924,0.0067064594,0.010244629
4,0.00055024185,0.3634331226348877,0.031501547,0.016703645,0.023457235
1,0.00088631763,0.16242408752441406,0.02999084,0.01657568,0.029771088
3,0.0009102724,0.3669874668121338,0.035222936,0.019051177,0.030170722
