GroupLeftOut,MSE,RMSE,R2,MAE
1,0.00036143928,0.019011557,0.6356433629989624,0.009958653
2,0.0006109125,0.024716644,0.634616494178772,0.012856738
3,0.00035774795,0.018914226,0.7039300203323364,0.0105383815
4,0.0004675063,0.021621894,0.6607064604759216,0.011352435
5,0.00024468164,0.015642302,0.7114032506942749,0.008763333
6,0.00042072704,0.02051163,0.6343675851821899,0.011395632
7,0.00044332774,0.02105535,0.6201131343841553,0.010629298
8,0.0003050567,0.017465873,0.7250367403030396,0.009702489
9,0.0002755909,0.016600931,0.7523508071899414,0.009307078
10,0.00040884904,0.020220015,0.7096391916275024,0.010726263
