GroupLeftOut,MSE,RMSE,R2,MAE
1,0.00027165512,0.016481964,0.7533552050590515,0.008762596
2,0.00043806116,0.02092991,0.6678739786148071,0.01085648
3,0.00044343114,0.021057805,0.6553249359130859,0.010892827
4,0.00033667363,0.018348668,0.7259966731071472,0.010065054
5,0.0006771347,0.026021812,0.589755654335022,0.013566738
6,0.00037132908,0.0192699,0.6713546514511108,0.010764316
7,0.00043803663,0.020929325,0.6847220659255981,0.011383878
8,0.00029463696,0.017164992,0.6952072381973267,0.009813807
9,0.00031229184,0.01767178,0.670457124710083,0.009469227
10,0.00023957298,0.015478145,0.7397485971450806,0.008765668
