group_left_out,mse,R2,Relative Error,MAE,RMSE
1,0.0002797757,0.7179660797119141,0.01546595,0.008421749,0.016726498
2,0.00052797364,0.6842218637466431,0.024269277,0.011087255,0.022977676
3,0.00030327003,0.7490155696868896,0.017144084,0.009403011,0.01741465
4,0.00037979553,0.7243627309799194,0.018018248,0.009901932,0.019488344
5,0.00022431837,0.7354212999343872,0.014593489,0.007861583,0.014977261
6,0.00035682312,0.6899032592773438,0.018066145,0.009874031,0.018889762
7,0.0003639181,0.6881591081619263,0.016719334,0.009192092,0.019076638
8,0.0002481552,0.7763249278068542,0.015512184,0.008381169,0.015752943
9,0.00022607273,0.7968484163284302,0.01427932,0.0077804,0.015035715
10,0.00034402744,0.7556749582290649,0.017319871,0.009643212,0.018547976
