group_left_out,mse,R2,Relative Error,MAE,RMSE
1,0.00022098614,0.7993592619895935,0.014056169,0.007659287,0.014865602
2,0.0003543822,0.7313170433044434,0.016700627,0.009256069,0.018825043
3,0.0003672078,0.7145726680755615,0.017105665,0.00945349,0.019162666
4,0.00028333787,0.7694042325019836,0.016479185,0.008995531,0.016832642
5,0.00061145355,0.6295488476753235,0.02713846,0.012487844,0.024727587
6,0.00032786734,0.7098205089569092,0.018051798,0.009783395,0.018107107
7,0.00035304046,0.7458982467651367,0.017701002,0.009776668,0.018789371
8,0.00024089195,0.7508047819137573,0.015252642,0.008219592,0.015520695
9,0.00023887861,0.7479257583618164,0.014505584,0.007900182,0.015455699
10,0.00017065083,0.8146196603775024,0.013043081,0.0069840965,0.0130633395
