site_left_out,mse_scaled,r2_scaled,relative_error,mae_scaled,rmse_scaled
AR-SLu,0.031635422,0.2238524556159973,inf,0.1631031,0.1778635
AT-Neu,0.0025376559,0.7927221655845642,inf,0.03163731,0.050375152
AU-ASM,0.025179114,-2.123624324798584,inf,0.15385748,0.15867928
AU-Cpr,0.006962346,-0.5942864418029785,inf,0.07565651,0.08344068
AU-Cum,0.005973465,-1.8418354988098145,inf,0.052533794,0.077288195
AU-DaP,0.010298685,-0.2028496265411377,inf,0.096506976,0.101482436
AU-DaS,0.0026524868,0.0487746000289917,inf,0.045660105,0.0515023
AU-Dry,0.005735296,0.2323895096778869,inf,0.066376925,0.07573174
AU-Emr,0.0036529414,0.1131950616836547,inf,0.038212173,0.060439568
AU-GWW,0.008456218,0.2636416554450989,inf,0.06892103,0.091957696
AU-Gin,0.011208037,0.5361098051071167,inf,0.07793442,0.10586802
AU-How,0.0037964096,0.0813566446304321,inf,0.055843238,0.061615013
AU-Lox,0.023976099,0.2375492453575134,inf,0.14263488,0.15484217
AU-RDF,0.0072923237,0.4847018122673034,inf,0.05407542,0.085395105
AU-Rig,0.035442837,-1.5438635349273682,inf,0.17932902,0.18826269
AU-Rob,0.007706733,0.5628368854522705,inf,0.069595,0.087788
AU-Stp,0.0024728042,0.4955196380615234,inf,0.036729433,0.0497273
AU-TTE,0.0081490865,-2.1638288497924805,inf,0.08375969,0.09027229
AU-Wac,0.010562958,-1.1704623699188232,inf,0.085201025,0.10277625
AU-Whr,0.0026690683,0.5696843862533569,inf,0.041035917,0.051663026
AU-Wom,0.006926832,0.7347599864006042,inf,0.062102947,0.08322759
AU-Ync,0.0033149526,0.2262472510337829,inf,0.046085596,0.057575624
BE-Bra,0.003117508,-0.1608704328536987,inf,0.048682258,0.055834647
BE-Dor,0.0029693327,0.7793139815330505,inf,0.041557375,0.054491583
BE-Lcr,0.0045618163,0.5352245569229126,inf,0.05061456,0.06754122
BE-Lon,0.03548825,-1.502610445022583,inf,0.17778715,0.18838325
BE-Maa,0.010552751,-0.5552631616592407,inf,0.09185821,0.102726586
BE-Vie,0.0022405293,0.8089457750320435,inf,0.031465936,0.047334228
BR-Npw,0.0033510516,0.3929129838943481,inf,0.040300686,0.05788827
BR-Sa3,0.0071341344,0.6811749935150146,inf,0.05662851,0.084463805
CA-ARB,0.015983745,-0.4277949333190918,inf,0.12070899,0.12642685
CA-ARF,0.021036869,-0.2174428701400756,inf,0.13793425,0.14504091
CA-DB2,0.0058604926,-6.457619667053223,inf,0.06785067,0.07655385
CA-DBB,0.005232926,-28.335525512695312,inf,0.060191214,0.07233897
CA-Gro,0.0014614045,0.7868607044219971,inf,0.026610112,0.03822832
CA-LP1,0.011188729,-4.279495716094971,inf,0.09391907,0.10577679
CA-NS1,0.01200144,-0.0477093458175659,inf,0.10212132,0.10955109
CA-NS2,0.004260411,0.5448758602142334,inf,0.052901607,0.065271825
CA-NS3,0.004818843,0.5393819808959961,inf,0.060065746,0.06941789
CA-NS4,0.015413984,-1.4192519187927246,inf,0.118366286,0.12415306
CA-NS5,0.00859502,0.4434765577316284,inf,0.085830055,0.092709325
CA-NS6,0.059830032,-4.1285271644592285,inf,0.2374339,0.24460179
CA-NS7,0.01096146,-0.3772034645080566,inf,0.09628303,0.10469699
CA-Oas,0.018377451,-0.3156121969223022,inf,0.12835835,0.13556346
CA-Obs,0.01492773,-0.0152853727340698,inf,0.11508895,0.12217909
CA-Qfo,0.025076004,-3.496634006500244,inf,0.155085,0.15835404
CA-SF1,0.0056955074,0.5058599710464478,inf,0.064568706,0.075468585
CA-SF2,0.007224982,0.4031510353088379,inf,0.075057015,0.0849999
CA-SF3,0.004692008,-0.5086899995803833,inf,0.056635775,0.06849823
CA-TP1,0.0069613154,0.2440944910049438,inf,0.072872646,0.0834345
CA-TP4,0.0034864594,0.5579769611358643,inf,0.051512744,0.059046246
CA-TPD,0.002020468,0.8347571492195129,inf,0.030453173,0.044949617
CH-Aws,0.009422751,-0.2243033647537231,inf,0.0875206,0.09707086
CH-Cha,0.0050285626,0.4712510704994201,inf,0.056358736,0.07091236
CH-Dav,0.013088961,-6.37744140625,inf,0.10542448,0.114406995
CH-Fru,0.005949892,0.2684412598609924,inf,0.07000151,0.07713554
CH-Lae,0.0050482787,0.0347405076026916,inf,0.054639116,0.07105124
CH-Oe1,0.015315504,0.2306539416313171,inf,0.1136705,0.12375582
CH-Oe2,0.019198934,-3.355523109436035,inf,0.1307062,0.13856022
CN-Cha,0.007092784,0.5759396553039551,inf,0.0737667,0.084218666
CN-Cng,0.022096027,-2.067420482635498,inf,0.14495951,0.14864732
CN-Dan,0.008876321,0.1691277027130127,inf,0.087859854,0.09421423
CN-Din,0.006142933,0.7428704500198364,inf,0.062290683,0.07837687
CN-Du2,0.0050533437,0.3014257550239563,inf,0.062375408,0.071086876
CN-Du3,0.007731242,-0.611061692237854,inf,0.06265508,0.08792748
