site_left_out,mse_scaled,rmse_scaled,r2_scaled,mae_scaled,relative_error
AR-SLu,0.0016376005,0.040467277,0.2321562767028808,0.025204036,0.04281405
AT-Neu,0.0011691325,0.03419258,0.6209434270858765,0.021537637,0.038039777
AU-ASM,7.607777e-05,0.008722257,0.0794799923896789,0.0043607755,0.008372356
AU-Cpr,4.05008e-05,0.006364024,0.660446047782898,0.0046419906,0.009077058
AU-Cum,0.00032163347,0.017934144,0.446040391921997,0.011121295,0.021104364
AU-DaP,0.00047952944,0.02189816,0.6685654520988464,0.012024357,0.021790069
AU-DaS,0.00023707723,0.015397312,0.7500419616699219,0.009595095,0.017739372
AU-Dry,0.00010496923,0.010245449,0.7974371314048767,0.006475379,0.0123286275
AU-Emr,0.00015704759,0.012531863,0.1737182140350341,0.0072619016,0.014100961
AU-GWW,2.757943e-05,0.005251612,0.6052753925323486,0.0034103463,0.006643549
AU-Gin,0.00010066688,0.010033289,0.7549431324005127,0.0067554032,0.012690551
AU-How,0.0003144695,0.017733289,0.7808139324188232,0.010127601,0.018239342
AU-Lox,0.00055286137,0.023513004,0.7791851758956909,0.014258907,0.024233857
AU-RDF,0.00031537752,0.017758872,0.4110167026519775,0.011564787,0.02236176
AU-Rig,0.00029479183,0.017169503,0.5990462303161621,0.009311983,0.017359098
AU-Rob,0.00042950077,0.0207244,0.7087200880050659,0.013814759,0.025624225
AU-Stp,0.00012532574,0.011194898,0.3183954358100891,0.007213626,0.013927826
AU-TTE,7.350846e-05,0.008573707,-0.8609956502914429,0.005746105,0.011453659
AU-Wac,0.0013160548,0.03627747,0.3534555435180664,0.020683117,0.03787346
AU-Whr,0.00013112814,0.01145112,0.7417194247245789,0.007944618,0.014958427
AU-Wom,0.0004168997,0.020418122,0.7046518325805664,0.013154309,0.023325687
AU-Ync,7.6584474e-05,0.008751255,0.2208501696586609,0.0050836285,0.009929835
BE-Bra,0.00035455488,0.018829627,0.7018043994903564,0.0109687,0.020483367
BE-Dor,0.0007152797,0.026744714,0.6472159028053284,0.015640317,0.02685831
BE-Lcr,0.00069706776,0.026402041,0.6683334112167358,0.01618046,0.028542219
BE-Lon,0.0007443706,0.027283156,0.5432450771331787,0.013453845,0.023877567
BE-Maa,0.0010569305,0.032510467,-5.57265043258667,0.019472985,0.037523232
BE-Vie,0.00029962568,0.0173097,0.7847963571548462,0.010234798,0.01830287
BR-Npw,0.0010525524,0.032443065,0.540172815322876,0.019175824,0.035390332
BR-Sa3,0.0011955481,0.0345767,0.6357717514038086,0.022842806,0.040011335
