site_left_out,mse_scaled,r2_scaled,relative_error,mae_scaled,rmse_scaled
AR-SLu,0.0020155956,0.0548445582389831,0.047071617,0.027767338,0.044895384
AT-Neu,0.0008860096,0.7127265930175781,0.030363733,0.017582394,0.029765913
AU-ASM,3.0290856e-05,0.633446216583252,0.0060707135,0.0031251658,0.0055037127
AU-Cpr,4.805092e-05,0.5971057415008545,0.008582409,0.004390091,0.006931877
AU-Cum,0.00021849557,0.6235976219177246,0.016324863,0.008588145,0.014781595
AU-DaP,0.0003113348,0.7847896814346313,0.01889723,0.010326377,0.017644681
AU-DaS,0.00021386692,0.7745024561882019,0.016491817,0.008941699,0.01462419
AU-Dry,7.5920354e-05,0.8534827828407288,0.010476296,0.005512996,0.008713229
AU-Emr,0.00017009038,0.104909062385559,0.014566918,0.007496622,0.013041871
AU-GWW,2.8181641e-05,0.5965989828109741,0.0066943383,0.0034244526,0.0053086383
AU-Gin,6.4540945e-05,0.8428854942321777,0.010106747,0.0053387373,0.008033738
AU-How,0.00026761822,0.813464879989624,0.016696213,0.009278076,0.01635904
AU-Lox,0.0021525028,0.1399458646774292,0.046214104,0.027807903,0.04639507
AU-RDF,0.00033632794,0.3717527389526367,0.021767236,0.011217105,0.018339247
AU-Rig,0.000111669244,0.8480938076972961,0.012081162,0.0063887346,0.010567367
AU-Rob,0.0005229782,0.6453214287757874,0.02812011,0.015279921,0.022868717
AU-Stp,9.621324e-05,0.4766824841499328,0.0116117215,0.0059641483,0.009808835
AU-TTE,4.6230747e-05,-0.1707066297531128,0.008411902,0.004232678,0.0067993198
AU-Wac,0.0013506341,0.3363797664642334,0.038872782,0.021206936,0.036750976
AU-Whr,0.00016915485,0.6668729782104492,0.014530065,0.007835248,0.013005954
AU-Wom,0.0001524008,0.8920579552650452,0.014695521,0.008087399,0.012345072
AU-Ync,7.1381175e-05,0.2735528349876404,0.010523794,0.0053169383,0.008448738
BE-Bra,0.0002946945,0.7521424293518066,0.01799743,0.009626016,0.017166669
BE-Dor,0.00053941144,0.7339468598365784,0.02363193,0.013692601,0.023225233
BE-Lcr,0.0008300067,0.6050204634666443,0.026724007,0.01561557,0.028809838
BE-Lon,0.0006741208,0.5863381624221802,0.023507245,0.013093014,0.025963835
BE-Maa,0.00017696654,-0.1006019115447998,0.0137538705,0.0071350145,0.013302878
BE-Vie,0.00019847044,0.8574479222297668,0.014917192,0.008292318,0.014087954
BR-Npw,0.0008844215,0.6135637760162354,0.03133568,0.01684611,0.029739225
BR-Sa3,0.0008974371,0.7265657782554626,0.03437084,0.019383715,0.029957255
CA-ARB,5.19784e-05,0.4777939319610595,0.0071251513,0.003694541,0.0072096046
CA-ARF,4.0324692e-05,0.7994099259376526,0.007164193,0.0037201366,0.0063501727
CA-DB2,0.00023056529,-1.0936517715454102,0.015565987,0.008031661,0.015184376
CA-DBB,0.00032541007,-1.6958210468292236,0.02047634,0.01051773,0.018039126
CA-Gro,0.00017356999,0.7742195129394531,0.013390938,0.007165421,0.013174596
CA-LP1,9.208547e-05,0.5947582125663757,0.010828297,0.005619772,0.009596118
CA-NS1,6.5998545e-05,0.8389025926589966,0.009371813,0.004920522,0.008123949
CA-NS2,8.181586e-05,0.7648153305053711,0.009194828,0.0048637902,0.009045212
CA-NS3,5.643514e-05,0.7896418571472168,0.008016262,0.0041710874,0.0075123324
CA-NS4,0.00010314056,0.4890311956405639,0.010954664,0.0057267556,0.010155814
CA-NS5,4.484265e-05,0.8979268670082092,0.006935996,0.0036770531,0.0066964654
CA-NS6,6.726372e-05,0.640213131904602,0.007602969,0.0039953147,0.008201446
CA-NS7,3.3030195e-05,0.8334463238716125,0.0060578454,0.0031544487,0.00574719
CA-Oas,9.330611e-05,0.9164685606956482,0.009180045,0.0049968674,0.009659509
CA-Obs,4.410703e-05,0.8936288356781006,0.006730277,0.0035768514,0.0066413125
CA-Qfo,9.984383e-05,0.6433402299880981,0.011056425,0.005792733,0.009992189
CA-SF1,0.00018772412,0.8184211850166321,0.016622463,0.008917166,0.013701245
CA-SF2,0.0004603892,0.7467588782310486,0.025222454,0.014039801,0.021456681
CA-SF3,0.00031007105,0.1451802253723144,0.020840403,0.010884367,0.017608834
CA-TP1,0.00024241653,0.6569507122039795,0.015280103,0.008228995,0.015569732
CA-TP4,0.00020314779,0.8451806306838989,0.015769122,0.008488042,0.014252992
CA-TPD,0.00021565093,0.8551081418991089,0.016182626,0.008732453,0.014685058
CH-Aws,0.00078558346,0.6222430467605591,0.025495874,0.014341625,0.02802826
CH-Cha,0.0010468808,0.669296383857727,0.034430407,0.019877505,0.03235554
CH-Dav,0.00037109246,0.653936505317688,0.021744823,0.011433688,0.019263761
CH-Fru,0.00042829494,0.8172023296356201,0.021289105,0.011943548,0.020695288
CH-Lae,0.0012530468,0.4779602885246277,0.039282884,0.020384746,0.0353984
CH-Oe1,0.00073524885,0.6119067668914795,0.02543268,0.014857008,0.027115472
CH-Oe2,0.0007115118,0.5436484813690186,0.028228618,0.015322833,0.02667418
CN-Cha,0.00022084553,0.8611095547676086,0.014745061,0.008244692,0.014860872
CN-Cng,6.216875e-05,0.7727452516555786,0.0077898414,0.0041213403,0.007884717
CN-Dan,1.6013955e-05,0.763995349407196,0.004432525,0.002275227,0.004001744
CN-Din,0.00024607877,0.7049812078475952,0.016976696,0.009174273,0.015686898
CN-Du2,5.197922e-05,0.4198812246322632,0.008038229,0.0041108853,0.0072096614
CN-Du3,5.9020662e-05,-1.923025369644165,0.010492579,0.005216634,0.0076824906
