site,mse,rmse,r2_score,relative_error,mae
AR-SLu,0.003264556740164,0.0571362996716103,0.9330960474415674,0.129395036013409,0.0356765131659449
AT-Neu,0.0034128928938581,0.0584199699919309,0.7566239675779282,0.1039556895614692,0.040602250489443
AU-ASM,0.0019097960536193,0.043701213411293,0.4657187036763215,0.151353813260042,0.0332695830542647
AU-Cpr,0.0021621060216506,0.0464984518199328,-0.9236912612445296,0.0839175293992487,0.0365841405548812
AU-Cum,0.000506189452353,0.022498654456502,0.7230257751278524,0.0449712623921769,0.015370539535785
AU-DaP,0.0045407251345762,0.0673849028683449,0.5497969232962235,0.1823837031553285,0.0543029082559873
AU-DaS,0.000990454762698,0.0314714912690529,0.6734636020658038,0.041587007487156,0.0211683496154078
AU-Dry,0.002681891892966,0.0517869857489895,0.6444369124757435,0.0892258218166073,0.0394667883242314
AU-Emr,0.004075281500825,0.0638379315205703,0.1819495752109337,0.0963845168637344,0.0399251469429688
AU-GWW,0.0037892576788601,0.0615569466336669,0.6275796375412028,0.092022597097603,0.0420908220272737
AU-Gin,0.0068873894307337,0.0829902972083707,0.8373336585051144,0.1383259954499188,0.0583777877318055
AU-How,0.0012462048620637,0.0353016269039218,0.7373546649888398,0.0556964584627912,0.0250794052858984
AU-Lox,0.0042449668783412,0.0651534103354629,-0.3674530374975744,0.317190030467815,0.0566644292996985
AU-RDF,0.0040469692357308,0.0636157939173191,-6.177709368492164,0.1591914139451135,0.052645324669595
AU-Rig,0.012381108055477,0.1112704275873739,0.4950671443640633,0.4395786291024133,0.0930710145229872
AU-Rob,0.0052150360960452,0.0722152068199298,0.6513459282000401,0.1204506925347894,0.0499867850418058
AU-Stp,0.0034431451168,0.0586783189670597,0.4325490915848797,0.1251821901460307,0.042535082094664
AU-TTE,0.0017757115824727,0.0421391929499452,0.0468477002544187,0.130766245128932,0.0311392762148741
AU-Wac,0.0037159236299305,0.0609583762081187,0.3052035308687678,0.0949286853023557,0.0353779988290927
AU-Whr,0.0014180116056471,0.0376564948667173,0.8197029770357809,0.0763580357317129,0.0273413927053944
AU-Wom,0.0035636936202354,0.059696680144171,0.8654836845268323,0.1081764229217769,0.041414071609406
AU-Ync,0.0024580664989759,0.0495788916674827,-0.8975977334229639,0.1134967456077197,0.0357516532193129
BE-Bra,0.0012764737623499,0.0357277729833525,0.6338674450330863,0.0924731788517456,0.0195639498777093
BE-Dor,0.0022955799916264,0.0479122112996929,0.8301727621877242,0.0754898217896586,0.0294672534675453
BE-Lcr,0.0030225008159243,0.0549772754501744,0.7180351163380772,0.0921486766744135,0.040062755445463
BE-Lon,0.0059489324635339,0.0771293229811722,0.5131091800750458,0.3266544287485851,0.0475957126186272
BE-Maa,0.0040994350645751,0.0640268308178306,0.6325350876855478,0.0670029165188416,0.0386715983655912
BE-Vie,0.0025550236947291,0.0505472422069605,0.7787279758545893,0.0892189208335714,0.0349567984702735
BR-Npw,0.003822225295784,0.061824148160602,0.5216426348499417,0.1330609734530536,0.0358521551780075
BR-Sa3,0.0072646398399791,0.0852328565752617,0.7179724914609844,0.1481533276566515,0.0550734309505133
CA-ARB,0.0061140135459187,0.0781921578287665,0.627652721190978,0.2922714420591479,0.0540715945421377
CA-ARF,0.0056078605020468,0.0748856495067437,0.6784122519177396,0.232112664482169,0.0558802984014016
CA-DB2,0.0001636074306215,0.0127909120324388,-0.2104383310418811,0.0180251319478654,0.0073674100915656
CA-DBB,6.253427980156847e-05,0.0079078618982357,0.4819595563691057,0.011991997161019,0.0048437828969762
CA-Gro,0.0020023814481065,0.0447479770280909,0.6178500178939481,0.0971195972529805,0.0335529458293742
CA-LP1,0.004343750622433,0.0659071363543661,0.5601090263512036,0.0994353418820934,0.0401018653265427
CA-NS1,0.0046593499600869,0.0682594312903861,0.6800586369262315,0.107418120868801,0.050913278378506
CA-NS2,0.0034428634227568,0.0586759185932085,0.7002669911205391,0.1121970478015504,0.0434161189878405
CA-NS3,0.0031721135364321,0.0563215193015259,0.6193787272070659,0.1164777566034145,0.0389468941152759
CA-NS4,0.0025936604840337,0.0509279931278839,0.6677852802577181,0.0717695910866161,0.0389418790689272
CA-NS5,0.0055070923160702,0.0742097858511275,0.7103394200382871,0.1712283095337697,0.0564352506661696
CA-NS6,0.0070340388032201,0.0838691767171953,0.6575831351481447,0.2485738185707677,0.0591787941680462
CA-NS7,0.0036289920627444,0.0602411160482976,0.573565233560012,0.1465064141191668,0.04800074644966
CA-Oas,0.0053803366186858,0.0733507779010275,0.6429983396722148,0.2353009819103469,0.0551047291334284
CA-Obs,0.0055409085061898,0.074437279008504,0.7350612639045163,0.1812012385728956,0.0546846201417557
CA-Qfo,0.0019273424489142,0.0439015085038575,0.6977278601947139,0.0586352955790851,0.0321312514879413
CA-SF1,0.0042513154244286,0.0652021121163158,0.756486451816181,0.1111914981321535,0.0503809461875223
CA-SF2,0.024261993062325,0.1557626176665154,-0.5127727222832728,0.2238508779515065,0.1065615361610102
CA-SF3,0.0014359067597897,0.0378933603655013,0.6374981481707769,0.05656548114137,0.0278079315465164
CA-TP1,0.0052821458967208,0.0726783729641827,0.604685679363975,0.0859053244553878,0.0467820013948103
CA-TP4,0.0035503800056273,0.0595850652901158,0.7060331067240209,0.0899662756823496,0.0432631775313121
CA-TPD,0.0035474382841108,0.0595603751172774,0.685584554137485,0.1151944102243659,0.0442909541565346
CH-Aws,0.0025360841592547,0.0503595488388724,0.6908195767926376,0.0664955757765391,0.0342510445362243
CH-Cha,0.0036166085812161,0.0601382455781356,0.6943023970894897,0.1064263486042294,0.0381512977167696
CH-Dav,0.000487751625922,0.0220850996357735,0.672103495530126,0.0317769049876788,0.0151980659142856
CH-Fru,0.0031048821446714,0.055721469333386,0.6730402767575078,0.0933490421537751,0.0363905363496649
CH-Lae,0.0016582706520669,0.0407218694569266,0.6530646120964361,0.0656064222525215,0.0269478152664951
CH-Oe1,0.0076764834151693,0.0876155432281817,0.4259047192134801,0.1905357211287452,0.0542257222695368
CH-Oe2,0.0020385785217297,0.0451506203914164,0.5500402080460127,0.0607935308478475,0.0278292762124892
