site,mse,rmse,r2_score
AR-SLu,0.003264556740164,0.0571362996716103,0.9330960474415674
AT-Neu,0.0034128928938581,0.0584199699919309,0.7566239675779283
AU-ASM,0.0019097960536193,0.043701213411293,0.4657187036763215
AU-Cpr,0.0021621060216506,0.0464984518199328,-0.9236912612445296
AU-Cum,0.000506189452353,0.022498654456502,0.7230257751278524
AU-DaP,0.0045407251345762,0.0673849028683449,0.5497969232962235
AU-DaS,0.000990454762698,0.0314714912690529,0.6734636020658038
AU-Dry,0.002681891892966,0.0517869857489895,0.6444369124757435
AU-Emr,0.004075281500825,0.0638379315205703,0.1819495752109337
AU-GWW,0.0037892576788601,0.0615569466336669,0.6275796375412028
AU-Gin,0.0068873894307337,0.0829902972083707,0.8373336585051144
AU-How,0.0012462048620637,0.0353016269039218,0.7373546649888398
AU-Lox,0.0042449668783412,0.0651534103354629,-0.3674530374975744
AU-RDF,0.0040469692357308,0.0636157939173191,-6.177709368492164
AU-Rig,0.012381108055477,0.1112704275873739,0.4950671443640633
AU-Rob,0.0052150360960452,0.0722152068199298,0.6513459282000401
AU-Stp,0.0034431451168,0.0586783189670597,0.4325490915848797
AU-TTE,0.0017757115824727,0.0421391929499452,0.0468477002544187
AU-Wac,0.0037159236299305,0.0609583762081187,0.3052035308687678
AU-Whr,0.0014180116056471,0.0376564948667173,0.8197029770357809
AU-Wom,0.0035636936202354,0.059696680144171,0.8654836845268323
AU-Ync,0.0024580664989759,0.0495788916674827,-0.8975977334229639
BE-Bra,0.0012764737623499,0.0357277729833525,0.6338674450330863
BE-Dor,0.0022955799916264,0.0479122112996929,0.8301727621877242
BE-Lcr,0.0030225008159243,0.0549772754501744,0.7180351163380772
BE-Lon,0.0059489324635339,0.0771293229811722,0.5131091800750458
BE-Maa,0.0040994350645751,0.0640268308178306,0.6325350876855478
BE-Vie,0.0025550236947291,0.0505472422069605,0.7787279758545893
BR-Npw,0.003822225295784,0.061824148160602,0.5216426348499417
BR-Sa3,0.0072646398399791,0.0852328565752617,0.7179724914609844
CA-ARB,0.0061140135459187,0.0781921578287665,0.627652721190978
CA-ARF,0.0056078605020468,0.0748856495067437,0.6784122519177396
CA-DB2,0.0001636074306215,0.0127909120324388,-0.2104383310418811
CA-DBB,6.253427980156847e-05,0.0079078618982357,0.4819595563691057
CA-Gro,0.0020023814481065,0.0447479770280909,0.6178500178939481
CA-LP1,0.004343750622433,0.0659071363543661,0.5601090263512036
CA-NS1,0.0046593499600869,0.0682594312903861,0.6800586369262315
CA-NS2,0.0034428634227568,0.0586759185932085,0.7002669911205391
CA-NS3,0.0031721135364321,0.0563215193015259,0.6193787272070659
CA-NS4,0.0025936604840337,0.0509279931278839,0.6677852802577181
CA-NS5,0.0055070923160702,0.0742097858511275,0.7103394200382871
CA-NS6,0.0070340388032201,0.0838691767171953,0.6575831351481447
CA-NS7,0.0036289920627444,0.0602411160482976,0.573565233560012
CA-Oas,0.0053803366186858,0.0733507779010275,0.6429983396722148
CA-Obs,0.0055409085061898,0.074437279008504,0.7350612639045163
CA-Qfo,0.0019273424489142,0.0439015085038575,0.6977278601947139
CA-SF1,0.0042513154244286,0.0652021121163158,0.756486451816181
CA-SF2,0.024261993062325,0.1557626176665154,-0.5127727222832728
CA-SF3,0.0014359067597897,0.0378933603655013,0.6374981481707769
CA-TP1,0.0052821458967208,0.0726783729641827,0.604685679363975
CA-TP4,0.0035503800056273,0.0595850652901158,0.7060331067240209
CA-TPD,0.0035474382841108,0.0595603751172774,0.685584554137485
CH-Aws,0.0025360841592547,0.0503595488388724,0.6908195767926376
CH-Cha,0.0036166085812161,0.0601382455781356,0.6943023970894897
CH-Dav,0.000487751625922,0.0220850996357735,0.672103495530126
CH-Fru,0.0031048821446714,0.055721469333386,0.6730402767575078
CH-Lae,0.0016582706520669,0.0407218694569266,0.6530646120964361
CH-Oe1,0.0076764834151693,0.0876155432281817,0.4259047192134801
CH-Oe2,0.0020385785217297,0.0451506203914164,0.5500402080460127
CN-Cha,0.0062589582605564,0.0791135782312771,0.7076377202923188
CN-Cng,0.0034538474593792,0.0587694432454421,0.6005828318084714
CN-Dan,0.0043899179029437,0.066256455556751,0.6316040578225768
CN-Din,0.0045273447493338,0.0672855463627503,0.8454174864983667
CN-Du2,0.0027586427641781,0.0525227832866669,0.4977260148518728
CN-Du3,0.0021657363737471,0.0465374727907215,0.4059728851477205
CN-Ha2,0.0103355822330277,0.101664065593639,0.6868938900460095
CN-HaM,0.0135677046086254,0.1164804902489057,0.3614313635681138
CN-Qia,0.0027920231065176,0.0528395979026869,0.8331636016898817
CN-Sw2,0.0018018990862878,0.0424487819175982,-0.0092916553669455
CZ-BK1,0.0020946353461231,0.0457671863470235,0.7671439842299458
CZ-BK2,0.005903426695915,0.076833760131306,0.4973051923706
CZ-KrP,0.0031805921185877,0.0563967385456618,0.6336170771784824
CZ-Lnz,0.0031631039108775,0.0562414785623342,0.7473899513625073
CZ-RAJ,0.0029851288758712,0.0546363329284762,0.8442068283931619
CZ-Stn,0.0023580317941042,0.0485595695419987,0.7226675772259132
CZ-wet,0.0046178043025047,0.0679544281302167,0.7310891262546285
DE-Geb,0.0025620723802414,0.0506169179251503,0.5224951069832213
DE-Gri,0.0024620254393868,0.0496188012691445,0.6737791931844241
DE-Hai,0.0047807998969417,0.0691433286510112,0.6225837113390468
DE-HoH,0.0028726935563256,0.0535975144603334,0.7664789003894011
DE-Hte,0.0011069018314394,0.0332701342263509,0.6897702554140626
DE-Hzd,0.0021448970835015,0.046313033624473,0.6553845355648438
DE-Kli,0.0031033510929464,0.0557077292029252,0.5559483054184376
DE-Lkb,0.0053685184814515,0.0732701745695449,0.735124886660657
DE-Lnf,0.0046517233804612,0.068203543752955,0.7779987725266835
DE-Obe,0.0033557007889919,0.0579284108964846,0.7010333166710349
DE-RuR,0.0019119903986834,0.0437263124295139,0.7840360893538134
DE-RuS,0.0055950602750288,0.0748001355281449,0.419927895854619
DE-RuW,0.0009675254543106,0.0311050711992534,0.7665012265085496
DE-Seh,0.0157947858541168,0.1256773084296319,0.001475290036812
DE-SfN,0.0028021479424918,0.0529353184791761,0.6801123173745854
DE-Tha,0.0028705632088208,0.0535776372082689,0.7889806586763443
DK-Fou,0.0292489526250415,0.1710232517087707,0.4865713675195833
DK-Gds,0.0009813367354307,0.0313262946329557,0.3629437590848491
DK-Skj,0.0008042108579271,0.0283586117066247,0.6545250261266242
DK-Sor,0.0106201870904365,0.1030542919554372,0.4195345242060078
DK-Vng,0.0008299963053988,0.0288096564609653,0.5363386094621869
ES-Abr,0.0810188454660695,0.284638095598726,-4.670417356917632
ES-Agu,0.0063852883684565,0.0799079994021659,0.237835384755765
ES-Amo,0.0054744151392667,0.0739892907066063,0.3667563949935816
ES-LJu,0.0046339202957066,0.0680729042696625,0.3928593746097419
ES-LM1,0.0034049337335949,0.0583518100284383,0.703648815716102
ES-LM2,0.0038960291743461,0.0624181798384587,0.7033915454257134
ES-LgS,0.0070379410430425,0.0838924373411726,0.6699132660790166
FI-Hyy,0.0030292647915886,0.0550387571769992,0.8166156417396079
FI-Ken,0.005437308825927,0.0737381097257521,0.7710876334893032
FI-Let,0.0011636202593193,0.0341118785662604,0.7076474186135289
FI-Lom,0.0106777888528802,0.1033333869225247,0.7291648925898393
FI-Qvd,0.0029947209632891,0.0547240437402894,0.8545761623614135
FI-Sii,0.0039864905837646,0.0631386615613973,0.6642890080719192
FI-Sod,0.0025014539336915,0.050014537223607,0.7015122930446189
FI-Var,0.0040042301313587,0.0632789864912417,0.5900840785357229
FR-Aur,0.0015693443240015,0.0396149507635884,0.5028107616671611
FR-Bil,0.0026928859930887,0.0518930245128254,0.7547651531742112
FR-EM2,0.0026574761490523,0.0515507143408542,0.6436813544774087
FR-FBn,0.0044605537904549,0.0667873774784948,0.7375509017768325
FR-Fon,0.0032043190439588,0.0566067049381856,0.686485273244229
FR-Gri,0.0071306325214728,0.0844430726671693,0.5137843290820563
FR-Hes,0.0026775034484107,0.0517445982534483,0.7177894103099101
FR-LBr,0.0034774504720312,0.0589699115823591,0.7591569236545247
FR-LGt,0.0017733859317167,0.0421115890428843,0.7414929671463961
FR-Lam,0.0082863279895602,0.0910292699606027,0.4218023554245369
FR-Mej,0.0013635290211732,0.0369259938413753,0.7611792651988109
FR-Pue,0.0065641257278188,0.0810192923186743,0.4960804081136964
FR-Tou,0.0029271293334703,0.0541029512454761,0.7223258141208784
GF-Guy,0.0040610648598585,0.0637264847599374,0.7437338739792718
GH-Ank,0.0015823036431128,0.0397781804902244,0.7079075232580243
GL-NuF,0.0066577993422913,0.0815953389740573,0.6440694214575545
GL-ZaF,0.0052645469742721,0.0725571979494256,0.7373896306061025
GL-ZaH,0.0042455330061577,0.0651577547660887,0.4874241490581649
IL-Yat,0.0047698154255793,0.0690638503529841,0.3990399133827461
IT-BCi,0.0042107324392488,0.0648901567207914,0.3251356843252745
IT-BFt,0.001413682438101,0.0375989685776231,0.8377947256558238
IT-CA1,0.0530826477979975,0.2303967182882549,-1.6086379204650858
IT-CA2,0.0058924418792713,0.0767622425367531,0.4083400815503102
IT-CA3,0.0517487021437025,0.2274834106999949,0.4236351038006654
IT-Col,0.0057558602396393,0.0758673858758778,0.6932340414742053
IT-Cp2,0.0090510599169581,0.0951370585889545,0.4941012567772538
IT-Cpz,0.0056240708286632,0.0749938052685905,0.7617339892342105
IT-Isp,0.0034439987292168,0.0586855921774399,0.7901720824752106
IT-La2,0.0031077527802158,0.0557472221748833,0.3289110490975334
IT-Lav,0.0035622195305962,0.0596843323712035,0.7629213966684646
IT-Lsn,0.0045686500199686,0.0675917895899246,0.8037212014692945
IT-MBo,0.004759674689819,0.0689903956346031,0.7265829594071012
IT-Noe,0.0039746288206194,0.0630446573519075,0.7292381633424313
IT-PT1,0.009856488175479,0.0992798477813045,0.6672400365816993
IT-Ren,0.0031650174034443,0.0562584873902987,0.6864299092359556
IT-Ro1,0.0059173222730735,0.0769241332292638,0.63946777375159
IT-Ro2,0.0050313287780836,0.0709318601059044,0.5579144697512379
IT-SR2,0.0031892573151013,0.0564735098528626,0.7380393421145353
IT-SRo,0.0032726731540359,0.0572072823514278,0.7448943863903796
IT-Tor,0.0009609561618418,0.0309992929248687,0.6211964522858876
JP-SMF,0.0069893267960976,0.0836021937277822,0.7166302755492697
MX-Tes,0.0012684088559624,0.0356147280764913,0.2383670191287912
MY-PSO,0.0048378710862945,0.0695548063493426,0.7476839837610667
NL-Hor,0.0042658241157426,0.0653132767187701,0.8040838185643268
NL-Loo,0.003360924741213,0.0579734830867792,0.8074823310671644
PA-SPn,0.0057371760389046,0.0757441485456446,0.5876699715139728
PA-SPs,0.0067622499653134,0.0822329007472888,0.8223745103492183
RU-Che,0.0055478302174359,0.0744837580780934,0.3845271766729632
RU-Cok,0.0128145404678508,0.1132013271470386,0.547300218682004
RU-Fy2,0.0027010356876933,0.0519714891810242,0.766291047498217
RU-Fyo,0.0048177730279383,0.0694101795699908,0.7499111672307699
RU-Ha1,0.0036701310004331,0.0605816061229241,0.4848758058034568
SD-Dem,0.0060698333682828,0.0779091353326608,0.5350433284792111
SE-Deg,0.0005773999496207,0.0240291479170772,0.6525962008224665
SE-Htm,0.0032981279201666,0.057429329790331,0.7926771326268844
SE-Lnn,0.003431428927889,0.0585783998406327,0.5830626332248847
SE-Nor,0.0019509556783685,0.0441696239328399,0.8259639838739763
SE-Ros,0.0024282942612584,0.0492777258125659,0.8041493461484022
SE-Svb,0.0040673452346317,0.0637757417411331,0.7336356096253884
SJ-Adv,0.0006104840522571,0.0247079754787228,-6.532799581350678
US-A32,0.0024559276486715,0.0495573168025827,0.6856412044045641
US-AR1,0.0008839661164759,0.0297315676760573,0.396636563008684
US-AR2,0.0017042947879456,0.0412831053573452,0.1477834736499864
US-ARM,0.0029701537214082,0.054499116703009,0.5135827394113992
US-ARb,0.0042956778775768,0.0655414210829827,-0.2376719358584662
US-ARc,0.0052675999825165,0.0725782335312494,0.4389930504897888
US-Atq,0.0051664225853487,0.0718778309727609,0.6111548055092286
US-BZB,0.0007957992561489,0.0282099141464306,0.7917347671824096
US-BZF,0.0014944581209406,0.0386582219060915,0.6825881668704386
US-BZS,0.0019463318818918,0.044117251522413,0.651505892581353
US-BZo,0.0015862553661938,0.0398278215095154,0.5554728512291055
US-Bi1,0.0086575482060784,0.0930459467471764,0.6528547380337656
US-Bi2,0.007144454043703,0.0845248723376917,0.5707847617737247
US-Blo,0.0820936482810457,0.2865198915975044,-2.921359176510967
US-CF1,0.0055527532763305,0.074516798618369,0.5988774006727902
US-CF2,0.0084294813124818,0.0918122067727481,0.5662855159689613
US-CF3,0.0007793603820369,0.0279170267406281,-5.088821398439414
US-CF4,0.0054609432365315,0.0738981950830436,0.5627451277084556
US-CRT,0.0094512895559277,0.0972177430098421,-0.934948398492296
US-CS1,0.004228696616435,0.0650284292939256,-11.016647196848076
US-CS3,0.0023923901087141,0.0489120650628666,-0.4503534205063488
US-CS4,0.0013833766243219,0.0371937713108252,-30.74754316795712
US-EDN,0.0035606842109625,0.0596714689861292,0.7330531060651279
US-GLE,0.0020474833146158,0.0452491250149199,0.6561523933998823
US-Goo,0.0037492514094327,0.0612311310481255,0.7016892252475264
US-HB1,0.0006268824477782,0.0250376206493003,0.545964683445844
US-HWB,0.0012113085959205,0.0348038589228338,0.4502627793315289
US-Hn3,0.0001627136577375,0.0127559263770838,0.4846821138211933
US-Ho2,0.0018689656520296,0.0432315353882975,0.7104054574691878
US-IB2,0.0015447461749842,0.0393032590885828,0.7128282773136821
US-ICs,0.0001974460489099,0.0140515496978087,0.6656138545254938
US-ICt,7.975682147350286e-05,0.0089306674707718,0.4975339953525876
US-Ivo,0.0084189839937544,0.0917550216269083,0.6656057192115388
US-Jo2,0.0011436340007815,0.0338176581208921,0.1438840961375377
US-KFS,0.0008823412833395,0.0297042300580162,0.5563189124051953
