site_left_out,mse,rmse,r2
AR-SLu,0.0009760755523809,0.0312422078666182,0.5422974843231008
AT-Neu,0.0015449981232557,0.0393064641408479,0.499060820683362
AU-ASM,0.0006078046478088,0.0246536944048722,-6.355126014870699
AU-Cpr,0.0003594761990738,0.0189598575699787,-2.0141129262793287
AU-Cum,0.0003185367121918,0.0178475968183911,0.4512566891435342
AU-DaP,0.0007578438765266,0.0275289643199065,0.4761400214609605
AU-DaS,0.00034614323423,0.0186049249993116,0.6350326642363255
AU-Dry,0.0003027531746674,0.0173998038686482,0.4157225666236578
AU-Emr,0.0004831868051979,0.021981510530396,-1.5427430617817506
AU-GWW,0.0004029867272982,0.0200745293169792,-4.768480467566019
AU-Gin,0.0001597699451981,0.0126400136549827,0.6110659045972697
AU-How,0.0004489867556345,0.0211893075779869,0.6870473915494111
AU-Lox,0.0013121882837998,0.0362241395177277,0.4757019300053901
AU-RDF,0.0006907376250515,0.0262818877756434,-0.2902705137470596
AU-Rig,0.0004942403030887,0.0222315159871906,0.3276737831004526
AU-Rob,0.0007714684192137,0.0277753203260327,0.4767978260628205
AU-Stp,0.0005964534960341,0.0244223974260138,-2.2441952795553783
AU-TTE,0.0008237934626155,0.0287018024279939,-19.86101611105324
AU-Wac,0.0013864271008015,0.0372347566233699,0.3187932902793845
AU-Whr,0.0001187846676481,0.0108988379035644,0.7660700706623551
AU-Wom,0.0003587531278221,0.0189407794935204,0.7459033167249378
AU-Ync,0.0007137371837337,0.026715860153358,-6.263712020229833
BE-Bra,0.0004438487367722,0.0210677178823973,0.6266938896140601
BE-Dor,0.0009164023053748,0.0302721374431144,0.5480042288709748
BE-Lcr,0.0010723043180491,0.032746058053591,0.4897171128438603
BE-Lon,0.0009240576140699,0.0303983159742427,0.4329690205501869
BE-Maa,0.000231789549456,0.0152246362667889,-0.4415608121494276
BE-Vie,0.0004509718608214,0.021236098060178,0.6760879257966219
BR-Npw,0.0011041727618382,0.0332290951101328,0.5175464514492067
BR-Sa3,0.0015145786339656,0.0389175877202793,0.5385329374647967
CA-ARB,0.000299054772361,0.0172932001769779,-2.0044832925074627
CA-ARF,0.0002687536428348,0.016393707415801,-0.3368809808330228
CA-DB2,0.0003693834105738,0.0192193498998757,-2.354192016825112
CA-DBB,0.0004613716200654,0.0214795628462373,-2.822178376139789
CA-Gro,0.0003333410550379,0.0182576300498701,0.5663887059372036
CA-LP1,0.0001898495037935,0.0137785885994751,0.1645267661987305
CA-NS1,0.0001770084786798,0.0133044533401342,0.5679358171727898
CA-NS2,0.0002026841890661,0.014236719743894,0.4173719412292291
CA-NS3,0.0001971993920542,0.0140427700990315,0.2649526176454259
CA-NS4,0.0002293913024976,0.01514566943049,-0.1364277931558846
CA-NS5,0.0001987416423208,0.0140975757604228,0.547614133222225
CA-NS6,0.0002259051904909,0.0150301427302262,-0.2083441122290001
CA-NS7,0.0002098963747867,0.0144878008954698,-0.0583954515451143
CA-Oas,0.0004391371830933,0.0209556002799585,0.6068664469254095
CA-Obs,0.0001516920605464,0.0123163330803617,0.6341702541821176
CA-Qfo,0.0002209358566576,0.0148639112166907,0.210778138229507
CA-SF1,0.000331383548504,0.0182039432130515,0.6794646091785844
CA-SF2,0.0007807542756398,0.0279419805246481,0.5705392861434999
CA-SF3,0.0003418325564909,0.018488714300647,0.0576184595030526
CA-TP1,0.0002894791271725,0.017014086139801,0.5903513576474343
CA-TP4,0.0004638854444544,0.0215380000105491,0.6464718080735461
CA-TPD,0.0005296121084961,0.0230133028593486,0.6441634939870315
CH-Aws,0.0009793879776533,0.031295174989978,0.5290499019938597
CH-Cha,0.0017616394920281,0.0419718893073469,0.4435082185378546
CH-Dav,0.0004442587868973,0.0210774473524983,0.5857050183961661
CH-Fru,0.0009646696234183,0.0310591310795762,0.5882759024720803
CH-Lae,0.0015201693298923,0.0389893489288077,0.3666726615865991
CH-Oe1,0.000908615803825,0.0301432546986066,0.5203968739420302
CH-Oe2,0.0008253120567266,0.0287282449294528,0.4706589745200715
CN-Cha,0.0006081651212472,0.0246610040599977,0.6175230660395057
CN-Cng,0.0002604934240865,0.0161398086756503,0.0477793441234866
CN-Dan,0.0004762993087257,0.0218242825477903,-6.019429841341166
CN-Din,0.0003141279805258,0.0177236559582345,0.623398441235254
CN-Du2,0.0004118207651218,0.0202933675155668,-3.596162488443679
CN-Du3,0.0004582725752688,0.021407301914741,-21.696159517116225
CN-Ha2,0.0003034651666769,0.0174202516249613,0.4319800808873194
CN-HaM,0.0003908410713084,0.0197697008401342,0.0363743676642385
CN-Qia,0.0003382245682063,0.0183908827467958,0.7286607495589005
CN-Sw2,0.0007454035236581,0.027302079108708,-4.145491506627428
CZ-BK1,0.0007479406666549,0.0273485039198665,0.5940454779346344
CZ-BK2,0.0004007342217051,0.0200183471272009,0.5472904289029337
CZ-KrP,0.0004437505136283,0.0210653866242307,0.5581717546422109
CZ-Lnz,0.0007299886674334,0.0270183024528462,0.6681157120915064
CZ-RAJ,0.0002993768929045,0.0173025111733692,0.7152448654548091
CZ-Stn,0.0005438495982201,0.0233205831449421,0.6490709348692509
CZ-wet,0.0003055711455141,0.0174805933970832,0.6733671564326705
DE-Geb,0.0006297827073267,0.0250954718490556,0.5189565247015677
DE-Gri,0.000469952895874,0.021678396985802,0.634674034712581
DE-Hai,0.0005381570269627,0.0231982117190697,0.6625981628955209
DE-HoH,0.00055608554083,0.0235814660449705,0.6771541401494623
DE-Hte,0.0002776767394276,0.0166636352404776,0.4903980658063785
DE-Hzd,0.0005935879059158,0.0243636595345588,0.5712875273692917
DE-Kli,0.0006451244719335,0.0253993006189847,0.5142622677124289
DE-Lkb,0.0002579416891039,0.0160605631627278,-0.5053199874731726
DE-Lnf,0.0006146833888193,0.0247928092159674,0.6472936567790202
DE-Obe,0.0005227793981827,0.0228643696213716,0.628367375867493
DE-RuR,0.0005538699803456,0.0235344424269124,0.6509128398752411
DE-RuS,0.0012001729408387,0.0346435122474435,0.4189177031893496
DE-RuW,0.0008428969314221,0.0290326872924668,0.5446850834998742
DE-Seh,0.0008820579818908,0.0296994609697014,0.4823489828945914
DE-SfN,0.0002099415070734,0.014489358407931,0.4312611284066949
DE-Tha,0.0002793443570886,0.0167135979695783,0.6945309577799919
DK-Fou,0.000338060470656,0.0183864208223368,0.5659015545610774
DK-Gds,0.0006803491344106,0.0260835031084906,0.5182070544591133
DK-Skj,0.000261964461801,0.0161853162403772,0.676384490138717
DK-Sor,0.0010327376529907,0.0321362358248553,0.5413969537136782
DK-Vng,0.0004868818333317,0.0220653990068566,0.5756201240242991
ES-Abr,0.0002797612680294,0.0167260655274764,0.3522839905397005
ES-Agu,0.0004185549995653,0.0204586167559143,-3.3556619083192016
ES-Amo,0.0008061785886869,0.0283932842180504,-12.706983163740722
ES-LJu,0.0004904755505078,0.0221466826072865,-14.854519488088725
ES-LM1,0.0002505966400745,0.0158302444729884,0.6174639653067844
ES-LM2,0.0002342872735891,0.0153064454916586,0.627618351155528
ES-LgS,0.0003363479593441,0.0183397916930406,-2.352199927242539
FI-Hyy,0.0001773498192675,0.0133172752193375,0.7497930866129143
FI-Ken,0.0001199025130513,0.0109500005959542,0.6341538986563612
FI-Let,0.0003279507565405,0.0181094107176511,0.6524608504437162
FI-Lom,0.0001554757087095,0.0124689898832868,0.2549429055492337
FI-Qvd,0.0003625367163775,0.0190403969595574,0.6741680905867461
FI-Sii,0.0001971702807226,0.0140417335369489,-1.3030895433088512
FI-Sod,0.0001035998641602,0.0101784018470591,0.5879925195273594
FI-Var,0.0001619641500254,0.0127265136634301,0.100132318909032
FR-Aur,0.0006454225380986,0.0254051675471472,0.44616441238535
FR-Bil,0.0004606137973493,0.0214619150438484,0.6301085903142617
FR-EM2,0.0016730128814908,0.0409024801386283,0.3480880944902468
FR-FBn,0.0002695533751981,0.0164180807403966,0.70442263850396
FR-Fon,0.000928576397153,0.0304725515366371,0.5653833354195603
FR-Gri,0.0008123269386949,0.0285013497697033,0.4570489380784919
FR-Hes,0.000915693797182,0.0302604328650798,0.5876051112597447
FR-LBr,0.0004420373508134,0.0210246843213741,0.6581112892626655
FR-LGt,0.0002734442168275,0.0165361487906802,0.6249863220039279
FR-Lam,0.0009908696337546,0.0314780817991602,0.3964600411516555
FR-Mej,0.0009506291551459,0.0308322745697744,0.4776631798692409
FR-Pue,0.0002109956810621,0.0145256903816013,0.609479105196354
FR-Tou,0.0002947015186139,0.0171668727092016,0.5823384811715049
GF-Guy,0.0016228096924304,0.0402841121588953,0.5611230440658419
GH-Ank,0.0015464124821485,0.0393244514538795,0.5047213358476624
GL-NuF,0.000211607941333,0.0145467501983445,-0.7968983064842807
GL-ZaF,0.0001575716780591,0.0125527557954094,-0.075690966114098
GL-ZaH,0.0002451556830237,0.0156574481644931,-14.201822981959909
IL-Yat,0.0004758236128884,0.0218133815097174,-1.0445682518993458
IT-BCi,0.0016993307733824,0.0412229398925214,0.3175709827448896
IT-BFt,0.0013747602557067,0.0370777595831623,0.493418119412423
IT-CA1,0.0002962963248881,0.0172132601469949,0.6428991390264177
IT-CA2,0.0005382068172257,0.02319928484298,0.3824256648738618
IT-CA3,0.0004867978422158,0.0220634956934719,0.5748958606465464
IT-Col,0.0005797773011075,0.0240785651795861,0.6391758377232026
IT-Cp2,0.0005950375530298,0.0243933915852183,0.5945512617512367
IT-Cpz,0.0003495865125806,0.018697232751951,0.7137983039568525
IT-Isp,0.0011445758865568,0.033831581200956,0.5298090894159602
IT-La2,0.0008649400719291,0.0294098635142894,0.5393626199585364
IT-Lav,0.0008410607295965,0.0290010470431078,0.6085292653139858
