site_left_out,mse,rmse,r2,relative_error,mae
AR-SLu,0.0010049475609376,0.0317009078882235,0.5287587875318654,0.0392433784317705,0.0225650054667924
AT-Neu,0.0015501773222855,0.0393722913009334,0.4973815541053322,0.0420463107361241,0.0243758631648439
AU-ASM,0.0005997139915451,0.0244890586087971,-6.257219892274839,0.0395712789778897,0.0200523790781024
AU-Cpr,0.0003544314548592,0.0188263500142556,-1.9718140792729808,0.0278684369710698,0.0142202702120835
AU-Cum,0.0003118764653375,0.0176600244999142,0.4627302988407906,0.0206435019103133,0.0108324286403687
AU-DaP,0.0007544816518401,0.027467829398045,0.478464161045261,0.0369512439289321,0.0197253152950581
AU-DaS,0.0003522273484501,0.0187677209178446,0.628617681252971,0.0246713692801632,0.0132344240844149
AU-Dry,0.0003026471420892,0.0173967566543083,0.4159271968235433,0.0247101037674284,0.0128812198340298
AU-Emr,0.0004746246101591,0.0217858809819364,-1.4976849977072555,0.0311978417291076,0.0159103972428928
AU-GWW,0.0003991583828484,0.0199789484920617,-4.713680324817255,0.0317716946466257,0.0162148058141711
AU-Gin,0.0001577798225094,0.0125610438463316,0.6159105364628205,0.0163816234313996,0.0085965792079082
AU-How,0.000453078784424,0.0212856473809014,0.6841951669181255,0.0240757023141854,0.0133454120168671
AU-Lox,0.0013454737228781,0.0366806995963571,0.4624023969405232,0.0430900242673996,0.0251467436588308
AU-RDF,0.0006832164468722,0.0261384094174113,-0.2762212509279684,0.0373624585527199,0.0190532538378862
AU-Rig,0.0004870932430704,0.0220701890130214,0.3373960898285263,0.0297764556623569,0.0155715587019491
AU-Rob,0.0007433585764865,0.0272646029952127,0.4958616405464696,0.04489838793352,0.0233305588599887
AU-Stp,0.0005867674816094,0.0242232838733609,-2.191511671389137,0.0374195537372577,0.018975722675238
AU-TTE,0.0008132067696623,0.0285167804925869,-19.5929280740852,0.0471645429452808,0.0236484063322569
AU-Wac,0.0013741936120491,0.0370701175078952,0.3248040892724421,0.0464639366165177,0.0246656005307566
AU-Whr,0.000119037722218,0.0109104409726661,0.7655717147817725,0.0150619257756439,0.0079307139255942
AU-Wom,0.0003569419086169,0.0188929063041372,0.7471861621053635,0.0283854993427582,0.0153200214654937
AU-Ync,0.000700198375094,0.0264612617819714,-6.125927399647571,0.039423057707474,0.0198638991608001
BE-Bra,0.000443466509957,0.021058644542254,0.6270153676174313,0.0250482603404054,0.013457863015687
BE-Dor,0.0009270897936679,0.030448149265069,0.5427328546239396,0.0319743044791969,0.0185485504060207
BE-Lcr,0.0010857146655186,0.032950184605229,0.4833354628688215,0.0320111118039463,0.0186168400353685
BE-Lon,0.0009283265620299,0.0304684519139047,0.4303494590573383,0.0287941092412913,0.0162882085609011
BE-Maa,0.0002186944868654,0.0147883226521952,-0.3601191375461245,0.0191506353648316,0.009852300651252
BE-Vie,0.0004505974376834,0.0212272805060716,0.6763568564901135,0.0279269314081209,0.0152020922573185
BR-Npw,0.0011041169783394,0.033228255722193,0.5175708253043488,0.0407801483063686,0.0220252498934713
BR-Sa3,0.0015135186952738,0.0389039676032392,0.5388558832555124,0.055186441419461,0.0303755630062051
CA-ARB,0.0002940974273607,0.0171492690036851,-1.9546788365847745,0.0229068267053425,0.0117180391786061
CA-ARF,0.0002643695848438,0.016259446018973,-0.3150730392356529,0.0213111829994235,0.0108978171635307
CA-DB2,0.0003657735107363,0.0191252061619302,-2.321412263133031,0.0250692332574199,0.0128363470203835
CA-DBB,0.0004557700450498,0.0213487715114916,-2.775772793382328,0.0282866062646237,0.0144558532556444
CA-Gro,0.0003311335471298,0.0181970752355924,0.5692602404998485,0.0265388608052758,0.0138036946592307
CA-LP1,0.0001898864590484,0.0137799295734197,0.1643641367178285,0.0206393086143299,0.0105843331280805
CA-NS1,0.0001769347945425,0.0133016838987598,0.5681156745265141,0.0200075025336409,0.0102671833415169
CA-NS2,0.0002017755600551,0.0142047724394002,0.4199838507189721,0.0203550619397417,0.0104534848911411
CA-NS3,0.0001989244872359,0.0141040592467529,0.2585224421545985,0.0222232534024798,0.0113162648203698
CA-NS4,0.0002287552680403,0.0151246576172932,-0.1332768139040681,0.0228993139182425,0.0117231077011396
CA-NS5,0.0001997289069614,0.0141325477873409,0.5453668710734022,0.0219358567268049,0.0112543223233761
CA-NS6,0.0002243509170054,0.0149783482736067,-0.2000304598913407,0.0231522383945904,0.0117850020547216
CA-NS7,0.0002094461423164,0.0144722542237367,-0.056125169368034,0.0220732570396537,0.0112481557018976
CA-Oas,0.0004414309018799,0.021010257063634,0.6048130161273777,0.03053239473944,0.0161683983731051
CA-Obs,0.00015227559037,0.0123399996098061,0.6327629783742958,0.0182004526855335,0.0093895434664007
CA-Qfo,0.0002153062570487,0.0146733178609586,0.2308880613157974,0.019157513145594,0.0098247655339384
CA-SF1,0.0003313418914283,0.0182027989998334,0.6795049025700047,0.0244141583609453,0.0130803955627639
CA-SF2,0.0007798456845943,0.0279257172619492,0.5710390645900276,0.0365261181879541,0.0201905261086532
CA-SF3,0.0003415320583921,0.0184805859861666,0.0584468880887305,0.0260697255843835,0.0134139401565313
CA-TP1,0.0002893805328754,0.017011188461581,0.5904908807293267,0.0242239647491234,0.0126854339652942
CA-TP4,0.0004633277284848,0.0215250488613813,0.6468968447300846,0.0279617925281018,0.0149735557508091
CA-TPD,0.0005287329730289,0.0229941943331126,0.6447541687241187,0.0318783169201573,0.0169930063713682
CH-Aws,0.0009826496073997,0.0313472424209804,0.5274815094019968,0.0354687256060196,0.0196840603858547
CH-Cha,0.0017650271797088,0.0420122265502414,0.4424380674876763,0.0464655412995126,0.0268826024811059
CH-Dav,0.0004440274707723,0.0210719593482045,0.5859207330034165,0.0259136921728523,0.0135361372354651
CH-Fru,0.0009665852922203,0.031089954844296,0.5874582888668154,0.0374670514981987,0.0210030669962958
CH-Lae,0.0015172096757567,0.0389513757877279,0.367905701774569,0.0484744783571119,0.0251517736300608
CH-Oe1,0.0009123789802231,0.0302056117339671,0.5184105215620238,0.0297952609395382,0.0172864676801755
CH-Oe2,0.0008259694068193,0.0287396834850243,0.4702373614231108,0.0293581073589869,0.0163039180883839
CN-Cha,0.00061145480688,0.0247276122357178,0.6154541725259393,0.0327240856416182,0.0178252231956934
CN-Cng,0.0002635515348628,0.0162342703828303,0.0366005734527541,0.026670405017516,0.0136762429890265
CN-Dan,0.0004709752617823,0.021701964468276,-5.940967048498429,0.035369413215017,0.0179575279516941
CN-Din,0.0003089130754877,0.0175759231759738,0.6296504833579606,0.0269563665675425,0.0140523732609833
CN-Du2,0.0004099838148335,0.020248057063175,-3.57566104042761,0.0326486649922941,0.0165333153221014
CN-Du3,0.000456073683158,0.0213558816993825,-21.587258376611413,0.0361359353631464,0.0180321718258586
CN-Ha2,0.000302603158407,0.0173954924738302,0.433593570412646,0.0277188328777196,0.0142795529229155
CN-HaM,0.000390808933458,0.0197688880177421,0.0364536041075475,0.0315960537144138,0.0160846423060476
CN-Qia,0.0003400447694179,0.0184403028559163,0.7272005007218472,0.0221989863963147,0.0122156600124134
CN-Sw2,0.0007462261828966,0.027317140825801,-4.1511702913261646,0.0439534255119642,0.0219267333942078
CZ-BK1,0.0007479500058775,0.0273486746640051,0.5940404089501097,0.0384722662275427,0.0208900931690162
CZ-BK2,0.0004014391256939,0.0200359458397639,0.5464940986541844,0.0314265349048297,0.0164040818817502
CZ-KrP,0.0004438342560301,0.0210673742082434,0.5580883750013295,0.0237565651299288,0.0128497191614459
CZ-Lnz,0.0007306947376904,0.0270313658125236,0.6677947021431198,0.0340958022579364,0.0189125105968145
CZ-RAJ,0.0003003061821347,0.0173293445385211,0.7143609633032042,0.0243762787218308,0.0130498659681402
CZ-Stn,0.0005446912566055,0.0233386215660983,0.6485278391469924,0.0315022884943518,0.0168715516423002
CZ-wet,0.000305745141636,0.0174855695256413,0.6731811675103001,0.0228981305203554,0.0121968624734979
DE-Geb,0.0006311778283421,0.0251232527420742,0.5178908970590452,0.0261619865533697,0.0144301632152994
DE-Gri,0.0004695697607523,0.0216695583884947,0.634971871388087,0.0289668063027908,0.0156400773167014
DE-Hai,0.0005367991907072,0.0231689272670803,0.6634494691577233,0.0311230778852716,0.0167744001409425
DE-HoH,0.0005544228876909,0.0235461862663766,0.678119424521997,0.0298978590884235,0.0162874126735515
DE-Hte,0.000276804957717,0.0166374564677741,0.4919979896848995,0.023753854696839,0.0122637321723481
DE-Hzd,0.0005933457809656,0.0243586900502813,0.5714623995071193,0.035302207836748,0.0186927300787805
DE-Kli,0.0006450897339779,0.025398616772926,0.5142884231855376,0.0256815049923595,0.0142526430251766
DE-Lkb,0.0002499136844128,0.0158086585266708,-0.4584694145277861,0.0221278122620023,0.011353275738065
DE-Lnf,0.0006155799436661,0.0248108835728632,0.646779212127889,0.0287780278812085,0.016032243528078
DE-Obe,0.0005226498846743,0.0228615372334046,0.628459444233498,0.033073246418392,0.0177683695149935
DE-RuR,0.0005543954563054,0.0235456037575051,0.650581648590239,0.0279825722450388,0.0155399152562116
DE-RuS,0.0012014911855718,0.0346625328787709,0.4182794546076602,0.031577961153806,0.0183857441590571
DE-RuW,0.0008425853279038,0.0290273203707102,0.5448534050640352,0.0388233979034797,0.0210586528031812
DE-Seh,0.0008833846277594,0.0297217870889254,0.4815704177692644,0.0308493832207194,0.0174818754668025
DE-SfN,0.0002092184163215,0.014464384408662,0.4332200064963468,0.0193048889347062,0.0099402840942171
DE-Tha,0.0002791662087536,0.0167082676766216,0.6947257668029806,0.0249908066515992,0.013131317077077
DK-Fou,0.0003381375409556,0.0183885165512502,0.565802589730451,0.0220203494793967,0.0118648078335036
DK-Gds,0.000679950155286,0.0260758538745347,0.5184895936994889,0.0330908332081805,0.0178350059582176
DK-Skj,0.0002618612254449,0.0161821267281206,0.6765120222695,0.0193884549962153,0.0103593345892139
DK-Sor,0.0010311639946349,0.032111742317024,0.5420957609215666,0.0315357011945912,0.0183868223051534
DK-Vng,0.000487100825169,0.0220703607847509,0.5754292445903524,0.0231574360629231,0.0127370275865768
ES-Abr,0.00027942303802,0.0167159516037829,0.3530670760380141,0.0239292636178674,0.012415111972692
ES-Agu,0.0004176331526589,0.0204360747859997,-3.346068776091161,0.0320740484078498,0.0162001240302661
ES-Amo,0.0008040519668996,0.0283558101083289,-12.670825456944304,0.0434761599318827,0.0216236883389534
ES-LJu,0.0004897502997034,0.0221303027476676,-14.83107590766718,0.0349936687114294,0.0176687155624912
ES-LM1,0.0002488596568069,0.0157752862670377,0.6201154720920115,0.0210258091705376,0.0111728282869346
ES-LM2,0.000232941694925,0.0152624275567517,0.6297570452206487,0.0207456203098509,0.0109856681967389
