site,test_loss,mse,r2,relative_error,mae,rmse
AR-SLu,0.0046312739141285,0.0046312734484672,0.9052092432975768,0.96029531955719,0.0451202951371669,0.0680534616112709
AT-Neu,0.0025298043619841,0.0025298027321696,0.8196307420730591,3.825896978378296,0.0312619619071483,0.0502971448004245
AU-ASM,0.0009647634578868,0.0009647638653405,0.7232938408851624,0.9635101556777954,0.0182586796581745,0.0310606490820646
AU-Cpr,0.001782658859156,0.0017826578114181,-0.5873813629150391,2.1797890663146973,0.0300394017249345,0.0422215312719345
AU-Cum,0.000583833490964,0.000583833490964,0.6806491613388062,1.336447834968567,0.0166196729987859,0.0241626463830471
AU-DaP,0.0013889428228139,0.0013889422407373,0.8623488545417786,0.9441106915473938,0.0213049482554197,0.0372685156762599
AU-DaS,0.0007714894018135,0.0007714894600212,0.7457525730133057,11.594385147094728,0.0164802893996238,0.0277756992727518
AU-Dry,0.001089569996111,0.0010895701125264,0.8553484082221985,1.9454847574234009,0.0213688295334577,0.0330086387693882
AU-Emr,0.0033863673452287,0.0033863675780594,0.3206116557121277,1.458246827125549,0.029234942048788,0.0581925027072429
AU-GWW,0.0032670674845576,0.0032670677173882,0.6791236400604248,2.759812593460083,0.0372323580086231,0.0571582689881324
AU-Gin,0.0045073726214468,0.0045073716901242,0.8936213850975037,0.6472170352935791,0.0415133498609066,0.0671369656920433
AU-How,0.0007588383741676,0.0007588378502987,0.8400918245315552,1.0703670978546145,0.0166014805436134,0.0275470111519098
AU-Lox,0.0042733065783977,0.0042733065783977,-0.3769572973251343,3.1467418670654297,0.0495106168091297,0.0653705298900604
AU-RDF,0.0029563666321337,0.0029563668649643,-4.235205173492432,2.156494617462158,0.0337496921420097,0.0543724820017814
AU-Rig,0.0067972722463309,0.0067972736433148,0.7229617834091187,1.164199948310852,0.0411857441067695,0.0824455767869949
AU-Rob,0.0041159261018037,0.0041159256361424,0.7251187562942505,4.210610389709473,0.0483887642621994,0.0641554817557334
AU-Stp,0.0021652979776263,0.0021652982104569,0.6432565450668335,1.251647710800171,0.027213042601943,0.0465327650308609
AU-TTE,0.0010678764665499,0.0010678766993805,0.4274831414222717,8.055027961730957,0.0177961904555559,0.0326783843338489
AU-Wac,0.0037102720234543,0.0037102720234543,0.3066206574440002,2.367554187774658,0.035901304334402,0.0609120018780231
AU-Whr,0.0013200883986428,0.0013200886314734,0.8322024345397949,0.9994862675666808,0.024023288860917,0.0363330245018005
AU-Wom,0.0031288787722587,0.0031288799364119,0.8819404244422913,1.1815037727355957,0.0372297577559948,0.0559363923966884
AU-Ync,0.0016932390863075,0.0016932393191382,-0.3060317039489746,2.451237201690674,0.0267551578581333,0.0411489903926849
BE-Bra,0.0011565928580239,0.0011565930908545,0.6682796478271484,1.833992838859558,0.0172413513064384,0.0340087190270423
BE-Dor,0.001959002809599,0.0019590023439377,0.8551005721092224,0.9313167333602904,0.0264682527631521,0.0442606173455715
BE-Lcr,0.0026898607611656,0.0026898602955043,0.7492666840553284,2.0056560039520264,0.0314633958041667,0.0518638640642166
BE-Lon,0.0069088647142052,0.0069088675081729,0.4346433281898498,1.641224384307861,0.0373744666576385,0.0831196010112762
BE-Maa,0.0041994294151663,0.0041994280181825,0.6238054633140564,0.9442793130874634,0.0351792685687541,0.0648029968142509
BE-Vie,0.0022699707187712,0.0022699709516018,0.8034374713897705,1.299524188041687,0.0281207226216793,0.0476442128419876
BR-Npw,0.0041390713304281,0.0041390703991055,0.4818952679634094,1.8803948163986208,0.0364242643117904,0.0643356069922447
BR-Sa3,0.0080924862995743,0.0080924835056066,0.6860156059265137,1.7517304420471191,0.0570902414619922,0.0899582356214523
CA-ARB,0.0032203332521021,0.0032203332521021,0.8039792776107788,1.1156080961227417,0.0313294343650341,0.056747980415821
CA-ARF,0.0018696024781093,0.0018696023616939,0.8928264379501343,0.8603881597518921,0.0263108108192682,0.0432388968765735
CA-DB2,0.0002023123670369,0.0002023123815888,-0.5046204328536987,1.8178118467330933,0.0107658840715885,0.0142236556857824
CA-DBB,7.560184894828126e-05,7.560185622423887e-05,0.3742720484733581,4.284538745880127,0.0046786302700638,0.008694932796061
CA-Gro,0.0010288023622706,0.0010288028279319,0.8037070631980896,1.3756769895553589,0.0174227897077798,0.0320749580860137
CA-LP1,0.0034259671811014,0.0034259653184562,0.6531373858451843,1.2315247058868408,0.0303708165884017,0.0585317462682724
