site,test_loss,mse,r2,relative_error,mae,rmse
AR-SLu,0.0044659124687314,0.0044659115374088,0.908593773841858,0.1593785434961319,0.0433275289833545,0.0668274760246276
AT-Neu,0.0024167881347239,0.0024167872034013,0.827688455581665,0.0776263028383255,0.0307560749351978,0.0491608306765556
AU-ASM,0.0009309632587246,0.0009309631423093,0.7329882979393005,0.0723310485482215,0.0176149401813745,0.0305116884410381
AU-Cpr,0.0023233694955706,0.0023233699612319,-1.0688626766204834,0.0783650204539299,0.0339690037071704,0.048201348632574
AU-Cum,0.0005970869096927,0.0005970869679003,0.6733995676040649,0.048473373055458,0.016923826187849,0.0244353637099266
AU-DaP,0.0013839518651366,0.0013839525636285,0.8628433346748352,0.0619015917181968,0.0207023303955793,0.0372015126049518
AU-DaS,0.0009128248202614,0.0009128249366767,0.6991748809814453,0.0348465107381343,0.0180918797850608,0.0302129928022623
AU-Dry,0.0010720571735873,0.001072057057172,0.8576734662055969,0.0465453974902629,0.0209701396524906,0.0327422842383384
AU-Emr,0.0033766215201467,0.0033766208216547,0.3225671052932739,0.0693839117884635,0.0302639678120613,0.0581086985766887
AU-GWW,0.0030396142974495,0.0030396145302802,0.7014630436897278,0.076996311545372,0.0354497246444225,0.0551326982676982
AU-Gin,0.004366192035377,0.0043661925010383,0.8969533443450928,0.1004550978541374,0.0423517897725105,0.066077172756195
AU-How,0.0007883077487349,0.0007883073994889,0.8338817358016968,0.0358272418379783,0.0168535634875297,0.0280768126249313
AU-Lox,0.0030642121564596,0.003064211923629,0.0126406550407409,0.2333763092756271,0.0433747619390487,0.0553553253412246
AU-RDF,0.0021691301371902,0.0021691313013434,-2.8411498069763184,0.0948313847184181,0.0318714007735252,0.0465739332139492
AU-Rig,0.0066502052359282,0.0066502043046057,0.728955864906311,0.1394759118556976,0.0412954725325107,0.0815487876534462
AU-Rob,0.0046593956649303,0.0046593965962529,0.6888231039047241,0.1208042725920677,0.0481922291219234,0.0682597756385803
AU-Stp,0.0020082045812159,0.0020082036498934,0.6691386103630066,0.0713260173797607,0.025435883551836,0.0448129847645759
AU-TTE,0.0009748099837452,0.0009748099255375,0.4773786664009094,0.0747577548027038,0.0172271616756916,0.0312219467014074
AU-Wac,0.0037360768765211,0.0037360754795372,0.3017984628677368,0.0989933758974075,0.0366680808365345,0.0611234456300735
AU-Whr,0.0012191684218123,0.0012191680725663,0.8450304865837097,0.0669678598642349,0.0241225436329841,0.0349165871739387
AU-Wom,0.0030279639177024,0.0030279636848717,0.8857482075691223,0.0972808301448822,0.0361096262931823,0.0550269372761249
AU-Ync,0.0013374469708651,0.0013374472036957,-0.0316017866134643,0.0745103731751442,0.0232392232865095,0.0365711264312267
BE-Bra,0.0011573164956644,0.0011573159135878,0.6680722832679749,0.0865659415721893,0.0173899345099926,0.0340193472802639
BE-Dor,0.0017817337065935,0.0017817330081015,0.8682124614715576,0.0657127201557159,0.0254508256912231,0.042210578918457
BE-Lcr,0.0028333072550594,0.0028333079535514,0.7358952760696411,0.0793884471058845,0.0350139737129211,0.0532288253307342
BE-Lon,0.0061928643845021,0.0061928662471473,0.4932340979576111,0.1725353449583053,0.0350576192140579,0.0786947682499885
BE-Maa,0.0040969159454107,0.0040969154797494,0.6329888105392456,0.059290561825037,0.035372968763113,0.0640071481466293
BE-Vie,0.0020195357501506,0.0020195383112877,0.8251230120658875,0.0663862824440002,0.0270877797156572,0.0449392721056938
BR-Npw,0.0037188648711889,0.0037188644055277,0.534494161605835,0.1254857182502746,0.0336347930133342,0.0609824918210506
BR-Sa3,0.0077953934669494,0.0077953934669494,0.6975426077842712,0.1601892709732055,0.0587271191179752,0.0882915258407592
CA-ARB,0.0028975235763937,0.0028975231107324,0.8236286044120789,0.1629755347967147,0.0299301333725452,0.0538286454975605
CA-ARF,0.0018482150044292,0.0018482152372598,0.8940524458885193,0.0867208763957023,0.024199990555644,0.0429908744990825
CA-DB2,0.0001603905111551,0.000160390525707,-0.1928427219390869,0.0209747832268476,0.0085816960781812,0.0126645378768444
CA-DBB,9.994055290007964e-05,9.994056017603724e-05,0.1728298068046569,0.0119934193789958,0.0048717889003455,0.0099970279261469
CA-Gro,0.0010236308444291,0.0010236301459372,0.8046940565109253,0.0462556667625904,0.0174173284322023,0.0319942198693752
CA-LP1,0.0033808576408773,0.0033808602020144,0.6577040553092957,0.0757970660924911,0.0301765520125627,0.0581451654434204
CA-NS1,0.0022876900620758,0.0022876893635839,0.842976450920105,0.0634543150663375,0.0308893155306577,0.047829795628786
CA-NS2,0.0025755630340427,0.0025755632668733,0.7757676839828491,0.079536959528923,0.0318828225135803,0.0507500059902668
CA-NS3,0.0014273218112066,0.0014273220440372,0.8288506269454956,0.057289320975542,0.0208678524941205,0.0377799160778522
CA-NS4,0.0013323361054062,0.0013323366874828,0.829475998878479,0.046384647488594,0.025726955384016,0.0365011878311634
CA-NS5,0.001831458415836,0.0018314576009288,0.903722882270813,0.0661720037460327,0.0244221873581409,0.0427955314517021
CA-NS6,0.0024776388891041,0.0024776384234428,0.8794583082199097,0.0805675089359283,0.0232696086168289,0.0497758835554122
CA-NS7,0.001427398296073,0.001427398296073,0.8323870301246643,0.0611648708581924,0.021975552663207,0.0377809256315231
CA-Oas,0.0012927162460982,0.0012927168281748,0.9142393469810486,0.057384330779314,0.0171221625059843,0.0359543710947036
CA-Obs,0.0015535327838733,0.0015535312704741,0.925728976726532,0.0683619603514671,0.0229045525193214,0.0394148603081703
CA-Qfo,0.0007517529302276,0.0007517529884353,0.8820689916610718,0.0300057847052812,0.0168782789260149,0.0274181142449378
CA-SF1,0.0030752657912671,0.0030752662569284,0.8241116404533386,0.0908879414200782,0.040035031735897,0.0554550848901271
CA-SF2,0.2309850007295608,0.2309849709272384,-13.383870124816896,0.4947863817214966,0.2402593046426773,0.4806089699268341
CA-SF3,0.001086727133952,0.0010867269011214,0.7260530591011047,0.0438717007637023,0.0215479880571365,0.0329655408859252
CA-TP1,0.0033142282627522,0.0033142296597361,0.7520382404327393,0.0498016811907291,0.0296933986246585,0.0575693473219871
CA-TP4,0.0018672896549105,0.0018672889564186,0.8454164862632751,0.0501576103270053,0.0258259885013103,0.0432121381163597
CA-TPD,0.0012804201105609,0.0012804204598069,0.8865676522254944,0.0511425994336605,0.0210345163941383,0.0357829630374908
CH-Aws,0.001743440865539,0.0017434414476156,0.787507176399231,0.0431434176862239,0.0235429294407367,0.0417545363306999
CH-Cha,0.0036698773037642,0.0036698752082884,0.6898394823074341,0.1033875197172164,0.0387480929493904,0.0605794936418533
CH-Dav,0.0003866230836138,0.0003866230545099,0.7400450706481934,0.0266969017684459,0.0128227323293685,0.019662732258439
CH-Fru,0.0025285631418228,0.0025285624433308,0.7336914539337158,0.0753610283136367,0.0283577553927898,0.0502848140895366
CH-Lae,0.0016165161505341,0.0016165149863809,0.6614026427268982,0.0668079629540443,0.0272253695875406,0.0402059070765972
CH-Oe1,0.00684459740296,0.0068445983342826,0.4883184432983398,0.1481178253889084,0.0431956835091114,0.0827320888638496
CH-Oe2,0.0018032842781394,0.0018032839288935,0.6020232439041138,0.0518681481480598,0.0238051265478134,0.0424650907516479
