site,test_loss,mse,r2,relative_error,mae,rmse
AR-SLu,0.0024726234842091,0.0024726223200559,-0.1593716144561767,1.854631781578064,0.0313448160886764,0.0497254692018032
AT-Neu,0.001545549603179,0.0015455508837476,0.4989009499549866,3.044407606124878,0.0259720403701066,0.0393134951591491
AU-ASM,3.951874532504007e-05,3.951872713514604e-05,0.5218343734741211,0.6981219053268433,0.0035693766549229,0.0062863919883966
AU-Cpr,6.585471419384703e-05,6.585477240150794e-05,0.4478814005851745,2.44699764251709,0.0058816699311137,0.0081150950863957
AU-Cum,0.0003798210527747,0.0003798210527747,0.3458219766616821,4.46773099899292,0.0146697694435715,0.0194889977574348
AU-DaP,0.000421900069341,0.000421900069341,0.7083969116210938,1.1974928379058838,0.0132468687370419,0.0205402057617902
AU-DaS,0.0003589593397919,0.0003589590487536,0.6215380430221558,2.0326857566833496,0.0127908661961555,0.0189462155103683
AU-Dry,0.0001572336768731,0.0001572339388076,0.6965800523757935,1.5082335472106934,0.0085594989359378,0.0125392954796552
AU-Emr,0.0001473366719437,0.0001473367010476,0.2248104810714721,1.46752667427063,0.007412452250719,0.012138232588768
AU-GWW,3.823144288617186e-05,3.82314101443626e-05,0.4528212547302246,1.7683262825012207,0.0046280394308269,0.0061831553466618
AU-Gin,9.97245151665993e-05,9.972448606276885e-05,0.7572372555732727,1.3648581504821775,0.0073206047527492,0.0099862143397331
AU-How,0.0003140318440273,0.0003140317858196,0.7811190485954285,1.1878701448440552,0.0105621442198753,0.0177209414541721
AU-Lox,0.0017797263571992,0.0017797257751226,0.2891712188720703,2.357463836669922,0.0260764360427856,0.0421867966651916
AU-RDF,0.0002540636924095,0.000254063605098,0.5255235433578491,1.612443447113037,0.0097587304189801,0.0159393735229969
AU-Rig,0.0002226522192358,0.0002226520882686,0.697165310382843,1.9537044763565063,0.0101422127336263,0.0149215310811996
AU-Rob,0.0008476002840325,0.0008475996437482,0.4251728653907776,4.974212646484375,0.0221885796636343,0.0291135646402835
AU-Stp,7.806807843735442e-05,7.806805660948157e-05,0.5754139423370361,1.2801527976989746,0.0052644694223999,0.008835612796247
AU-TTE,3.165187081322074e-05,3.165189264109358e-05,0.1986768245697021,0.2927567660808563,0.0034242544788867,0.0056260013952851
AU-Wac,0.0018554155249148,0.0018554148264229,0.088481605052948,7.848912239074707,0.0296222250908613,0.0430745258927345
AU-Whr,0.0001403056667186,0.0001403055648552,0.7236428260803223,1.2899844646453855,0.0084616253152489,0.011845065280795
AU-Wom,0.0002099353005178,0.000209935256862,0.8512735962867737,1.761062741279602,0.0101467436179518,0.0144891431555151
AU-Ync,8.475700451526791e-05,8.475700451526791e-05,0.1377049088478088,2.413373708724976,0.0063859531655907,0.0092063564807176
BE-Bra,0.0004182095581199,0.000418209208874,0.6482684016227722,3.092125177383423,0.0142293656244874,0.0204501636326313
BE-Dor,0.0008389008580707,0.0008388995775021,0.5862451791763306,1.6687994003295898,0.0182017739862203,0.0289637632668018
BE-Lcr,0.0010041309287771,0.0010041305795311,0.5222322344779968,1.82063901424408,0.0189285483211278,0.0316880196332931
BE-Lon,0.0010346166091039,0.0010346176568418,0.3651459217071533,4.214985370635986,0.0185954719781875,0.0321654714643955
BE-Maa,0.0002117451513186,0.0002117451804224,-0.3167630434036255,5.698251247406006,0.0098142437636852,0.0145514663308858
BE-Vie,0.0005404810071922,0.0005404813564382,0.6118037700653076,3.2989718914031982,0.0179967135190963,0.0232482552528381
BR-Npw,0.0012289619771763,0.0012289620935916,0.4631048440933227,3.447040557861328,0.0248279217630624,0.0350565537810325
BR-Sa3,0.0015193376457318,0.0015193377621471,0.5371280312538147,4.8973588943481445,0.0310981441289186,0.0389786846935749
CA-ARB,0.0001360736059723,0.0001360736787319,-0.3669555187225342,4.405343055725098,0.0086762635037302,0.0116650620475411
CA-ARF,0.0001435543672414,0.0001435543672414,0.2860039472579956,3.011850357055664,0.0088723031803965,0.0119814174249768
CA-DB2,0.0003854368114843,0.0003854367823805,-2.498974084854126,5.463347434997559,0.0150969782844185,0.0196325443685054
CA-DBB,0.0005605441983789,0.0005605440237559,-3.6433544158935542,10.207245826721191,0.0165335405617952,0.0236758105456829
