group_left_out,mse,r2,relative_error,mae,rmse
7,0.00059480837,0.4903101325035095,0.025737492,0.014048941,0.024388693
4,0.00065601146,0.5238999128341675,0.026337273,0.014569994,0.025612721
8,0.0010645972,0.04042637348175049,0.02687422,0.01461109,0.032628164
5,0.0005594123,0.34018760919570923,0.029019928,0.015607258,0.023651898
10,0.0008386836,0.40437668561935425,0.02931421,0.016429152,0.028960034
3,0.00070505444,0.4165031313896179,0.029257635,0.016219644,0.026552862
6,0.0007340694,0.362060546875,0.030448413,0.016725611,0.027093714
2,0.0008116187,0.5145769119262695,0.032603737,0.015223231,0.028488923
1,0.00085322326,0.13989192247390747,0.03910938,0.020985981,0.029209986
9,0.000726623,0.3470492959022522,0.030876303,0.016930548,0.026955945
