site,ensemble_mse_scaled_no_stability,full_mse_scaled_no_stability,ensemble_rmse_scaled_no_stability,full_rmse_scaled_no_stability,ensemble_r2_no_stability,full_r2_no_stability,ensemble_relative_error_no_stability,full_relative_error_no_stability,ensemble_mae_no_stability,full_mae_no_stability,O_hat_count_no_stability,ensemble_mse_scaled_stability,full_mse_scaled_stability,ensemble_rmse_scaled_stability,full_rmse_scaled_stability,ensemble_r2_stability,full_r2_stability,ensemble_relative_error_stability,full_relative_error_stability,ensemble_mae_stability,full_mae_stability,G_hat_count,O_hat_count_stability,O_hat,ensemble_mse_scaled_diff,ensemble_rmse_scaled_diff,ensemble_r2_diff,ensemble_relative_error_diff,ensemble_mae_diff
AR-SLu,0.0032272753205657,0.0032645713593111,0.0568091130063281,0.0571364276036854,0.9338600943020272,0.9330957478361986,0.1276862879207188,0.1305558773776363,0.035041205726889,0.0355394030860573,52,0.0032647342806345,0.0032645713593111,0.0571378533078948,0.0571364276036854,0.933092408920274,0.9330957478361986,0.1305644255749354,0.1305558773776363,0.0355383655732709,0.0355394030860573,103,6,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR']]",3.7458960068800264e-05,0.00032874030156670314,-0.0007676853817532026,0.0028781376542166004,0.0004971598463818991
AT-Neu,0.003430668972367,0.0034300483234665,0.0585719128283093,0.0585666144101444,0.7553563416681557,0.7554006006213774,0.104686035181213,0.1048631149090468,0.0408776182240772,0.0408869447732817,52,0.0034309586156038,0.0034300483234665,0.0585743853198976,0.0585666144101444,0.7553356869848782,0.7554006006213774,0.1048197247398187,0.1048631149090468,0.0408773994140232,0.0408869447732817,103,6,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR']]",2.8964323680030074e-07,2.4724915883012066e-06,-2.0654683277498975e-05,0.00013368955860569576,-2.1881005399931874e-07
AU-ASM,0.0020373427143563,0.0020343834567239,0.045136932930322,0.0451041401284179,0.4300364667635459,0.4308643436465317,0.1516276863934115,0.1523813579913426,0.0339237584181138,0.0340570439484954,52,0.0020383471596286,0.0020343834567239,0.0451480582044081,0.0451041401284179,0.4297554648622608,0.4308643436465317,0.1527391185111802,0.1523813579913426,0.0341169112067517,0.0340570439484954,103,6,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR']]",1.00444527230013e-06,1.1125274086101755e-05,-0.00028100190128510505,0.0011114321177686792,0.00019315278863790003
AU-Cpr,0.0023881988432235,0.0023632585292153,0.0488692013769767,0.0486133575184363,-1.1248528975077874,-1.1026627441897627,0.0810663561567815,0.0815294739789451,0.0353426812638996,0.0355423826319643,52,0.0023622489857575,0.0023632585292153,0.0486029730135677,0.0486133575184363,-1.1017645227760058,-1.1026627441897627,0.081549097253399,0.0815294739789451,0.0355504606076601,0.0355423826319643,103,6,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR']]",-2.594985746600005e-05,-0.00026622836340899764,0.023088374731781602,0.00048274109661750053,0.0002077793437605044
AU-Cum,0.0005072167891709,0.0005076105065022,0.0225214739564467,0.0225302131925607,0.7224636420816615,0.7222482097921175,0.044190301148733,0.0449048169517101,0.0151356665787262,0.015354228707297,54,0.0005096198488415,0.0005076105065022,0.0225747613241335,0.0225302131925607,0.7211487478527998,0.7222482097921175,0.044952706026754,0.0449048169517101,0.0153734762617069,0.015354228707297,103,6,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR']]",2.4030596706000554e-06,5.328736768680023e-05,-0.0013148942288616627,0.0007624048780209974,0.00023780968298070006
AU-DaP,0.0046844852690885,0.0046622618720484,0.068443299665406,0.0682807576997242,0.5355434168745405,0.5377468186277293,0.182160496646396,0.1821805198023807,0.0546477515307304,0.054589820027312,52,0.004656461890739,0.0046622618720484,0.0682382729173227,0.0682807576997242,0.5383218742307314,0.5377468186277293,0.1822598439924196,0.1821805198023807,0.0545636164468195,0.054589820027312,103,6,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR']]",-2.802337834950045e-05,-0.0002050267480832868,0.0027784573561908665,9.934734602359829e-05,-8.413508391089813e-05
AU-DaS,0.0009985434328292,0.0009870236246167,0.0315997378601347,0.0314169321324776,0.6707969025776703,0.6745947910025425,0.0415272250838372,0.0413983020190767,0.0211448940017844,0.0210838186734507,52,0.0009871997445848,0.0009870236246167,0.0314197349540838,0.0314169321324776,0.6745367271896596,0.6745947910025425,0.0414069971576166,0.0413983020190767,0.0210876435167919,0.0210838186734507,103,6,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR']]",-1.134368824439987e-05,-0.00018000290605089952,0.0037398246119892953,-0.00012022792622060074,-5.7250484992499295e-05
AU-Dry,0.0026362166257299,0.0026647905593758,0.0513441002037232,0.0516216094225646,0.6504925029656314,0.6467041936394897,0.0891127686646091,0.0897973524133564,0.0392879893100239,0.0395569168640675,52,0.0026640580306368,0.0026647905593758,0.0516145137595702,0.0516216094225646,0.6468013117152789,0.6467041936394897,0.0897918733490997,0.0897973524133564,0.0395539078112729,0.0395569168640675,103,6,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LAI'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR']]",2.7841404906899913e-05,0.0002704135558469975,-0.0036911912503525546,0.0006791046844906029,0.0002659185012490045
AU-Emr,0.004207377899305,0.0041326839474496,0.0648643037371484,0.0642859545114608,0.155433243794856,0.1704269120928961,0.0980070457934983,0.0967096875583296,0.0406554014280759,0.0401187730337072,52,0.0041526338358982,0.0041326839474496,0.0644409329223147,0.0642859545114608,0.1664222771451977,0.1704269120928961,0.0959963582466378,0.0967096875583296,0.0399421664428402,0.0401187730337072,103,6,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LAI'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LAI'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LAI', 'fPAR']]",-5.474406340680044e-05,-0.0004233708148336929,0.010989033350341681,-0.0020106875468604984,-0.0007132349852356987
AU-GWW,0.0037700348862413,0.003799480424997,0.0614006098197836,0.061639925575856,0.6294689150729225,0.6265749133592373,0.0887149093475213,0.0897444814086176,0.0412262709771249,0.0416113848508521,52,0.0037973470405358,0.003799480424997,0.0616226179299111,0.061639925575856,0.626784589206504,0.6265749133592373,0.0897313130776033,0.0897444814086176,0.0416047109616514,0.0416113848508521,103,6,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day', 'LST_TERRA_Night', 'LAI', 'fPAR']]",2.7312154294499742e-05,0.0002220081101275001,-0.0026843258664184244,0.0010164037300820078,0.00037843998452650324
