site,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,O_hat_count
AR-SLu,0.0030990725811895,0.0031032537350817,0.0556693145385276,0.0557068553688123,0.936487486219454,0.9364017974892798,0.1273470303306041,0.127190296507502,0.034239659875093,0.0342882706108256,2
AT-Neu,0.0034196137759102,0.0034092125,0.0584774638293273,0.05838846,0.7561446962796177,0.7568864226341248,0.104056713910572,0.10428694,0.0407791059675968,0.040679965,7
AU-ASM,0.0019096970442383,0.0019099254,0.0437000805976179,0.04370269,0.4657464023724033,0.4656825661659241,0.1517901685811664,0.15135549,0.0333337315727124,0.033270083,205
AU-Cpr,0.0021989282437857,0.0021783352762847,0.0468927312468122,0.0466726394827287,-0.9564531083656582,-0.9381309210038582,0.0850971089006709,0.083104498733102,0.0370617354136033,0.0362377465264061,205
AU-Cum,0.0005068044696837,0.0005060586876945,0.0225123181765839,0.0224957482137081,0.7226892530062352,0.7230973262827946,0.0442627222284364,0.0449352832250045,0.0151437523467997,0.0153489008456238,103
AU-DaP,0.0045561465472791,0.0045354224384985,0.0674992336791991,0.0673455450530956,0.5482679235791805,0.5503226741440008,0.1824985308959886,0.1825616550059704,0.0543176726631446,0.0542747778676896,103
AU-DaS,0.0010026474626908,0.0009862359533997,0.0316646089931783,0.031404393854997,0.6694438724560476,0.6748544730512538,0.0414809118063603,0.0414624949137117,0.0211392681532279,0.0211121638436549,103
AU-Dry,0.0026278805291516,0.0026649577124485,0.0512628572082327,0.0516232284194676,0.6515976959993481,0.6466820326184659,0.0888482568458339,0.0898052557878666,0.039193399402151,0.0395464880904171,52
AU-Emr,0.0042621909041525,0.0042347838278897,0.065285457064744,0.0650752166949119,0.1444303715048372,0.1499319228392578,0.0993811503241902,0.0995290283921392,0.0410689391263993,0.0411182849231831,7
AU-GWW,0.0037554331708159,0.003779119756452,0.0612815891668613,0.0614745455977677,0.6309040183601857,0.6285760249758344,0.0912581864400803,0.0918749623622057,0.0417823306679813,0.0420253435814409,52
AU-Gin,0.0070118109333252,0.0068886379312208,0.0837365567319632,0.0829978188341163,0.8343950718557874,0.8373041714246128,0.1329391926376213,0.1381465527281998,0.0577199755506794,0.0583477943746378,205
AU-How,0.0012499232473098,0.0012504715,0.0353542535957106,0.035362005,0.7365709924415753,0.7364554405212402,0.0555223339987324,0.055604126,0.0250337753767508,0.025060493,26
AU-Lox,0.0052160653822569,0.0052316415367971,0.0722223329881895,0.0723300873551055,-0.6802779986684886,-0.6852956255308527,0.3696764743921594,0.3729252402405798,0.0634893098919837,0.0637539049603712,205
AU-RDF,0.0040016507243356,0.004001651,0.0632586019789854,0.0632586,-6.097332403692192,-6.09733247756958,0.1548190331108044,0.15481904,0.0510620509437457,0.05106205,1
AU-Rig,0.0122284601474511,0.012381108055477,0.1105823681580888,0.1112704275873739,0.5012925115736064,0.4950671443640635,0.4327368778419779,0.439578629102413,0.0922722856191304,0.0930710145229872,410
AU-Rob,0.0056369999730943,0.00560345,0.0750799571996038,0.07485619,0.6231353039251224,0.6253783106803894,0.1258903481178683,0.1256499,0.0519873904770677,0.051924665,7
AU-Stp,0.0033929944554247,0.003421212231174,0.0582494159234641,0.0584911295084483,0.4408142205264902,0.4361637623148099,0.1248675910661886,0.1256737386914895,0.0423490903445366,0.0426252095914296,103
AU-TTE,0.0016436328911273,0.0016649223695471,0.0405417425763543,0.0408034602643841,0.1177438467039911,0.1063162502877127,0.1215651825497894,0.122694403290227,0.0286122603109011,0.0289543084603721,52
AU-Wac,0.0037044635258279,0.0037073315172449,0.0608643042006394,0.0608878601795539,0.3073463197577012,0.3068100680721338,0.094760239650602,0.0949058795563308,0.0352616164700773,0.0353163216502725,103
AU-Whr,0.0014457378859691,0.0014200990173027,0.0380228600445724,0.0376842011631234,0.8161776421372329,0.8194375672847497,0.0794289676877016,0.0806117160023727,0.0281657194666387,0.0282098779557985,103
AU-Wom,0.0035928816383398,0.0035710922871082,0.0599406509669339,0.0597586168440022,0.864381944290504,0.8652044120884015,0.1081234513978778,0.1081885801053523,0.0414190856310763,0.0414508369835067,103
AU-Ync,0.0023640739354472,0.0024644331122254,0.0486217434431064,0.0496430570394839,-0.825036606380624,-0.9025126821750832,0.1111429952849087,0.1136444140061072,0.0349937188595528,0.0357993111209701,205
BE-Bra,0.0012799662870304,0.0012837888,0.0357766164838218,0.03583,0.6328656798403562,0.6317692995071411,0.0927927860817493,0.09291946,0.0196355609522352,0.01964805,2
BE-Dor,0.0023574180349232,0.0023164714471503,0.0485532494785184,0.0481297355815545,0.8255979775480585,0.8286272102146062,0.0750797072560178,0.0761025623828118,0.0294941644058132,0.0296670580177806,103
BE-Lcr,0.0029411629356576,0.002960264,0.0542324896686263,0.054408308,0.7256230136930997,0.7238410711288452,0.0878029617247948,0.08911306,0.0388517560172788,0.03925185,26
BE-Lon,0.005915434967123,0.0059552854007042,0.0769118649307314,0.0771704956619062,0.515850785160145,0.5125892234598474,0.318673334518809,0.3268255248265168,0.0467760599243835,0.0476357027514587,205
BE-Maa,0.0041068174693194,0.0040728147,0.064084455754258,0.06381861,0.6318733441356872,0.6349213123321533,0.0661609673500905,0.06637398,0.038412651565103,0.038425013,13
BE-Vie,0.002311350097369,0.00231135,0.0480765025492601,0.048076503,0.7998307743256551,0.7998307943344116,0.0809630771376004,0.08096308,0.0321648883002957,0.032164883,1
BR-Npw,0.0038017518323976,0.0038021407466077,0.0616583476294788,0.061661501332742,0.5242049202316601,0.524156247021053,0.1341950311374247,0.1339898707743874,0.0361605645772567,0.0361197668534799,2
BR-Sa3,0.0072601594345022,0.007252156756744,0.0852065691980509,0.085159595799558,0.7181464295531299,0.7184571091352546,0.1484657942229271,0.1482236039239336,0.0550838388714178,0.0550486959090659,4
CA-ARB,0.0061379432106357,0.0061456150107429,0.0783450267128411,0.0783939730511404,0.6261953895260599,0.6257281720637482,0.293433278538411,0.2925757751655776,0.054102569453631,0.05410942548412,13
CA-ARF,0.0056163882983977,0.0056073975221457,0.0749425666653985,0.0748825581971243,0.6779232178514378,0.6784388019119432,0.2307135604190927,0.231976892272582,0.0557208498736043,0.0558696110891664,103
CA-DB2,0.0001220259914792,0.00012202599,0.0110465375335094,0.011046537,0.0971990886435714,0.0971990227699279,0.0167273373239248,0.016727338,0.0068241554526455,0.0068241553,1
CA-DBB,6.16031900002965e-05,6.257760703270615e-05,0.0078487699673449,0.0079106009274078,0.4896728006127698,0.481600629103755,0.0118713753936426,0.0119822882356604,0.0047948696017024,0.004840320867577,52
CA-Gro,0.0020016622045013,0.0020018212230134,0.0447399397015834,0.0447417168089634,0.6179872839134322,0.6179569355891237,0.0971909946277317,0.0971058438367369,0.0335700220231098,0.0335491852745797,205
CA-LP1,0.0043549790468958,0.0043434623765997,0.0659922650535336,0.0659049495607105,0.5589719254909505,0.5601382169634751,0.0993877242380468,0.0993993511886969,0.0401580676538879,0.0400877984083449,103
CA-NS1,0.0046653240874487,0.0046624130991629,0.0683031777258478,0.0682818650826335,0.679648414369934,0.6798483018151831,0.1075071199669718,0.1074689118838321,0.050889110191372,0.0509377690636042,103
CA-NS2,0.0034759600304553,0.0034425473971376,0.0589572729224762,0.0586732255559348,0.6973856262242132,0.7002945040648841,0.111767750367631,0.1122629605214825,0.0434062203042669,0.0434253414475044,103
CA-NS3,0.0031641954084586,0.0031865784,0.056251181396115,0.056449786,0.620328821808916,0.6176431179046631,0.1158881134568216,0.11623811,0.0387125952687329,0.03881638,7
CA-NS4,0.0026162095599994,0.0025936604840337,0.0511488959802599,0.0509279931278839,0.6648970321626054,0.6677852802577182,0.0720866309057204,0.071769591086616,0.0391010917397971,0.0389418790689271,205
CA-NS5,0.0055815445161483,0.0055070923160702,0.0747097350828415,0.0742097858511275,0.7064234029794974,0.7103394200382872,0.1716317093021039,0.1712283095337697,0.0566815394090064,0.0564352506661696,205
CA-NS6,0.0070637671175475,0.007049743923225,0.0840462201264731,0.083962753189882,0.656135961415655,0.6568186102280176,0.2456388070581066,0.2489684359068372,0.0589236046170472,0.0592476408786093,103
CA-NS7,0.0036410160907833,0.0036289920627444,0.0603408326987898,0.0602411160482976,0.5721523168327847,0.5735652335600117,0.1465473343262838,0.1465064141191668,0.0480895003855272,0.04800074644966,205
CA-Oas,0.0054551899114138,0.0053803366186858,0.0738592574523589,0.0733507779010275,0.6380315965706624,0.6429983396722148,0.2357819036352653,0.2353009819103471,0.0553944501023591,0.0551047291334284,410
