site,ensemble_mse_scaled,full_mse_scaled,O_hat_count,ensemble_rmse,full_rmse
AR-SLu,0.0030189868815624,0.0031225248,52,0.0549453080941621,0.0558795561900772
AT-Neu,0.0021957488508896,0.0021877426,52,0.0468588182831108,0.046773310765863
AU-ASM,0.0009685560382762,0.000964135,52,0.0311216329628796,0.0310505233450259
AU-Cpr,0.0031284206865385,0.0030364657,52,0.0559322866199702,0.0551041350535511
AU-Cum,0.0004062034283725,0.00041738315,52,0.0201544890377429,0.0204299571707823
AU-DaP,0.0016426395932549,0.0015695872,52,0.0405294904144488,0.0396180161037879
AU-DaS,0.0006796557486949,0.00069530046,52,0.0260702080677331,0.0263685505858778
AU-Dry,0.001201331714599,0.0011099003,52,0.0346602324660265,0.0333151662160043
AU-Emr,0.0045207384906027,0.0043976405,52,0.0672364372241919,0.0663147080216749
AU-GWW,0.0031573513428434,0.0031915165,52,0.0561903136033551,0.0564935084766382
AU-Gin,0.0039746675784958,0.0039819186,52,0.0630449647354632,0.0631024452775009
AU-How,0.0006391692182585,0.0006452107,52,0.0252817961833905,0.0254009980118892
AU-Lox,0.003840700595468,0.0034081184,54,0.0619733861868786,0.0583790921477886
AU-RDF,0.0055862791352215,0.005288373,52,0.0747414151272338,0.0727212004851405
AU-Rig,0.0087221399152018,0.008499792,52,0.0933923975235768,0.0921943165276472
AU-Rob,0.0038593591658405,0.0039201966,52,0.06212374075859,0.0626114733894675
AU-Stp,0.0019943323181203,0.001961287,52,0.0446579479837609,0.0442864200404593
AU-TTE,0.0013758704811336,0.0014121732,52,0.0370927281435809,0.0375788930119023
AU-Wac,0.0042004111043562,0.0039268443,52,0.0648105786454356,0.0626645378184504
AU-Whr,0.0007346388878335,0.0007550284,52,0.0271042226937704,0.0274777801141213
AU-Wom,0.0022937727922,0.0023133624,52,0.04789334809971,0.048097426126561
AU-Ync,0.0014326808526686,0.0014472934,52,0.0378507708332155,0.0380433095300606
BE-Bra,0.0010683823594907,0.001070778,52,0.0326861187584378,0.0327227443836851
BE-Dor,0.0014089989993606,0.0014319482,52,0.0375366354294121,0.0378410914218921
BE-Lcr,0.0024568450548581,0.0025102731,52,0.0495665719498342,0.0501026256796986
BE-Lon,0.0054484365187243,0.005459178,52,0.0738135253102322,0.0738862504123737
BE-Maa,0.003069024859899,0.0030335095,52,0.0553987803105718,0.0550773047633959
BE-Vie,0.0012356416798023,0.0012329543,52,0.0351516952621392,0.0351134489903797
BR-Npw,0.0035912768672309,0.0036587927,52,0.0599272631381652,0.0604879549993219
BR-Sa3,0.0061310094715529,0.0061630644,52,0.0783007629053057,0.0785051870897713
CA-ARB,0.0028151517932146,0.0028206601,52,0.0530580040447678,0.053109887026805
CA-ARF,0.0017675169549381,0.0018207395,52,0.0420418476632283,0.0426701242088653
CA-DB2,0.0001182192366035,0.00012547223,52,0.010872866990978,0.0112014387468753
CA-DBB,5.760129943393566e-05,6.0399336e-05,52,0.0075895519916484,0.0077717009721167
CA-Gro,0.0007283535319928,0.0007401744,52,0.026988025714987,0.0272061463643787
CA-LP1,0.0031644149326341,0.0031788377,52,0.0562531326472944,0.0563811821443999
CA-NS1,0.0016279646018866,0.001667909,52,0.0403480433464449,0.0408400416258357
CA-NS2,0.0012818152374793,0.0013158773,52,0.0358024473671745,0.0362750230875184
CA-NS3,0.0009454873561539,0.0009551652,52,0.0307487781245678,0.0309057470383745
CA-NS4,0.0011683864699469,0.0011907131,52,0.0341816686243796,0.0345067109414965
CA-NS5,0.0010586530992358,0.0011041077,52,0.0325369497531007,0.0332281161066949
CA-NS6,0.0021059751866719,0.0020585114,52,0.0458909052718716,0.0453708210196818
CA-NS7,0.0012408658070022,0.0013110174,52,0.0352259252114433,0.0362079742598229
CA-Oas,0.0009484717012153,0.0009738942,52,0.0307972677556841,0.0312072779972877
CA-Obs,0.0011729875525405,0.0011903886,52,0.034248905859027,0.0345020086371793
CA-Qfo,0.0005936437854195,0.0006007773,52,0.0243648062873378,0.0245107588621813
CA-SF1,0.0026635607779592,0.0026544912,52,0.0516096965497686,0.0515217546285062
CA-SF2,0.0035289009403815,0.0035364947,52,0.0594045531957063,0.0594684344841866
CA-SF3,0.0009852729419854,0.0009859529,52,0.0313890576791562,0.0313998869424716
CA-TP1,0.0031191102486504,0.0031539937,52,0.055848995054973,0.056160428239108
CA-TP4,0.0015416327124069,0.0015765626,52,0.0392636309121673,0.0397059516949285
CA-TPD,0.0009763833606047,0.00097468746,52,0.0312471336382187,0.031219984945544
CH-Aws,0.0013045413531886,0.0012945709,52,0.0361184350877581,0.035980145914101
CH-Cha,0.0028681248862862,0.0028940279,52,0.0535548773342465,0.0537961699380169
CH-Dav,0.000340164291194,0.0003448855,52,0.0184435433470361,0.0185710931288387
CH-Fru,0.0023315794817376,0.00235167,53,0.0482864316525626,0.0484940202499236
CH-Lae,0.0013088185288409,0.0013204725,52,0.0361775970573074,0.0363383062346059
CH-Oe1,0.0065544835277293,0.0065987166,52,0.0809597648695282,0.0812324848813576
CH-Oe2,0.0017593498262571,0.0017670767,52,0.0419446042567706,0.0420366114238529
CN-Cha,0.0021041628832317,0.0021156548,52,0.0458711552419567,0.0459962476730439
CN-Cng,0.0014925641618234,0.0014974102,52,0.0386337179394295,0.0386963848440652
CN-Dan,0.0014033117607443,0.0013542357,52,0.037460802991184,0.0367999415760405
CN-Din,0.0032614710523341,0.003306368,52,0.0571092904205095,0.0575010260778014
CN-Du2,0.0012614386768634,0.0012219591,52,0.0355167379817375,0.034956531578519
CN-Du3,0.0004269388233227,0.0005828593,52,0.0206624979932896,0.0241424791601856
CN-Ha2,0.0023676691653444,0.0023871942,52,0.0486587008185011,0.0488589213961994
CN-HaM,0.0087471078278242,0.011828806,52,0.09352597408113,0.1087603144533887
CN-Qia,0.0019320657744281,0.0019466337,52,0.0439552701553306,0.0441206720257069
CN-Sw2,0.0016739065508138,0.0016871534,52,0.0409134030705562,0.0410749729153897
CZ-BK1,0.0011950268444756,0.0011889822,52,0.0345691603090905,0.0344816211915855
CZ-BK2,0.0032781541340397,0.003255686,52,0.0572551668763588,0.057058618980834
CZ-KrP,0.0020051318343452,0.001979267,52,0.0447786984440727,0.0444889536851565
CZ-Lnz,0.0007794149561363,0.00079238764,52,0.0279180041574662,0.0281493808102416
CZ-RAJ,0.0017720516869936,0.0017829676,52,0.0420957442860154,0.0422252010060343
CZ-Stn,0.0008391145006426,0.0008451485,52,0.0289674731490787,0.0290714378729363
CZ-wet,0.0016757970682856,0.0016841063,52,0.0409365004401402,0.041037864223178
DE-Geb,0.0018805340425745,0.0018763812,52,0.0433651247268412,0.0433172159770223
DE-Gri,0.0019109369357238,0.0019065391,52,0.0437142646709721,0.0436639336294841
DE-Hai,0.0026105574123122,0.0026186102,52,0.0510936142028747,0.0511723577725318
DE-HoH,0.0011264018784052,0.0011472905,52,0.0335619111256376,0.0338716769587807
DE-Hte,0.0009313717337816,0.0009488725,52,0.0305183835381495,0.0308037741194159
DE-Hzd,0.0014792556324736,0.0014620618,52,0.03846109245034,0.0382369167167019
DE-Kli,0.0021148827128838,0.0021272523,52,0.0459878539712802,0.0461221454401245
DE-Lkb,0.00262473583497,0.0026772937,52,0.0512321757782157,0.0517425714475034
DE-Lnf,0.001414869965325,0.0014149374,52,0.0376147572812187,0.0376156536564234
DE-Obe,0.0023461127702407,0.0023416106,52,0.0484366882666507,0.0483901911548197
DE-RuR,0.0012048443560965,0.0012156526,52,0.0347108679824705,0.0348662100033829
DE-RuS,0.0060015878691047,0.0062320586,52,0.0774699158971061,0.0789433885768783
DE-RuW,0.0006760777431108,0.0006860358,52,0.0260014950168408,0.0261922851236771
DE-Seh,0.0267058670047421,0.027190834,52,0.1634192981405259,0.1648964341639927
DE-SfN,0.0026662812661437,0.0027461848,52,0.0516360461900763,0.0524040532783486
DE-Tha,0.0013461143471142,0.0013752711,52,0.0366894310001422,0.0370846477669668
DK-Fou,0.0148290117009454,0.015132525,52,0.1217744295857935,0.1230143284337235
DK-Gds,0.0008263986422692,0.0008403483,52,0.0287471501590888,0.028988761615495
DK-Skj,0.0006765506020269,0.0006874428,52,0.0260105863453114,0.0262191304203629
DK-Sor,0.0019683169213875,0.0019393737,53,0.0443657178617398,0.044038320812674
DK-Vng,0.0003829699491602,0.000404464,52,0.0195696180126286,0.0201112903613865
ES-Abr,0.0016576859201376,0.001652361,52,0.0407146892427978,0.0406492435353968
ES-Agu,0.004607199885408,0.0046051005,52,0.0678763573375,0.0678608907987509
ES-Amo,0.0037027312767893,0.0037146118,52,0.060850072118193,0.0609476152117537
ES-LJu,0.0030074670515927,0.0030482274,52,0.0548403779307974,0.0552107543871662
ES-LM1,0.0009314604043715,0.00094862777,52,0.0305198362441789,0.030799801460399
ES-LM2,0.001007621191632,0.0010036944,52,0.0317430495011427,0.0316811363432563
ES-LgS,0.0044669155143171,0.004526237,52,0.0668349872021914,0.0672773141556646
FI-Hyy,0.0011683798699865,0.0011915144,52,0.0341815720818469,0.0345183197737085
FI-Ken,0.001646925582433,0.0017156892,52,0.0405823309142414,0.0414208787931883
FI-Let,0.0006167460689717,0.00062240596,52,0.0248343727315932,0.0249480652556465
FI-Lom,0.0033050059087838,0.0032972768,52,0.0574891807976405,0.0574219191598469
FI-Qvd,0.0034993215295395,0.0035081005,52,0.0591550634311172,0.0592292199847338
FI-Sii,0.0007790603803053,0.00080772076,52,0.0279116531274179,0.0284204285681972
FI-Sod,0.0008707394776683,0.0008790042,52,0.0295082950654269,0.0296480049919046
FI-Var,0.002399072315372,0.0024285424,52,0.0489803257989572,0.0492802435058918
FR-Aur,0.0012150953532742,0.0013421208,52,0.0348582178728947,0.0366349669032196
FR-Bil,0.0018016486852094,0.0018346983,52,0.0424458323656092,0.0428333783397947
FR-EM2,0.0027065677496057,0.0027043815,52,0.0520246840413827,0.0520036681398533
FR-FBn,0.0019583990892526,0.0019466681,52,0.0442538031049603,0.0441210618639216
FR-Fon,0.0019592462101328,0.001967979,52,0.0442633732349083,0.0443619093367271
FR-Gri,0.0068453715360232,0.006956482,52,0.082736760487846,0.0834055273947716
FR-Hes,0.0011561656541847,0.0011871419,52,0.034002436003685,0.0344549256275499
FR-LBr,0.002607406350476,0.0026233587,52,0.051062768731004,0.0512187338773617
FR-LGt,0.0011294423703237,0.0011564587,52,0.0336071773632315,0.0340067449192068
FR-Lam,0.007228072592597,0.007223115,52,0.0850180721529075,0.0849889110413823
FR-Mej,0.0021200756729086,0.0021992156,52,0.046044279480828,0.0468957951206715
FR-Pue,0.0059941897517278,0.0058466974,52,0.0774221528487021,0.0764636998843242
FR-Tou,0.0022384980672591,0.0022317576,52,0.0473127685435876,0.0472414817718496
GF-Guy,0.0033938173374168,0.0034266596,52,0.0582564789308176,0.0585376767560859
GH-Ank,0.0010668003144568,0.0011012489,52,0.0326619092285922,0.0331850704383763
GL-NuF,0.0030952863296946,0.0030922638,52,0.0556352975160068,0.0556081271038685
GL-ZaF,0.001914584559941,0.0020390018,52,0.0437559659925478,0.0451553075507187
