site,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,O_hat_count
AR-SLu,0.0028364599814311,0.0028612853,0.0532584263889868,0.053490985,0.9418694790331552,0.9413607120513916,0.1236015461992577,0.12432211,0.0338217099413184,0.0340391,8
AT-Neu,0.0022932860903962,0.0022925728,0.0478882667299225,0.047880817,0.8364639948432684,0.8365148305892944,0.0745617463468348,0.07463579,0.0292426257694557,0.029207906,8
AU-ASM,0.0023249751259058,0.0023851849,0.0482179958719343,0.048838355,0.3495689124316976,0.3327248096466064,0.1012772129554381,0.10220969,0.0258023020636378,0.026110617,8
AU-Cpr,0.0035771230730999,0.0035941438,0.0598090551095732,0.05995118,-2.182674821313906,-2.1978189945220947,0.0871797117033894,0.08727779,0.0381510854920008,0.03820384,8
AU-Cum,0.0004556532334267,0.0004717863,0.0213460355435561,0.021720642,0.7506779318450999,0.7418503165245056,0.0414139793895025,0.042054527,0.0142084494448572,0.014464148,8
AU-DaP,0.0013003023613948,0.0013567894,0.0360597055089862,0.036834624,0.8710778330783603,0.8654772639274597,0.0703215903917259,0.07093484,0.021686481213698,0.022040408,8
AU-DaS,0.0007373679895092,0.00074542046,0.0271545206090864,0.02730239,0.7569020854718789,0.7542473673820496,0.0293814538765857,0.02947665,0.0154415979983189,0.015492612,8
AU-Dry,0.0016877240990373,0.0016452319,0.0410819193689553,0.040561456,0.7762428854359456,0.7818764448165894,0.0574473573922622,0.056729272,0.0262900324454161,0.026002508,8
AU-Emr,0.0036060706952186,0.003590525,0.0600505678176206,0.05992099,0.2761364672732874,0.27925705909729,0.0794593166621484,0.08002456,0.0332062345481728,0.033408225,8
AU-GWW,0.0028483942914963,0.002887847,0.0533703503032942,0.05373869,0.7200507000664715,0.7161731719970703,0.0724256114485358,0.07287779,0.0336450654992477,0.033896975,8
AU-Gin,0.0041932187001879,0.0041968483,0.0647550669846611,0.06478309,0.9009645741819404,0.9008788466453552,0.0887396760098807,0.08889035,0.0399769046561178,0.040005937,8
AU-How,0.0008960341938034,0.00087008934,0.0299338302561402,0.029497277,0.8111552857984891,0.816623330116272,0.0369379310573975,0.036760993,0.0176249252667853,0.017446022,8
AU-Lox,0.0041240596211027,0.004144529,0.0642188416362579,0.064378016,-0.3285045601820555,-0.3350985050201416,0.1697347816977601,0.17125602,0.0364259200115852,0.036704097,8
AU-RDF,0.004709725851963,0.004608387,0.0686274424116404,0.0678851,-7.353175277983066,-7.173440933227539,0.116930177374398,0.11706393,0.0389972249713845,0.039112,8
AU-Rig,0.0133143500282381,0.013173148,0.1153878244367148,0.11477434,0.4570071797636312,0.4627657532691955,0.1892968323299838,0.1883125,0.063855251815689,0.063536905,8
AU-Rob,0.0040610986643842,0.004103333,0.0637267499907553,0.06405727,0.7284930421876303,0.7256694436073303,0.1160495972226431,0.11670964,0.0450809949993213,0.045302644,8
AU-Stp,0.002255714385677,0.002352925,0.0474943616198496,0.04850696,0.6282447779990437,0.6122238636016846,0.0785880395639656,0.07986787,0.0274530294982175,0.027978314,8
AU-TTE,0.0015692622530903,0.0016110345,0.0396139148922494,0.040137693,0.157663924591754,0.1352417469024658,0.0913244177187984,0.09027126,0.0206915240265351,0.020627962,8
AU-Wac,0.0036031738258002,0.0036065266,0.0600264427215226,0.060054366,0.326285278936458,0.32565838098526,0.0938345600516984,0.0940527,0.0348595002627986,0.034943677,8
AU-Whr,0.000958578309276,0.00096331345,0.0309609158339355,0.031037292,0.8781188992020453,0.8775168657302856,0.0485285316165403,0.048777122,0.0188403751115271,0.018925615,8
AU-Wom,0.0021628362361839,0.0021794199,0.0465063031876751,0.046684258,0.9183608939300182,0.917734920978546,0.0842385092959741,0.084461026,0.030817146822433,0.03096163,8
AU-Ync,0.0015031375326669,0.001522908,0.0387703176756002,0.039024454,-0.1604040721437276,-0.1756666898727417,0.0790591616528244,0.07943528,0.0243923062404581,0.024574323,8
BE-Bra,0.0011060070155227,0.0011055836,0.0332566837721793,0.033250317,0.6827626337895343,0.6828840970993042,0.087465879271571,0.087235205,0.016634167022258,0.016629688,8
BE-Dor,0.0018119340724785,0.0018177303,0.0425668189142501,0.04263485,0.8659529357506877,0.8655241131782532,0.0608445146928723,0.060937036,0.0246804565477094,0.024716878,8
BE-Lcr,0.0030395877620002,0.0030620738,0.0551324565206395,0.05533601,0.7164410989809826,0.7143434286117554,0.0650385244400959,0.06567109,0.0310611924062162,0.03126965,8
BE-Lon,0.0066224809594913,0.00650812,0.0813786271664207,0.08067292,0.4579825533287964,0.4673424959182739,0.2550307288034457,0.24713649,0.0399521668354231,0.03966277,8
BE-Maa,0.0035910869977951,0.0035314818,0.0599256789514737,0.05942627,0.6781023609419902,0.6834452152252197,0.0560885691872881,0.055623345,0.0335610937012911,0.0332505,8
BE-Vie,0.0013466836867324,0.001338537,0.0366971890848931,0.03658602,0.8833735178810262,0.8840790390968323,0.053903662628057,0.05401276,0.0219900331463589,0.021925583,8
BR-Npw,0.0035676980038213,0.0036023657,0.0597302101437901,0.060019713,0.5534971162894244,0.5491583943367004,0.1220680122528179,0.122267544,0.0323219884033468,0.032564543,8
BR-Sa3,0.0060903887389534,0.006127597,0.0780409427092822,0.078278966,0.7635592128561658,0.7621147036552429,0.1321778983968427,0.13264212,0.0489400307129487,0.049142126,8
CA-ARB,0.0038787432651984,0.003891028,0.0622795573619344,0.062378105,0.7637820902507579,0.763033926486969,0.1716224848548813,0.17105134,0.0339667858138111,0.0339808,8
CA-ARF,0.0032520637172906,0.0032738096,0.0570268683805327,0.057217214,0.8135075137689705,0.8122604489326477,0.0958452941582659,0.09581375,0.029694061072559,0.029704995,8
CA-DB2,0.0001051777956566,0.000106593405,0.0102556226362241,0.010324408,0.2218493074942342,0.2113759517669677,0.0131092654962128,0.013137981,0.0053979214848519,0.00541145,8
CA-DBB,5.4713430825478506e-05,5.5444027e-05,0.0073968527648911,0.0074460744,0.5467482784268315,0.5406959056854248,0.0098936326719988,0.0099896435,0.0040152019081893,0.0040535578,8
CA-Gro,0.0010112526556532,0.001025165,0.0318001989876354,0.032018196,0.8070047120003041,0.8043495416641235,0.0439814482832756,0.044140253,0.0168047659552116,0.01687463,8
CA-LP1,0.003574518861007,0.0035623973,0.0597872800937379,0.059685823,0.6380090113889508,0.639236569404602,0.0767167468176465,0.076719545,0.0312292293238815,0.031203467,8
CA-NS1,0.0018860389077861,0.00181337,0.0434285494552386,0.04258368,0.8704922652008759,0.8754822015762329,0.0581185295401122,0.05736984,0.028384234170631,0.027889788,8
CA-NS2,0.0017098361795257,0.0016712537,0.041350165411105,0.04088097,0.851142993534771,0.8545019626617432,0.0646453189962519,0.0646121,0.0263914818531455,0.026421625,8
CA-NS3,0.0013271278783763,0.0012864287,0.0364297663782844,0.03586682,0.840758189634425,0.8456416726112366,0.0504552986294649,0.050121337,0.0186922246199369,0.018501166,8
CA-NS4,0.0015372264047251,0.0015263839,0.0392074789386565,0.039068963,0.8031009677751016,0.8044897317886353,0.0449424180180642,0.045048933,0.0256207488339115,0.025652466,8
