site,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,O_hat_count,O_hat
AR-SLu,0.0028060607426401,0.0028612853,0.0529722638995178,0.053490985,0.9424924822129932,0.9413607120513916,0.1238910181737906,0.12432211,0.0337827420518076,0.0340391,8,"[['SWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AT-Neu,0.0022826312307323,0.0022925728,0.0477768901324937,0.047880817,0.8372238011283301,0.8365148305892944,0.0747462080195577,0.07463579,0.0292214679483933,0.029207906,7,"[['SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-ASM,0.0020877361235136,0.0023851849,0.0456917511539404,0.048838355,0.4159384923124696,0.3327248096466064,0.0993645661907403,0.10220969,0.025002785818407,0.026110617,7,"[['Tair', 'vpd', 'SWdown_clearsky'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky'], ['Tair', 'vpd', 'LWdown', 'SWdown_clearsky'], ['Tair', 'vpd', 'SWdown_clearsky', 'IGBP_veg_short'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short'], ['Tair', 'vpd', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short']]"
AU-Cpr,0.0021002212686406,0.0035941438,0.0458281711247638,0.05995118,-0.8686305207547107,-2.1978189945220947,0.0925132441472688,0.08727779,0.0397878985233172,0.03820384,7,"[['LWdown'], ['IGBP_veg_short'], ['LST_TERRA_Day'], ['LWdown', 'IGBP_veg_short'], ['LWdown', 'LST_TERRA_Day'], ['IGBP_veg_short', 'LST_TERRA_Day'], ['LWdown', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-Cum,0.0004322792231031,0.0004717863,0.0207913256696909,0.021720642,0.7634676064648325,0.7418503165245056,0.0402825044243328,0.042054527,0.0136959172625054,0.014464148,8,"[['vpd', 'SWdown'], ['Tair', 'vpd', 'SWdown'], ['vpd', 'SWdown', 'SWdown_clearsky'], ['vpd', 'SWdown', 'IGBP_veg_short'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky'], ['Tair', 'vpd', 'SWdown', 'IGBP_veg_short'], ['vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short']]"
AU-DaP,0.001296651917465,0.0013567894,0.03600905327088,0.036834624,0.871439766699047,0.8654772639274597,0.070153752464794,0.07093484,0.0216576648571086,0.022040408,7,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-DaS,0.0007363327597184,0.00074542046,0.0271354520824406,0.02730239,0.7572433834490055,0.7542473673820496,0.0293005132339161,0.02947665,0.0154037140702132,0.015492612,7,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-Dry,0.0016094731299686,0.0016452319,0.0401182393677576,0.040561456,0.7866173364855151,0.7818764448165894,0.0561117404697202,0.056729272,0.0257217199148164,0.026002508,7,"[['Tair', 'vpd', 'SWdown', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-Emr,0.0034353852583573,0.003590525,0.0586121596459077,0.05992099,0.3103989578770434,0.27925705909729,0.0782053594497376,0.08002456,0.0327111156071719,0.033408225,7,"[['Tair', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-GWW,0.0027577240782135,0.002887847,0.0525140369635927,0.05373869,0.7289620585848865,0.7161731719970703,0.0716955519153774,0.07287779,0.0332284876000252,0.033896975,7,"[['vpd', 'SWdown', 'LWdown'], ['Tair', 'vpd', 'SWdown', 'LST_TERRA_Day'], ['vpd', 'SWdown', 'LWdown', 'IGBP_veg_short'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-Gin,0.0041973578778233,0.0041968483,0.0647870193620863,0.06478309,0.9008668150978176,0.9008788466453552,0.0887373372786982,0.08889035,0.039980416099632,0.040005937,7,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-How,0.0008267591596606,0.00087008934,0.0287534199646,0.029497277,0.8257554250727036,0.816623330116272,0.0361286050496788,0.036760993,0.0171180534525005,0.017446022,7,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-Lox,0.0040233489121015,0.004144529,0.0634298739719819,0.064378016,-0.2960621009405051,-0.3350985050201416,0.1686665896115394,0.17125602,0.0360851725909409,0.036704097,8,"[['vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['vpd', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['vpd', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-RDF,0.0019566117528579,0.004608387,0.0442336043394378,0.0678851,-2.47024889267638,-7.173440933227539,0.091194718108143,0.11706393,0.0301636800473723,0.039112,7,"[['LWdown'], ['Tair', 'vpd'], ['Tair', 'LWdown'], ['LWdown', 'IGBP_veg_short'], ['Tair', 'vpd', 'LWdown'], ['Tair', 'vpd', 'IGBP_veg_short'], ['Tair', 'vpd', 'LWdown', 'IGBP_veg_short']]"
AU-Rig,0.0087703422975056,0.013173148,0.093650105699383,0.11477434,0.6423232911512191,0.4627657532691955,0.1781097177925526,0.1883125,0.0548515862194866,0.063536905,7,"[['LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['vpd', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['vpd', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
