site,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,G_hat_count,O_hat_count,O_hat
AR-SLu,0.0028608764331424,0.0028612853,0.0534871613860972,0.053490985,0.941369087323972,0.9413607120513916,0.1243150254359078,0.12432211,0.0340354596224664,0.0340391,16,4,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AT-Neu,0.0022924865408275,0.0022925728,0.0478799179283709,0.047880817,0.8365210113415295,0.8365148305892944,0.074634845677062,0.07463579,0.0292074174277003,0.029207906,14,2,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-ASM,0.0023861074811859,0.0023851849,0.0488477991437278,0.048838355,0.3324666286750267,0.3327248096466064,0.1022239655449769,0.10220969,0.0261149832651832,0.026110617,14,2,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-Cpr,0.003594140403833,0.0035941438,0.05995115014604,0.05995118,-2.19781565626515,-2.1978189945220947,0.087277917804472,0.08727779,0.0382039018443089,0.03820384,14,2,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-Cum,0.0004688407887219,0.0004717863,0.0216527316688212,0.021720642,0.7434620309825477,0.7418503165245056,0.0419359566163248,0.042054527,0.0144112042214454,0.014464148,14,2,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-DaP,0.0013568016958602,0.0013567894,0.0368347892061324,0.036834624,0.8654760462592571,0.8654772639274597,0.0709337040436514,0.07093484,0.0220402017773673,0.022040408,14,2,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-DaS,0.0007454179733483,0.00074542046,0.0273023437336131,0.02730239,0.7542481402083144,0.7542473673820496,0.0294763855447212,0.02947665,0.0154924703680643,0.015492612,14,2,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-Dry,0.0016453216166218,0.0016452319,0.040562564226413,0.040561456,0.7818645727253842,0.7818764448165894,0.0567304329577302,0.056729272,0.0260030963382425,0.026002508,14,2,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-Emr,0.0035920537505401,0.003590525,0.0599337446730987,0.05992099,0.2789501545108782,0.27925705909729,0.0800533876944118,0.08002456,0.0334185489583722,0.033408225,14,2,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-GWW,0.0028878441640513,0.002887847,0.053738665447249,0.05373869,0.7161734404338373,0.7161731719970703,0.0728777125925541,0.07287779,0.0338969381033278,0.033896975,14,2,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
