site,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,G_hat_count,O_hat_count,O_hat
AR-SLu,0.002834663927173,0.0028612853,0.0532415620279216,0.053490985,0.9419062874388412,0.9413607120513916,0.1254263207972841,0.12432211,0.0341444169021457,0.0340391,14,4,"[['SWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AT-Neu,0.0022850526956208,0.0022925728,0.0478022247978152,0.047880817,0.8370511245939247,0.8365148305892944,0.0749309621189007,0.07463579,0.0293040980293305,0.029207906,13,1,"[['Tair', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day']]"
AU-ASM,0.0021304007020237,0.0023851849,0.0461562639521848,0.048838355,0.4040027223802305,0.3327248096466064,0.1003876256407024,0.10220969,0.0252329263995915,0.026110617,13,1,"[['Tair', 'vpd', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short']]"
AU-Cpr,0.0021251421264655,0.0035941438,0.046099263838651,0.05995118,-0.8908033633167605,-2.1978189945220947,0.087770696353084,0.08727779,0.0379308859570655,0.03820384,13,1,"[['LWdown', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-Cum,0.0004444015942488,0.0004717863,0.0210808347616712,0.021720642,0.7568345477630071,0.7418503165245056,0.0408084343305445,0.042054527,0.0139216799500098,0.014464148,13,1,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short']]"
AU-DaP,0.0013276614443065,0.0013567894,0.0364370888560899,0.036834624,0.8683652391781286,0.8654772639274597,0.0710923439682296,0.07093484,0.0218895425605674,0.022040408,13,1,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-DaS,0.0007483096054193,0.00074542046,0.0273552482244147,0.02730239,0.7532948173952287,0.7542473673820496,0.0296520307689224,0.02947665,0.0155918274689783,0.015492612,13,1,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day']]"
AU-Dry,0.0015982550708731,0.0016452319,0.0399781824358383,0.040561456,0.7881046178104989,0.7818764448165894,0.055900528328645,0.056729272,0.025626553868692,0.026002508,13,1,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-Emr,0.0034295583710309,0.003590525,0.0585624313961684,0.05992099,0.3115686163783331,0.27925705909729,0.0777177154178078,0.08002456,0.0326079092296426,0.033408225,13,1,"[['Tair', 'vpd', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-GWW,0.0028384592351495,0.002887847,0.0532771924480776,0.05373869,0.7210271491758525,0.7161731719970703,0.0723319030459891,0.07287779,0.0336620868098059,0.033896975,13,1,"[['vpd', 'SWdown', 'LWdown', 'IGBP_veg_short']]"
AU-Gin,0.0041968488064932,0.0041968483,0.0647830904364189,0.06478309,0.9008788383428604,0.9008788466453552,0.0888903513089321,0.08889035,0.0400059401133063,0.040005937,13,1,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
AU-How,0.0008700323354585,0.00087008934,0.0294963105397708,0.029497277,0.8166353372762043,0.816623330116272,0.0367600490171285,0.036760993,0.0174455649254569,0.017446022,13,1,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day']]"
AU-Lox,0.0059927384703092,0.004144529,0.0774127797608975,0.064378016,-0.9304716995471982,-0.3350985050201416,0.3497648263674249,0.17125602,0.0596008281001457,0.036704097,13,1,"[['Tair', 'LWdown', 'IGBP_veg_short']]"
AU-RDF,0.0021309685314831,0.004608387,0.0461624147059399,0.0678851,-2.7794882791162823,-7.173440933227539,0.0885679826484282,0.11706393,0.0295232187926048,0.039112,13,1,"[['Tair', 'vpd', 'IGBP_veg_short']]"
AU-Rig,0.0086957811367442,0.013173148,0.0932511723076138,0.11477434,0.6453640835951628,0.4627657532691955,0.1759200188346603,0.1883125,0.0543436202223628,0.063536905,13,1,"[['Tair', 'vpd', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day']]"
AU-Rob,0.0035428638185029,0.004103333,0.0595219608086208,0.06405727,0.7631399143928175,0.7256694436073303,0.1051292673637309,0.11670964,0.0405879663645291,0.045302644,13,1,"[['vpd', 'SWdown']]"
AU-Stp,0.0022293213879829,0.002352925,0.0472156900614932,0.04850696,0.6325945018733636,0.6122238636016846,0.0783924995139072,0.07986787,0.0273333090299669,0.027978314,13,1,"[['Tair', 'vpd', 'SWdown', 'LST_TERRA_Day']]"
AU-TTE,0.0014903311698745,0.0016110345,0.0386048076005374,0.040137693,0.200031921867447,0.1352417469024658,0.0903374588205138,0.09027126,0.0202663777154329,0.020627962,13,1,"[['vpd', 'SWdown', 'LWdown', 'IGBP_veg_short']]"
AU-Wac,0.0035761347116643,0.0036065266,0.0598007918983046,0.060054366,0.3313410020623958,0.32565838098526,0.0928658273030854,0.0940527,0.0345516902092805,0.034943677,13,1,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky']]"
AU-Whr,0.0009515302976876,0.00096331345,0.0308468847322974,0.031037292,0.8790150382055238,0.8775168657302856,0.0485169573139122,0.048777122,0.0187997931547868,0.018925615,13,1,"[['Tair', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day']]"
AU-Wom,0.0021684187345866,0.0021794199,0.0465662832378393,0.046684258,0.9181501751656432,0.917734920978546,0.0847961038292942,0.084461026,0.031006420069926,0.03096163,13,1,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short']]"
AU-Ync,0.0014252697372347,0.001522908,0.0377527447642512,0.039024454,-0.1002910718728027,-0.1756666898727417,0.0798475852347328,0.07943528,0.0246668558514893,0.024574323,13,1,[['LST_TERRA_Day']]
BE-Bra,0.0011378178503366,0.0011055836,0.0337315557058471,0.033250317,0.6736382925225324,0.6828840970993042,0.0865320791549386,0.087235205,0.0169643995701099,0.016629688,13,1,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky']]"
BE-Dor,0.0018077759958467,0.0018177303,0.0425179491020763,0.04263485,0.8662605506765744,0.8655241131782532,0.0608863621954617,0.060937036,0.0246863695389475,0.024716878,13,1,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
BE-Lcr,0.0024883440944835,0.0030620738,0.0498833047670614,0.05533601,0.7678658515440939,0.7143434286117554,0.0593502490065599,0.06567109,0.0280978361618295,0.03126965,13,2,"[['Tair', 'vpd', 'SWdown', 'LWdown'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'IGBP_veg_short']]"
BE-Lon,0.0057994212752082,0.00650812,0.0761539314494548,0.08067292,0.5253459344033368,0.4673424959182739,0.2272652010022059,0.24713649,0.038234250607766,0.03966277,13,1,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky']]"
BE-Maa,0.003314171454357,0.0035314818,0.0575688410023773,0.05942627,0.7029244996721071,0.6834452152252197,0.0541233879935848,0.055623345,0.0324180096469019,0.0332505,13,1,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky']]"
BE-Vie,0.0013385370308847,0.001338537,0.0365860223430302,0.03658602,0.8840790405081367,0.8840790390968323,0.0540127585226338,0.05401276,0.0219255828667497,0.021925583,13,1,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
BR-Npw,0.003579902953548,0.0036023657,0.0598322902248283,0.060019713,0.5519696480892842,0.5491583943367004,0.1212112680485807,0.122267544,0.0324106632125983,0.032564543,14,2,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
BR-Sa3,0.0060480202812969,0.006127597,0.0777690187754542,0.078278966,0.7652040391402919,0.7621147036552429,0.1321703957113172,0.13264212,0.0488770931826894,0.049142126,13,1,"[['Tair', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short']]"
CA-ARB,0.0038564490033129,0.003891028,0.0621003140355419,0.062378105,0.7651398248523901,0.763033926486969,0.1721656759080614,0.17105134,0.0338764761258563,0.0339808,13,1,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day']]"
CA-ARF,0.0032225906712171,0.0032738096,0.0567678665374801,0.057217214,0.815197671809176,0.8122604489326477,0.0968034581550649,0.09581375,0.0296779451311882,0.029704995,13,1,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
CA-DB2,0.0001017814827893,0.000106593405,0.0100886809241502,0.010324408,0.2469766948213041,0.2113759517669677,0.0128203577399196,0.013137981,0.0052737729999915,0.00541145,13,1,"[['Tair', 'SWdown', 'LST_TERRA_Day']]"
CA-DBB,5.532913907075764e-05,5.5444027e-05,0.0074383559386975,0.0074460744,0.5416476876221765,0.5406959056854248,0.0100081292367706,0.0099896435,0.0040624768422053,0.0040535578,13,1,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'IGBP_veg_short', 'LST_TERRA_Day']]"
CA-Gro,0.0010178356853956,0.001025165,0.0319035371925383,0.032018196,0.805748355624916,0.8043495416641235,0.0439917476352968,0.044140253,0.0168176682830945,0.01687463,13,1,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day']]"
CA-LP1,0.0035623971149209,0.0035623973,0.0596858200489943,0.059685823,0.6392365787959318,0.639236569404602,0.0767195407403785,0.076719545,0.0312034656533379,0.031203467,13,1,"[['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
CA-NS1,0.0015837149053347,0.00181337,0.0397959156865967,0.04258368,0.8912518033902787,0.8754822015762329,0.0536605614071053,0.05736984,0.0262552871594517,0.027889788,14,2,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short']]"
CA-NS2,0.0016712538131507,0.0016712537,0.040880971284337,0.04088097,0.8545019443101107,0.8545019626617432,0.0646120974088987,0.0646121,0.0264216241451185,0.026421625,14,2,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short', 'LST_TERRA_Day']]"
CA-NS3,0.0011905153275478,0.0012864287,0.0345038451125059,0.03586682,0.8571503024572048,0.8456416726112366,0.0502152467362841,0.050121337,0.0183567711850104,0.018501166,14,2,"[['Tair', 'vpd', 'SWdown'], ['Tair', 'vpd', 'SWdown', 'LWdown']]"
CA-NS4,0.0015135365376285,0.0015263839,0.0389041969153522,0.039068963,0.8061353366166311,0.8044897317886353,0.044091894328927,0.045048933,0.0250392801621381,0.025652466,14,2,"[['Tair', 'vpd', 'SWdown', 'SWdown_clearsky', 'IGBP_veg_short'], ['Tair', 'vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'IGBP_veg_short']]"
