site,ensemble_mse_scaled,full_mse_scaled,G_hat_count,O_hat_count,ensemble_rmse
AR-SLu,0.0030189868815624,0.0031225248,259,52,0.05494530809416214
AT-Neu,0.0021957488508896,0.0021877426,257,52,0.04685881828311081
AU-ASM,0.0009685560382762,0.000964135,257,52,0.031121632962879696
AU-Cpr,0.0031284206865385,0.0030364657,257,52,0.05593228661997022
AU-Cum,0.0004062034283725,0.00041738315,257,52,0.02015448903774293
AU-DaP,0.0016426395932549,0.0015695872,257,52,0.04052949041444884
AU-DaS,0.0006796557486949,0.00069530046,257,52,0.026070208067733174
AU-Dry,0.001201331714599,0.0011099003,257,52,0.034660232466026536
AU-Emr,0.0045207384906027,0.0043976405,257,52,0.06723643722419191
AU-GWW,0.0031573513428434,0.0031915165,257,52,0.05619031360335516
AU-Gin,0.0039746675784958,0.0039819186,257,52,0.06304496473546321
AU-How,0.0006391692182585,0.0006452107,257,52,0.02528179618339053
AU-Lox,0.003840700595468,0.0034081184,257,54,0.061973386186878636
AU-RDF,0.0055862791352215,0.005288373,257,52,0.07474141512723384
AU-Rig,0.0087221399152018,0.008499792,257,52,0.09339239752357684
AU-Rob,0.0038593591658405,0.0039201966,257,52,0.06212374075859003
AU-Stp,0.0019943323181203,0.001961287,257,52,0.044657947983760965
AU-TTE,0.0013758704811336,0.0014121732,257,52,0.037092728143580916
AU-Wac,0.0042004111043562,0.0039268443,257,52,0.06481057864543566
AU-Whr,0.0007346388878335,0.0007550284,257,52,0.02710422269377043
AU-Wom,0.0022937727922,0.0023133624,257,52,0.04789334809971005
AU-Ync,0.0014326808526686,0.0014472934,257,52,0.03785077083321554
BE-Bra,0.0010683823594907,0.001070778,257,52,0.032686118758437806
BE-Dor,0.0014089989993606,0.0014319482,257,52,0.03753663542941216
BE-Lcr,0.0024568450548581,0.0025102731,257,52,0.04956657194983429
BE-Lon,0.0054484365187243,0.005459178,256,52,0.07381352531023228
BE-Maa,0.003069024859899,0.0030335095,257,52,0.05539878031057182
BE-Vie,0.0012356416798023,0.0012329543,257,52,0.03515169526213921
BR-Npw,0.0035912768672309,0.0036587927,257,52,0.05992726313816525
BR-Sa3,0.0061310094715529,0.0061630644,257,52,0.07830076290530572
CA-ARB,0.0028151517932146,0.0028206601,257,52,0.053058004044767834
CA-ARF,0.0017675169549381,0.0018207395,257,52,0.04204184766322836
CA-DB2,0.0001182192366035,0.00012547223,257,52,0.010872866990978046
CA-DBB,5.760129943393566e-05,6.0399336e-05,257,52,0.007589551991648497
CA-Gro,0.0007283535319928,0.0007401744,257,52,0.02698802571498701
CA-LP1,0.0031644149326341,0.0031788377,257,52,0.05625313264729441
CA-NS1,0.0016279646018866,0.001667909,259,52,0.04034804334644494
CA-NS2,0.0012818152374793,0.0013158773,259,52,0.0358024473671745
CA-NS3,0.0009454873561539,0.0009551652,259,52,0.030748778124567812
CA-NS4,0.0011683864699469,0.0011907131,259,52,0.034181668624379644
CA-NS5,0.0010586530992358,0.0011041077,259,52,0.0325369497531007
CA-NS6,0.0021059751866719,0.0020585114,259,52,0.04589090527187168
CA-NS7,0.0012408658070022,0.0013110174,259,52,0.03522592521144335
CA-Oas,0.0009484717012153,0.0009738942,257,52,0.03079726775568411
CA-Obs,0.0011729875525405,0.0011903886,257,52,0.03424890585902709
CA-Qfo,0.0005936437854195,0.0006007773,257,52,0.02436480628733789
CA-SF1,0.0026635607779592,0.0026544912,257,52,0.05160969654976863
CA-SF2,0.0035289009403815,0.0035364947,257,52,0.059404553195706304
CA-SF3,0.0009852729419854,0.0009859529,257,52,0.031389057679156285
CA-TP1,0.0031191102486504,0.0031539937,259,52,0.05584899505497302
CA-TP4,0.0015416327124069,0.0015765626,257,52,0.03926363091216731
CA-TPD,0.0009763833606047,0.00097468746,257,52,0.03124713363821872
CH-Aws,0.0013045413531886,0.0012945709,256,52,0.036118435087758166
CH-Cha,0.0028681248862862,0.0028940279,257,52,0.053554877334246596
CH-Dav,0.000340164291194,0.0003448855,257,52,0.01844354334703611
CH-Fru,0.0023315794817376,0.00235167,257,53,0.048286431652562606
CH-Lae,0.0013088185288409,0.0013204725,257,52,0.03617759705730744
CH-Oe1,0.0065544835277293,0.0065987166,257,52,0.08095976486952824
CH-Oe2,0.0017593498262571,0.0017670767,257,52,0.04194460425677062
CN-Cha,0.0021041628832317,0.0021156548,257,52,0.04587115524195679
CN-Cng,0.0014925641618234,0.0014974102,257,52,0.03863371793942954
CN-Dan,0.0014033117607443,0.0013542357,257,52,0.037460802991184
CN-Din,0.0032614710523341,0.003306368,257,52,0.057109290420509516
CN-Du2,0.0012614386768634,0.0012219591,259,52,0.03551673798173757
CN-Du3,0.0004269388233227,0.0005828593,263,52,0.020662497993289678
CN-Ha2,0.0023676691653444,0.0023871942,257,52,0.0486587008185011
CN-HaM,0.0087471078278242,0.011828806,259,52,0.09352597408113
CN-Qia,0.0019320657744281,0.0019466337,257,52,0.043955270155330635
CN-Sw2,0.0016739065508138,0.0016871534,257,52,0.04091340307055623
CZ-BK1,0.0011950268444756,0.0011889822,257,52,0.034569160309090526
CZ-BK2,0.0032781541340397,0.003255686,257,52,0.05725516687635886
CZ-KrP,0.0020051318343452,0.001979267,257,52,0.044778698444072715
CZ-Lnz,0.0007794149561363,0.00079238764,257,52,0.0279180041574662
CZ-RAJ,0.0017720516869936,0.0017829676,257,52,0.042095744286015424
CZ-Stn,0.0008391145006426,0.0008451485,257,52,0.028967473149078778
CZ-wet,0.0016757970682856,0.0016841063,257,52,0.04093650044014022
DE-Geb,0.0018805340425745,0.0018763812,257,52,0.043365124726841266
DE-Gri,0.0019109369357238,0.0019065391,257,52,0.04371426467097211
DE-Hai,0.0026105574123122,0.0026186102,257,52,0.051093614202874706
DE-HoH,0.0011264018784052,0.0011472905,257,52,0.033561911125637646
DE-Hte,0.0009313717337816,0.0009488725,259,52,0.03051838353814959
DE-Hzd,0.0014792556324736,0.0014620618,257,52,0.03846109245034
DE-Kli,0.0021148827128838,0.0021272523,257,52,0.04598785397128029
DE-Lkb,0.00262473583497,0.0026772937,257,52,0.05123217577821578
DE-Lnf,0.001414869965325,0.0014149374,257,52,0.03761475728121876
DE-Obe,0.0023461127702407,0.0023416106,257,52,0.04843668826665072
DE-RuR,0.0012048443560965,0.0012156526,257,52,0.03471086798247056
DE-RuS,0.0060015878691047,0.0062320586,257,52,0.07746991589710615
DE-RuW,0.0006760777431108,0.0006860358,257,52,0.026001495016840858
DE-Seh,0.0267058670047421,0.027190834,259,52,0.16341929814052591
DE-SfN,0.0026662812661437,0.0027461848,257,52,0.05163604619007636
DE-Tha,0.0013461143471142,0.0013752711,257,52,0.03668943100014226
DK-Fou,0.0148290117009454,0.015132525,259,52,0.12177442958579358
DK-Gds,0.0008263986422692,0.0008403483,259,52,0.028747150159088814
DK-Skj,0.0006765506020269,0.0006874428,259,52,0.026010586345311403
DK-Sor,0.0019683169213875,0.0019393737,257,53,0.044365717861739824
DK-Vng,0.0003829699491602,0.000404464,257,52,0.01956961801262866
ES-Abr,0.0016576859201376,0.001652361,257,52,0.040714689242797863
ES-Agu,0.004607199885408,0.0046051005,259,52,0.06787635733750007
ES-Amo,0.0037027312767893,0.0037146118,259,52,0.06085007211819309
ES-LJu,0.0030074670515927,0.0030482274,259,52,0.05484037793079748
ES-LM1,0.0009314604043715,0.00094862777,257,52,0.030519836244178963
ES-LM2,0.001007621191632,0.0010036944,257,52,0.03174304950114277
ES-LgS,0.0044669155143171,0.004526237,259,52,0.06683498720219148
FI-Hyy,0.0011683798699865,0.0011915144,257,52,0.03418157208184697
FI-Ken,0.001646925582433,0.0017156892,259,52,0.04058233091424149
FI-Let,0.0006167460689717,0.00062240596,259,52,0.024834372731593203
FI-Lom,0.0033050059087838,0.0032972768,257,52,0.057489180797640524
FI-Qvd,0.0034993215295395,0.0035081005,259,52,0.059155063431117205
FI-Sii,0.0007790603803053,0.00080772076,257,52,0.027911653127417946
FI-Sod,0.0008707394776683,0.0008790042,259,52,0.029508295065426942
FI-Var,0.002399072315372,0.0024285424,259,52,0.04898032579895728
FR-Aur,0.0012150953532742,0.0013421208,257,52,0.03485821787289477
FR-Bil,0.0018016486852094,0.0018346983,259,52,0.042445832365609226
FR-EM2,0.0027065677496057,0.0027043815,257,52,0.052024684041382704
FR-FBn,0.0019583990892526,0.0019466681,257,52,0.04425380310496037
FR-Fon,0.0019592462101328,0.001967979,259,52,0.04426337323490834
FR-Gri,0.0068453715360232,0.006956482,257,52,0.08273676048784603
FR-Hes,0.0011561656541847,0.0011871419,257,52,0.03400243600368509
FR-LBr,0.002607406350476,0.0026233587,257,52,0.051062768731004
FR-LGt,0.0011294423703237,0.0011564587,257,52,0.0336071773632315
FR-Lam,0.007228072592597,0.007223115,257,52,0.08501807215290759
FR-Mej,0.0021200756729086,0.0021992156,257,52,0.04604427948082802
FR-Pue,0.0059941897517278,0.0058466974,257,52,0.07742215284870216
FR-Tou,0.0022384980672591,0.0022317576,257,52,0.04731276854358768
GF-Guy,0.0033938173374168,0.0034266596,257,52,0.058256478930817646
GH-Ank,0.0010668003144568,0.0011012489,257,52,0.03266190922859225
GL-NuF,0.0030952863296946,0.0030922638,259,52,0.05563529751600687
GL-ZaF,0.001914584559941,0.0020390018,259,52,0.0437559659925478
