test_cluster,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,O_hat_count
0,0.0003932033720884,0.00039670468,0.0198293563205787,0.019917447,0.6352731417168485,0.6320255994796753,0.0188403867310693,0.018908728,0.0103498917265409,0.0103906235,2
1,0.0005795559775925,0.0005782126,0.0240739688791148,0.024046052,0.4523141863328027,0.4535836577415466,0.0246249312619026,0.02458107,0.013341824063916,0.013326467,2
2,0.0004728881866571,0.00047775081,0.021745992427507,0.021857511,0.4374409920813689,0.4316561222076416,0.0244270484395582,0.024459511,0.0129230777833568,0.012937212,2
3,0.0006000768571157,0.000603964,0.0244964662169006,0.02457568,0.5826986578395308,0.5799956321716309,0.0232929101338785,0.023393443,0.0128391811523837,0.012887894,2
4,0.0002710527025233,0.00027338564,0.0164636782804858,0.016534377,0.6864212895153079,0.6837222576141357,0.0170070888250413,0.01708525,0.0091468775676612,0.009191952,2
5,0.000745057295465,0.0007436168,0.027295737679445,0.027269337,0.5808857162127924,0.5816960334777832,0.0267293410260516,0.026765652,0.015127454579122,0.0151405865,2
6,0.0005138952949496,0.00051338377,0.0226692588090058,0.022657974,0.6069736823540262,0.6073647737503052,0.021691589610226,0.0217166,0.0120580510640856,0.012065636,2
7,0.0003235372361191,0.00033270643,0.0179871408544868,0.018240241,-0.8717902325133573,-0.9248371124267578,0.0201649460938285,0.020312034,0.0103309046999457,0.010407205,2
8,0.0006507748246885,0.0006516512,0.0255102886045711,0.025527459,0.6016156544661841,0.6010791063308716,0.0316626790830342,0.03173047,0.0145363503990319,0.0145561695,2
9,0.0005284976267601,0.0005254787,0.0229890762485177,0.022923322,0.5504073488061898,0.5529755353927612,0.0232056587830874,0.023201508,0.0126097847997544,0.012606937,2
