test_cluster,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,G_hat_count,O_hat_count,O_hat
0,0.0004630406176179,0.0004626726747683,0.0215183786010464,0.0215098273997803,0.5704936383829058,0.5708349341323835,0.0243350460774863,0.024331305374405,0.0132051123773695,0.0132013419933178,26,2,"[['Tair', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR'], ['Tair', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour']]"
1,0.0005648154203796,0.0005595479926336,0.0237658456693557,0.0236547668057344,0.4662441506213589,0.4712219190553325,0.0289582955066172,0.0284382168470969,0.0154791484886022,0.0152484832724853,13,1,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'fPAR', 'hour']]"
2,0.0005164157691195,0.0005070078860462,0.0227247831479096,0.0225168356135199,0.3856595471267021,0.3968513880684426,0.0308444065639303,0.0310028641773203,0.0161097974279932,0.016190226942998,7,1,"[['SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour']]"
3,0.0006870968509844,0.0006681766522146,0.0262125323268183,0.0258491131804285,0.522183809107049,0.5353411642807986,0.0327244836128602,0.0327345261130818,0.0176364866519266,0.0175719898924414,13,1,"[['vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'fPAR', 'hour']]"
4,0.0003945704861432,0.0003942062052685,0.0198637983815598,0.0198546267975134,0.5435245504351076,0.5439459840747081,0.027783970387599,0.027721865825471,0.0145748709110675,0.01453912202367,13,1,"[['SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour']]"
5,0.0008189020814765,0.0008145791291898,0.0286164652163145,0.0285408326646208,0.5393460859199359,0.541777860043208,0.0329918645233993,0.0329413616471716,0.0182166968587754,0.0181810699109102,13,1,"[['SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour']]"
6,0.0005874786336282,0.0005833009574204,0.0242379585284794,0.0241516243226084,0.5506972600455156,0.553892340273795,0.0280774572318667,0.0279576435115136,0.0153487747589745,0.0152742130356389,26,2,"[['vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'fPAR'], ['vpd', 'SWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'fPAR', 'hour']]"
7,0.000477981982391,0.0004578553980861,0.0218627990520673,0.0213975558904791,-1.765313868316229,-1.6488736577004537,0.0352042078243354,0.0332203546065564,0.0178745376553115,0.0168818780597587,13,1,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'fPAR', 'hour']]"
8,0.0007486922251415,0.0007473881645891,0.0273622408647666,0.0273384009149973,0.5416736314868715,0.5424719372755801,0.0423107849171552,0.0422900363318672,0.0190522632671712,0.0190461871232324,13,1,"[['SWdown', 'LWdown', 'SWdown_clearsky', 'LAI', 'fPAR', 'hour']]"
9,0.0005217237991508,0.0005146808788291,0.0228412740264375,0.0226865792668072,0.5561698403660629,0.5621612489538039,0.0288071493837649,0.028861483726773,0.0154624069883688,0.0154407677316719,26,2,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'fPAR'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'fPAR', 'hour']]"
