test_site,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,O_hat_count
AR-SLu,0.0009867996772001,0.0010002374255517,0.0314133678105374,0.0316265304064757,0.5372687148839179,0.5309674698516373,0.0387931276686712,0.0392412627323255,0.0223130849285904,0.0225557465088528,13
AT-Neu,0.0015479713142694,0.0015494850432078,0.039344266599715,0.0393634988689755,0.4980968144208745,0.4976060137391852,0.0419003106234195,0.0419101837119727,0.0243028722831858,0.0243095285066892,13
AU-ASM,0.0006131595203452,0.0006054298345024,0.0247620580797567,0.02460548382988,-6.419926049620236,-6.326388078770883,0.0394311526138255,0.0396528447175051,0.0199852058797477,0.0200945722992797,13
AU-Cpr,0.0003622932895517,0.0003563269850847,0.0190340035082405,0.0188766253627265,-2.0377334854306843,-1.9877075992597035,0.0281252927488644,0.0280180394434159,0.0143502963210158,0.0142957140341533,13
AU-Cum,0.0003118684871467,0.0003109289293164,0.0176597986156898,0.0176331769490479,0.4627440428730965,0.4643626194917352,0.0205992485791871,0.0206098389414769,0.010811308798942,0.0108157850000653,13
AU-DaP,0.0007647657231865,0.0007549585826069,0.0276543978995481,0.0274765096510994,0.4713552913140382,0.4781344824016392,0.0371926059456174,0.0370598511186755,0.0198426112078316,0.019775607603393,13
AU-DaS,0.000348065707766,0.000350405500913,0.0186565191760432,0.0187191212644463,0.6330056419659299,0.630538605240538,0.0243387745827573,0.0245987857025429,0.0130593196546052,0.0131925296228064,13
AU-Dry,0.00030971789763,0.0003050571262389,0.0175988038692985,0.0174658846394605,0.4022814839290098,0.4112762155249208,0.0245668852291478,0.0247762516548597,0.0128116485453611,0.012914195024242,13
AU-Emr,0.0004799823944367,0.0004776491169987,0.0219085005063493,0.0218551851284491,-1.5258800325299284,-1.513601292811305,0.0314008711311586,0.0314006659641053,0.0160125794918654,0.0160124352820514,13
AU-GWW,0.0003984413180537,0.0004005061952754,0.0199609949164297,0.020012650880766,-4.703416030779426,-4.732973341515427,0.0315867425306998,0.0318448769915085,0.0161217544834278,0.0162519245448386,13
AU-Gin,0.0001651861982565,0.0001603725855475,0.0128524782923968,0.0126638298135884,0.5978809123816069,0.6095988741188556,0.0166707267572382,0.0165922705144131,0.008747312578452,0.0087044993073175,13
AU-How,0.0004501475326266,0.0004502486226608,0.0212166805279869,0.0212190627187178,0.6862383071322045,0.6861678453880639,0.0239485703701167,0.0240726456962358,0.0132701062207225,0.0133345721158583,13
AU-Lox,0.0013513107650045,0.0013500245558578,0.0367601790665461,0.0367426803031278,0.4600701478577511,0.4605840657013541,0.0433269309364489,0.0432754498661024,0.0252718267039243,0.0252441744525342,13
AU-RDF,0.0006904627348047,0.0006867309045141,0.0262766576033705,0.0262055510248136,-0.2897570296584144,-0.2827861185458415,0.0371984464782845,0.0374101431280368,0.0189636170517599,0.0190743330184679,13
AU-Rig,0.0004904855441942,0.0004863666314679,0.0221469082310436,0.0220537214879476,0.3327814661993299,0.3383845159581444,0.0298968618510506,0.0298113740310475,0.0156380626133405,0.0155920783373807,13
AU-Rob,0.0007452533459058,0.0007469788211692,0.0272993286713403,0.0273309132882386,0.4945766268575132,0.4934064267736496,0.0449526347728815,0.0450231174508356,0.0233584919684403,0.0233939908344522,13
AU-Stp,0.000605307289582,0.0005932966722592,0.024602993508556,0.0243576819968407,-2.2923523201715894,-2.227024866677985,0.0375615399992292,0.0375673606671648,0.0190497953216869,0.0190512766071181,13
AU-TTE,0.0008306303450594,0.0008193457591276,0.0288206583037134,0.0286242163059122,-20.03414726744388,-19.74838640672826,0.0469933253957894,0.0472960079683842,0.0235605538069764,0.0237143133419407,13
AU-Wac,0.0013798391576911,0.0013777155565206,0.037146186314225,0.0371175909309951,0.3220302084321803,0.3230736180461643,0.0466778027253666,0.0466498929865425,0.0247738861763518,0.0247544601150922,13
AU-Whr,0.0001197752044095,0.0001200860377787,0.0109441858723945,0.0109583775157995,0.7641193458830052,0.7635072026700234,0.0151227655494566,0.0152196613102266,0.0079630080977481,0.0080102309413433,13
AU-Wom,0.0003598906982249,0.0003570928577372,0.0189707853876672,0.0188969007442284,0.7450976014742042,0.747079248275657,0.0284324304312914,0.0284149272994525,0.0153538913422794,0.0153328083417012,13
AU-Ync,0.0007146270452048,0.0007026877326839,0.026732509145325,0.0265082578206098,-6.272768151269795,-6.151261622188429,0.0397121668058895,0.0395924424148031,0.0200089993922335,0.0199493632078394,13
BE-Bra,0.0004435897878391,0.0004432960605212,0.0210615713525643,0.021054597135098,0.6269116827742179,0.6271587268535777,0.0250211152545098,0.0250218708603868,0.0134450106330703,0.0134446307435997,13
BE-Dor,0.0009374571664015,0.0009296889727298,0.0306179223070661,0.030490801444532,0.5376193705069436,0.541450865330025,0.032001192111188,0.0319795104989064,0.0185822104488,0.0185565587450529,13
BE-Lcr,0.0010941651772934,0.0010902446036679,0.033078167683435,0.0330188522463748,0.4793140750278929,0.4811797782571559,0.0320275386901408,0.0320415445957629,0.0186401518403956,0.0186391974953721,13
BE-Lon,0.0009307345572265,0.0009302417648311,0.0305079425269311,0.0304998649969327,0.4288718370410774,0.4291742300416638,0.0287056457890769,0.0287182877342798,0.0162514700974549,0.0162542095405142,13
BE-Maa,0.0002155107193042,0.0002167376946479,0.0146802833523141,0.0147220139467366,-0.3403184409142494,-0.3479493266770801,0.018949321097729,0.0190181579845679,0.0097495054823846,0.0097845579941761,13
BE-Vie,0.0004508584754195,0.0004505405911679,0.0212334282540426,0.0212259414671741,0.676169365247532,0.6763976866934167,0.0280114513662463,0.0278478181612419,0.0152421237984014,0.0151659547578841,13
BR-Npw,0.0010964556043395,0.0011002018722108,0.03311277101572,0.0331692911020242,0.5209183604010261,0.5192814786640334,0.0404667151986468,0.0406795091210728,0.0218548451059952,0.0219634920463804,13
BR-Sa3,0.0015173204228735,0.0015133285698847,0.0389527973690404,0.0389015240046552,0.5376975597266986,0.5389138113173921,0.0556742401969755,0.0553933782409657,0.030586400658821,0.0304575186233887,13
CA-ARB,0.0002878463559781,0.0002921322469404,0.0169660353641677,0.0170918766360067,-1.891876830848807,-1.9349354574944264,0.0226303586102657,0.0227354408671856,0.011576406521185,0.0116305799400281,13
CA-ARF,0.0002585031468533,0.0002626499804901,0.0160780330530009,0.0162064795834918,-0.2858911859516617,-0.3065190850237242,0.0210575726696559,0.0211610548855478,0.0107685679676437,0.0108215919707303,13
CA-DB2,0.0003581272940153,0.0003622219173069,0.0189242514783365,0.0190321285542886,-2.2519806688860493,-2.2891619617205348,0.0246870888659798,0.0249120618490433,0.0126424212548729,0.0127565157615213,13
CA-DBB,0.0004432878489694,0.0004487166909869,0.0210544021280449,0.0211829339560644,-2.6723655228209817,-2.717340119576759,0.0277535842211804,0.027967616191389,0.014185149219523,0.0142940184865103,13
CA-Gro,0.0003289425406113,0.0003304171499622,0.0181367731587321,0.0181773801732325,0.5721103099930323,0.5701921326211592,0.0263948552619923,0.026422270531902,0.0137317573684278,0.0137450608766506,13
CA-LP1,0.0001867731427606,0.0001873288834914,0.0136664970918163,0.0136868142199511,0.1780649490709049,0.1756192934528203,0.0204378404876718,0.0204353811486978,0.0104822383928476,0.0104819698371518,13
CA-NS1,0.0001756052949876,0.000174765579787,0.0132516148067955,0.0132198933349345,0.571360881439861,0.5734105621369497,0.0198756556435256,0.0197970640493314,0.0102024308634574,0.0101621206180014,13
CA-NS2,0.0001991307959477,0.0001985811203845,0.0141113711576078,0.0140918813642643,0.4275863863922718,0.4291664623116342,0.0201787322665513,0.0200845709904622,0.0103655879133262,0.0103171718980758,13
CA-NS3,0.0001935475764785,0.0001949149142855,0.0139121377393462,0.0139611931540801,0.278564512955081,0.2734678538561109,0.0218683417067232,0.0219275230642346,0.0111370033792181,0.0111674597436733,13
CA-NS4,0.0002257044857677,0.0002234273520676,0.0150234645061551,0.0149474864799287,-0.1181629289060337,-0.1068817774530623,0.0226662568484299,0.0225238957376399,0.0116072689594251,0.011533437790712,13
CA-NS5,0.0001951982822613,0.0001957579000247,0.0139713378837298,0.013991350900636,0.55567971018492,0.5544058796781528,0.0216268075311855,0.0216285094412571,0.0110975410476903,0.0110999197178962,13
CA-NS6,0.0002214966562931,0.00022077375072,0.014882763731685,0.0148584572119742,-0.1847633068039122,-0.1808965576998125,0.0229459648180142,0.0228828144512095,0.0116832953969918,0.0116491580062209,13
CA-NS7,0.0002066438794298,0.0002073634861769,0.0143751131971142,0.0144001210473034,-0.0419948524616882,-0.0456234454226287,0.0218217306095191,0.0218725375151316,0.0111220633412019,0.0111473355689785,13
CA-Oas,0.0004386696536308,0.0004393510256046,0.020944442070173,0.0209607019349229,0.6072849984074065,0.6066750063699364,0.0304025054718284,0.0303482169739554,0.0161024088781375,0.016076141137696,13
CA-Obs,0.0001496641251512,0.0001507327678409,0.0122337289961504,0.0122773273899899,0.6390609458074712,0.6364837424775706,0.0180199745036156,0.0180448469255226,0.0092999209685477,0.0093118165217741,13
CA-Qfo,0.0002122062958087,0.0002153719845436,0.0145673022831522,0.0146755573844281,0.2419616698203495,0.2306532711070393,0.0189967211784573,0.0191081725581129,0.0097432819546285,0.0097999976846649,13
CA-SF1,0.0003290002944255,0.00033027550805,0.0181383652633186,0.0181734836520146,0.6817698451533583,0.6805363768675969,0.0241581157806963,0.0242668952951954,0.0129597321496636,0.0130112865553946,13
CA-SF2,0.0007778012972853,0.0007800970057916,0.0278890892157725,0.0279302167158018,0.5721635976992517,0.5709008231686487,0.0364069286842255,0.0364761676448962,0.0201374778945377,0.0201751234419066,13
CA-SF3,0.0003360716118769,0.0003392503292763,0.0183322560498426,0.0184187493950144,0.073500527366198,0.0647372760528686,0.0258032910630399,0.0259457499730119,0.0132785614467837,0.0133513958977927,13
CA-TP1,0.0002884028377924,0.0002888031941484,0.0169824273233382,0.0169942106068051,0.5918744397696025,0.5913078861832082,0.0241354529870532,0.024141910007794,0.0126417967072201,0.0126459394783696,13
CA-TP4,0.0004626166052512,0.0004633721382894,0.0215085240137773,0.0215260804209566,0.6474387934245824,0.6468629999131681,0.0278447451064456,0.0279080465590623,0.0149243007207831,0.0149497294085747,13
CA-TPD,0.0005249727157286,0.0005270108509633,0.0229122830754299,0.0229567169029751,0.6472806155292209,0.6459112304470709,0.0317373279835821,0.0317666029107649,0.0169268512939594,0.0169391083995607,13
CH-Aws,0.0009856141600616,0.0009835175430044,0.0313944925116116,0.0313610832562335,0.5260559697807912,0.5270641524735654,0.035378112634868,0.0353492448883614,0.0196484305775451,0.0196280546856229,13
CH-Cha,0.0017731290483003,0.001766905442951,0.04210853890009,0.0420345743757567,0.4398787338066894,0.4418447349344243,0.0463236955993173,0.0463991558070325,0.026833457270667,0.026856537911981,13
CH-Dav,0.0004428970848704,0.000444336775772,0.0210451202151587,0.0210792973263363,0.5869748780653635,0.5856322896164963,0.0258070993351832,0.0258573115803023,0.0134882916041147,0.0135106722060478,13
CH-Fru,0.0009715410345451,0.000966857911201,0.0311695530052189,0.0310943388931331,0.585343162105567,0.5873419342091667,0.0373864769908806,0.0373861771385773,0.0209781724794988,0.0209653404674121,13
CH-Lae,0.0015195971688099,0.0015182342253455,0.0389820108358963,0.0389645252164775,0.3669110332260759,0.367478857704415,0.0485649433347144,0.0485421936344904,0.0251987120401797,0.0251801902505372,13
CH-Oe1,0.0009188516143524,0.0009144875388521,0.0303125652882175,0.030240495016652,0.5149940109211546,0.5172975414601149,0.0298129447147639,0.0297540087362313,0.017307806199329,0.0172699594407201,13
CH-Oe2,0.0008295470181835,0.0008273473796931,0.0288018578946496,0.0287636468427275,0.4679427427357125,0.4693535532100377,0.0291998173496253,0.0292893738525439,0.0162373620552222,0.0162738205103129,13
CN-Cha,0.0006095459820291,0.000610407176241,0.0246889850344071,0.0247064197374086,0.6166546384042187,0.6161130306891771,0.0326203828253016,0.032647473872247,0.0177749383496915,0.0177879890537719,13
CN-Cng,0.0002660938259772,0.0002645751855737,0.0163123825965822,0.0162657672912701,0.0273073557029961,0.0328586695841576,0.0269066797020738,0.0268163387694106,0.0137953745840633,0.0137491143642947,13
CN-Dan,0.0004638531368345,0.0004671538075626,0.0215372499831003,0.021613741174601,-5.836005198929921,-5.88464861742903,0.0358052139133278,0.0358719564084077,0.0181710262501879,0.0182058816101648,13
CN-Din,0.0003141194287001,0.0003146791099295,0.0177234147020315,0.0177391969922416,0.6234086938427199,0.6227377035570463,0.0273921921106636,0.027352484052735,0.0142697170353991,0.0142504337954732,13
CN-Du2,0.0004084362400008,0.0004082598660913,0.0202098055408976,0.0202054414970657,-3.558389193069469,-3.5564207562744565,0.0327919048596267,0.0328850381189121,0.0166056713703013,0.0166516761251498,13
