test_site,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,O_hat_count,O_hat
AU-Emr,0.0003672010689445,0.00036491227,0.0191624911988128,0.019102678,0.1918794193051857,0.1969165205955505,0.0319321311315761,0.031968355,0.0125820774151523,0.012601254,14,"[['hour', 'fPAR', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
AU-RDF,0.0007826530365478,0.00079157104,0.0279759367412033,0.028134873,0.3886051815961715,0.3816385269165039,0.0479180475403604,0.048471887,0.0191278808560168,0.019349506,14,"[['hour', 'fPAR', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
AU-Wac,0.0035660338776488,0.0036060875,0.0597162781630675,0.060050707,0.3117126918370483,0.3039819002151489,0.0945080673332368,0.09549029,0.0365862571608998,0.03700134,14,"[['hour', 'fPAR', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
CA-NS4,0.0002308479702242,0.00023376492,0.0151936819179638,0.015289373,0.5217270961475428,0.5156837105751038,0.0231347912137426,0.02313687,0.0093325451416667,0.0093410835,14,"[['hour', 'fPAR', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
CA-NS7,0.000152166845632,0.00015120857,0.0123355926340033,0.01229669,0.679116134743927,0.6811368465423584,0.0190512032943535,0.018651158,0.0077064502825938,0.0075503555,14,"[['hour', 'fPAR', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
CA-Oas,0.000781536154699,0.0007553975,0.0279559681409726,0.027484495,0.707400355235323,0.717186450958252,0.035198143996431,0.034108747,0.015556358997836,0.01511872,14,"[['hour', 'fPAR', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
CA-TPD,0.0007112870907045,0.0007161337,0.0266699660799281,0.026760675,0.800141630196971,0.7987798452377319,0.0373478656025269,0.037472893,0.0160332842985775,0.01608581,14,"[['hour', 'fPAR', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
CN-Ha2,0.0002792617048459,0.00027878684,0.0167111251819241,0.016696911,0.7813996133937858,0.7817713022232056,0.0236796363811402,0.023343338,0.0098027341465543,0.009677483,14,"[['hour', 'fPAR', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
CZ-BK1,0.0017822060800767,0.001773575,0.0422161826800667,0.042113833,0.5954679125522926,0.5974270701408386,0.0576578655771452,0.057837985,0.0264593485367131,0.026471823,14,"[['hour', 'fPAR', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
CZ-Stn,0.0010114662161356,0.0010188045,0.0318035566585828,0.031918716,0.7270540040864009,0.7250738143920898,0.0445290714252548,0.044856302,0.0190849608599255,0.019214328,14,"[['hour', 'fPAR', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
