test_site,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,G_hat_count,O_hat_count,O_hat
AR-SLu,0.0009939665361847,0.0009939916101066,0.0315272348325179,0.0315276324849597,0.5339080227953183,0.5338962651018375,0.0389804802848845,0.0389948627697697,0.0224168842481366,0.0224239343572426,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
AT-Neu,0.0015489501572619,0.0015506898319153,0.0393567040955146,0.0393787992695985,0.4977794413458295,0.497215381635949,0.041898664654777,0.0419056621927946,0.0243044198261141,0.0243098862912232,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR'], ['SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour']]"
AU-ASM,0.0006076523099095,0.0006073984757278,0.024650604656063,0.024645455478199,-6.353282553406074,-6.35021087174079,0.039503801863681,0.0395214182908338,0.0200207004070302,0.0200294454833455,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
AU-Cpr,0.0003577070149692,0.0003574093944473,0.0189131439736829,0.018905274249461,-1.999278785124917,-1.9967833157042385,0.0278894522028323,0.0278839986590428,0.0142328982251255,0.0142300475453349,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
AU-Cum,0.0003127444169853,0.0003127050693829,0.01768458133475,0.0176834688164674,0.4612350782189367,0.4613028623480363,0.0206961909164432,0.020695636242622,0.0108588995287439,0.0108585913609616,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
AU-DaP,0.000755826078032,0.0007554281235524,0.0274922912474031,0.0274850527296647,0.477534825732449,0.4778099119759275,0.0370314123660375,0.0370250137115097,0.0197570548334082,0.0197537212903627,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
AU-DaS,0.000348541983933,0.0003485039853104,0.0186692791487268,0.018668261443166,0.6325034647555298,0.6325435298347024,0.024452377188392,0.0244591711830724,0.0131156270386552,0.0131191381794044,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
AU-Dry,0.0003049730344618,0.0003048786529038,0.0174634771583962,0.0174607746936913,0.4114385026016921,0.4116206477254024,0.0246079615726142,0.0246198672198159,0.0128290985230128,0.0128350357508603,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
AU-Emr,0.0004803273281098,0.0004799692895372,0.0219163712349879,0.0219082014217784,-1.5276952263527113,-1.5258110687422124,0.0312967505907946,0.0312911259715064,0.0159611630916016,0.0159582430116947,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
AU-GWW,0.0004015840547648,0.0004014788582944,0.0200395622398501,0.0200369373481687,-4.748402165817121,-4.746896350008337,0.0317029662320758,0.031709433141075,0.0161826645452719,0.0161858211353093,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
