test_site,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,G_hat_count,O_hat_count,O_hat
AU-Emr,0.0003656689685872,0.00036491227,0.0191224728679966,0.019102678,0.195251200966916,0.1969165205955505,0.0320289814154217,0.031968355,0.012623798569254,0.012601254,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
AU-RDF,0.000791571008604,0.00079157104,0.028134871753822,0.028134873,0.3816386183156087,0.3816385269165039,0.0484718881554667,0.048471887,0.0193495072636621,0.019349506,14,2,"[['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
AU-Wac,0.0036163541235714,0.0036060875,0.0601361299351019,0.060050707,0.3020002808503644,0.3039819002151489,0.095887072843696,0.09549029,0.0371273824651919,0.03700134,14,2,"[['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
CA-NS4,0.0002337649061762,0.00023376492,0.0152893723277402,0.015289373,0.515683761970666,0.5156837105751038,0.0231368693943429,0.02313687,0.0093410829319013,0.0093410835,14,2,"[['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
CA-NS7,0.0001531363396924,0.00015120857,0.0123748268550485,0.01229669,0.6770717012135027,0.6811368465423584,0.0187311250535351,0.018651158,0.0075895021223042,0.0075503555,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
CA-Oas,0.0007439789819631,0.0007553975,0.0272759781119422,0.027484495,0.7214614006966533,0.717186450958252,0.0337631625165573,0.034108747,0.0149694061695666,0.01511872,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
CA-TPD,0.0007193266950154,0.0007161337,0.0268202664978457,0.026760675,0.7978826517444636,0.7987798452377319,0.0375235181553803,0.037472893,0.016105188287466,0.01608581,14,2,"[['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
CN-Ha2,0.0002787868375993,0.00027878684,0.0166969110196884,0.016696911,0.7817713298227859,0.7817713022232056,0.0233433364577016,0.023343338,0.0096774824916964,0.009677483,14,2,"[['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
CZ-BK1,0.0017897462267955,0.001773575,0.0423053924080079,0.042113833,0.5937564206401595,0.5974270701408386,0.0583168831579948,0.057837985,0.0266898371800741,0.026471823,14,2,"[['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
CZ-Stn,0.0010131362378089,0.0010188045,0.0318298010959687,0.031918716,0.7266033457040157,0.7250738143920898,0.0448852313783506,0.044856302,0.0192159884684936,0.019214328,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
DE-HoH,0.0009212567171468,0.00091589394,0.0303522110750899,0.030263739,0.7763241454506242,0.7776261568069458,0.0421283021606997,0.042090636,0.0184939301059864,0.018452533,14,2,"[['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
DE-Hte,0.0009877093340016,0.0009780505,0.0314278432922401,0.0312738,0.2419365673014871,0.2493496537208557,0.0443767823459054,0.043958824,0.0184473211589552,0.018284483,14,2,"[['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
DE-RuS,0.0023533018108852,0.0023533017,0.0485108421992984,0.048510842,0.523507291201921,0.523507297039032,0.0578399822381778,0.05783998,0.0273425418209881,0.027342541,14,2,"[['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
DE-Seh,0.0016745420930737,0.0016721609,0.040921169253502,0.040892065,0.5890198683100614,0.5896042585372925,0.0503279217500191,0.050275218,0.0232725802562489,0.023244105,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
DE-SfN,0.0005105881504513,0.0005105882,0.0225961976989792,0.022596199,0.4215442298301273,0.4215441942214966,0.0356433861208415,0.035643388,0.0143409587339527,0.0143409595,14,2,"[['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
ES-LM1,0.0005578438680884,0.0005578439,0.0236187185953944,0.023618719,0.6438814537155718,0.6438814401626587,0.0362296528994075,0.036229655,0.0155459817768663,0.015545981,14,2,"[['hour', 'fPAR', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
FI-Sod,0.0002364672970574,0.000239026,0.0153774931980955,0.015460466,0.6067200336102925,0.6024645566940308,0.025330047870205,0.02545103,0.0102491002568651,0.0102983015,14,2,"[['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
FR-Fon,0.0016598772626622,0.0016624541,0.0407415913123464,0.0407732,0.6751001363238649,0.6745957136154175,0.0595589885705492,0.059522778,0.0256776253408028,0.025664777,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
