Metric,Value,Type,Feature,Importance
MSE,0.0003558910739235478,Metric,,
R2,0.7654868377463789,Metric,,
RMSE,0.01886507550802667,Metric,,
MAE,0.009670406739711517,Metric,,
Relative Error,2.252496305068923,Metric,,
,,Feature Importance,SWdown_clearsky,0.3754078
,,Feature Importance,fPAR,0.26242507
,,Feature Importance,SWdown,0.12102442
,,Feature Importance,IGBP_veg_short_b'CRO',0.0407773
,,Feature Importance,LST_TERRA_Day,0.030695848
,,Feature Importance,IGBP_veg_short_b'WET',0.023523971
,,Feature Importance,LAI,0.01950339
,,Feature Importance,Tair,0.019308833
,,Feature Importance,IGBP_veg_short_b'GRA',0.017139675
,,Feature Importance,IGBP_veg_short_b'ENF',0.013586589
,,Feature Importance,IGBP_veg_short_b'DBF',0.010659011
,,Feature Importance,LST_TERRA_Night,0.009307125
,,Feature Importance,vpd,0.009138189
,,Feature Importance,IGBP_veg_short_b'SAV',0.008151839
,,Feature Importance,IGBP_veg_short_b'EBF',0.0067824293
,,Feature Importance,LWdown,0.0065537756
,,Feature Importance,IGBP_veg_short_b'OSH',0.0063515482
,,Feature Importance,hour,0.006265534
,,Feature Importance,IGBP_veg_short_b'CSH',0.005587927
,,Feature Importance,IGBP_veg_short_b'MF',0.003121731
,,Feature Importance,EVI,0.0019128359
,,Feature Importance,IGBP_veg_short_b'WSA',0.0017019012
,,Feature Importance,IGBP_veg_short_b'CVM',0.0010731929
,,Feature Importance,NIRv,0.0
,,Feature Importance,NDWI_band7,0.0
