site,mse,rmse,r2_score,relative_error,mae
AR-SLu,0.0031303812,0.05594981,0.9358458518981934,0.58527285,0.036113985
AT-Neu,0.0022045388,0.046952516,0.8427926301956177,3.6014662,0.028540106
AU-ASM,0.0008631559,0.029379515,0.758525013923645,1.2256361,0.017204996
AU-Cpr,0.0024949873,0.049949847,-1.2198660373687744,3.122263,0.031811215
AU-Cum,0.00041617782,0.020400437,0.7722778916358948,1.1357077,0.013677076
AU-DaP,0.0018443965,0.042946436,0.8171321153640747,0.7465265,0.021335395
AU-DaS,0.00072209677,0.026871858,0.7619367241859436,7.750327,0.015833369
AU-Dry,0.0011163692,0.03341211,0.851992666721344,2.0216956,0.021971634
AU-Emr,0.003909031,0.06252224,0.2153218984603881,1.5849403,0.034144957
AU-GWW,0.002978725,0.054577697,0.707241415977478,2.1328366,0.035122428
AU-Gin,0.004065047,0.06375772,0.9039917588233948,0.4588923,0.039302178
AU-How,0.0006272887,0.025045732,0.8677950501441956,0.849603,0.015035913
AU-Lox,0.0012599567,0.03549587,0.5941236019134521,1.6167735,0.021581765
AU-RDF,0.0038034965,0.061672494,-5.745886325836182,2.4867823,0.036276802
AU-Rig,0.007234868,0.085058026,0.7049437761306763,1.2435517,0.040001605
AU-Rob,0.0033859746,0.058189128,0.773628830909729,1.9693419,0.04211974
AU-Stp,0.0017345068,0.041647412,0.714142918586731,1.116828,0.022941755
AU-TTE,0.0015525459,0.03940236,0.1666367650032043,7.0505323,0.023518283
AU-Wac,0.0042589917,0.065260954,0.2036616206169128,2.6685889,0.037828565
AU-Whr,0.000705463,0.026560554,0.910301923751831,0.66921216,0.016863827
AU-Wom,0.0023641763,0.0486228,0.910761058330536,1.1966797,0.03215895
AU-Ync,0.0015889115,0.039861154,-0.2266205549240112,2.9756453,0.02580561
BE-Bra,0.001089262,0.033003967,0.6875655651092529,1.697848,0.0163536
BE-Dor,0.0012976223,0.036022525,0.904001772403717,0.7994162,0.021523684
BE-Lcr,0.0023755608,0.048739724,0.7783872485160828,1.548031,0.028268391
BE-Lon,0.0053361445,0.07304892,0.563262939453125,1.4574043,0.03371897
BE-Maa,0.0032498108,0.05700711,0.7086936235427856,0.78644156,0.03054649
BE-Vie,0.001212347,0.034818772,0.8950074315071106,1.0115012,0.021065334
BR-Npw,0.0035615468,0.059678696,0.5542669296264648,1.5540067,0.03249884
BR-Sa3,0.006338426,0.07961423,0.7539299130439758,1.5189211,0.050248723
CA-ARB,0.0027494987,0.052435663,0.8325538039207458,1.2690411,0.028893894
CA-ARF,0.0014322749,0.037845407,0.9178649187088012,0.6818507,0.021696035
CA-DB2,0.000119616605,0.010936937,0.1150248646736145,1.5222954,0.0061166496
CA-DBB,6.0187427e-05,0.007758056,0.5014011859893799,4.5173736,0.004256304
CA-Gro,0.0007350091,0.027111052,0.8597251772880554,1.2558858,0.0142354425
CA-LP1,0.0029220867,0.054056328,0.7040807008743286,1.227653,0.027675472
CA-NS1,0.0017572801,0.041919924,0.8793336749076843,1.0134652,0.026716381
CA-NS2,0.0011865372,0.03444615,0.8967009782791138,1.091296,0.022560684
CA-NS3,0.0009638713,0.031046277,0.884345293045044,2.531007,0.01685155
CA-NS4,0.0010577379,0.032522883,0.864517331123352,1.620172,0.02104679
CA-NS5,0.0011304001,0.033621423,0.940543532371521,0.8721815,0.020064926
CA-NS6,0.0020880399,0.045695074,0.8983542919158936,0.5205464,0.021515593
CA-NS7,0.0016633149,0.04078376,0.8045476078987122,1.4763781,0.022295581
CA-Oas,0.0009449812,0.030740546,0.9372976422309875,0.36386263,0.014983574
CA-Obs,0.0011124419,0.033353288,0.9468085765838624,0.47014222,0.018729573
CA-Qfo,0.0005821787,0.02412838,0.9086948037147522,0.83815956,0.014218491
CA-SF1,0.00255268,0.050524052,0.8537836074829102,1.1762275,0.03593015
CA-SF2,0.0038198165,0.061804663,0.7618285417556763,1.6992791,0.04438742
CA-SF3,0.000995663,0.03155413,0.7486399412155151,2.4382503,0.02012988
CA-TP1,0.0030920492,0.055606198,0.7685918807983398,2.6489758,0.027782235
CA-TP4,0.0014927209,0.038635746,0.8764046430587769,1.3656442,0.023488766
CA-TPD,0.0010122074,0.031815205,0.9102863669395448,1.3336998,0.018387813
CH-Aws,0.0013578363,0.036848832,0.8344627618789673,1.0181471,0.020200355
CH-Cha,0.0029444143,0.054262456,0.7511203289031982,1.6212391,0.033363286
CH-Dav,0.00034862084,0.018671392,0.7656357288360596,1.8188983,0.012033442
CH-Fru,0.002273039,0.0476764,0.7606375217437744,3.007737,0.026864395
CH-Lae,0.0013185194,0.03631142,0.724145770072937,2.6266062,0.023545519
CH-Oe1,0.007229289,0.08502523,0.4593487381935119,4.1689167,0.04261668
CH-Oe2,0.0015995302,0.039994128,0.646947979927063,2.9931736,0.022292664
CN-Cha,0.001996819,0.04468578,0.9067265391349792,0.87562054,0.0267346
CN-Cng,0.0014904763,0.03860669,0.8276351690292358,2.1394486,0.019752217
CN-Dan,0.001447383,0.038044486,0.8785375952720642,1.2439116,0.021866892
CN-Din,0.0029662359,0.05446316,0.8987202644348145,0.5326441,0.033264223
CN-Du2,0.0010345292,0.032164097,0.8116403222084045,1.7145631,0.019136257
CN-Du3,0.00069852377,0.026429601,0.8084059953689575,0.5266039,0.0185959
CN-Ha2,0.0022157754,0.047072023,0.9328752756118774,0.96129775,0.026102278
CN-HaM,0.009930208,0.09965043,0.5326313972473145,1.6680934,0.061386533
CN-Qia,0.0020815143,0.045623615,0.8756198287010193,0.79872316,0.02740386
CN-Sw2,0.0018117352,0.04256448,-0.014801025390625,5.6976395,0.02884779
CZ-BK1,0.0011243026,0.033530623,0.8750137686729431,1.1572884,0.018701598
CZ-BK2,0.0045825173,0.06769429,0.609784722328186,4.8433332,0.03137297
CZ-KrP,0.0021078635,0.045911476,0.7571882009506226,1.0993854,0.023849158
CZ-Lnz,0.0007556765,0.02748957,0.9396505951881408,0.3886939,0.015019216
CZ-RAJ,0.0016390926,0.04048571,0.9144561290740968,1.5294514,0.02551642
CZ-Stn,0.00084448187,0.02905997,0.9006789326667786,3.9240422,0.017078761
CZ-wet,0.0016648872,0.04080303,0.9030478000640868,0.7857737,0.022704037
DE-Geb,0.0017718789,0.04209369,0.6697670221328735,1.7281187,0.019953776
DE-Gri,0.0019384692,0.04402805,0.7431508898735046,2.66796,0.02376792
DE-Hai,0.0026917954,0.051882517,0.7874984741210938,17.58578,0.027525991
DE-HoH,0.0010969908,0.033120852,0.9108256697654724,0.7730987,0.019159822
DE-Hte,0.0007438328,0.027273297,0.7915270924568176,1.9385588,0.014644314
DE-Hzd,0.0013005403,0.036063004,0.7910453081130981,1.1893368,0.021812817
DE-Kli,0.0019755347,0.044446986,0.7173250913619995,1.3576778,0.021505175
DE-Lkb,0.0027491208,0.05243206,0.8643622398376465,4.8400655,0.032040473
DE-Lnf,0.0013911854,0.037298597,0.9336063265800476,0.77154976,0.02063499
DE-Obe,0.0018286594,0.042762827,0.837080717086792,1.5031826,0.02676354
DE-RuR,0.0012070488,0.03474261,0.8636609315872192,1.20698,0.018238442
DE-RuS,0.0064690677,0.080430515,0.3293145895004272,1.740891,0.039680094
DE-RuW,0.00068642333,0.026199682,0.834341287612915,6.062413,0.017830335
DE-Seh,0.02997288,0.17312677,-0.8948444128036499,13.222139,0.098737754
DE-SfN,0.002572333,0.050718173,0.7063475251197815,2.1192014,0.034247387
DE-Tha,0.001421715,0.037705638,0.8954876065254211,0.9519384,0.022316588
DK-Fou,0.00652784,0.08079505,0.8854119777679443,0.60416806,0.04849941
DK-Gds,0.00080576673,0.02838603,0.476918876171112,0.8092304,0.013532364
DK-Skj,0.0007167306,0.026771825,0.6921050548553467,2.1652205,0.013333784
DK-Sor,0.001962765,0.044303104,0.8927215337753296,1.020957,0.025134146
DK-Vng,0.0003430547,0.018521735,0.8083591461181641,0.8794915,0.010104794
ES-Abr,0.0015986726,0.039983403,0.8881106972694397,2.3182285,0.023977093
ES-Agu,0.0045601386,0.0675288,0.4556900262832641,4.599243,0.043373905
ES-Amo,0.0030315623,0.055059627,0.6493291854858398,2.5011454,0.03355067
ES-LJu,0.0024529735,0.049527504,0.6786090731620789,3.3200443,0.029844487
ES-LM1,0.0009108814,0.030180812,0.9207206964492798,1.5944369,0.01901598
ES-LM2,0.00095333037,0.030876048,0.927422046661377,2.7887764,0.019804588
ES-LgS,0.0038361948,0.061937023,0.8200784921646118,1.4339285,0.039969172
FI-Hyy,0.0012011667,0.03465785,0.927284300327301,0.80497175,0.020521156
FI-Ken,0.0018299173,0.042777535,0.9229599237442015,5.9601436,0.025772486
FI-Let,0.00055994984,0.02366326,0.8593159914016724,1.0236773,0.012436942
FI-Lom,0.002565421,0.050649986,0.9349297881126404,1.0410761,0.028881745
FI-Qvd,0.0039011464,0.062459156,0.8105601072311401,0.7438364,0.030694231
FI-Sii,0.0007516325,0.027415916,0.9367033839225768,0.8628495,0.014286051
FI-Sod,0.00083186035,0.02884199,0.9007377028465272,1.0057713,0.016225895
FI-Var,0.0024650844,0.049649615,0.7476475238800049,3.1555455,0.02574492
FR-Aur,0.0012287413,0.035053406,0.6107183694839478,2.3684063,0.016980568
FR-Bil,0.002132321,0.046177063,0.8058145046234131,1.2012094,0.027704887
FR-EM2,0.001964755,0.044325557,0.7365625500679016,3.724184,0.022895884
FR-FBn,0.0016597251,0.040739723,0.9023454785346984,1.2718475,0.026696837
FR-Fon,0.0019300862,0.043932747,0.8111578822135925,2.5017712,0.024235742
FR-Gri,0.0070508374,0.083969265,0.5192253589630127,2.4084406,0.04292189
FR-Hes,0.0010756518,0.03279713,0.8866255879402161,1.1099585,0.020071216
FR-LBr,0.0025372242,0.05037087,0.8242756128311157,1.094211,0.03220371
FR-LGt,0.0011008024,0.033178344,0.839535653591156,1.4138682,0.02058733
FR-Lam,0.0063104946,0.07943862,0.5596706867218018,2.053017,0.04131099
FR-Mej,0.0025590702,0.050587256,0.5517814755439758,1.1079609,0.025756883
FR-Pue,0.0055571403,0.07454623,0.5733854174613953,4.9397197,0.04638587
FR-Tou,0.0019169862,0.0437834,0.8181502819061279,0.70950717,0.027109727
GF-Guy,0.0033686482,0.058040056,0.787427544593811,1.460377,0.038409855
GH-Ank,0.001293321,0.03596277,0.7612535953521729,2.314353,0.022127103
GL-NuF,0.0035556015,0.059628863,0.8099150657653809,1.3980724,0.037921976
GL-ZaF,0.0017674878,0.042041503,0.9118327498435974,0.43772957,0.027392242
GL-ZaH,0.0022783126,0.04773167,0.7249324917793274,1.7008356,0.030299524
IL-Yat,0.0020280294,0.04503365,0.7444838881492615,1.8084629,0.024549492
IT-BCi,0.0046024434,0.067841314,0.2623552083969116,3.0096815,0.03781944
IT-BFt,0.0011744071,0.034269623,0.8652490377426147,1.8897494,0.021033887
IT-CA1,0.0041035847,0.06405923,0.7983376979827881,1.2987341,0.038840834
IT-CA2,0.0028862618,0.05372394,0.7101905345916748,1.2079724,0.03245558
IT-CA3,0.0343573,0.18535721,0.6173365116119385,0.9265158,0.10393962
IT-Col,0.001976532,0.044458203,0.8946582078933716,0.6241906,0.024288803
IT-Cp2,0.006121321,0.078238875,0.657855749130249,0.93167543,0.05095467
