cluster,mse,rmse,r2_score,relative_error,mae
0,0.00031780283,0.017827025,0.705213189125061,0.01653306,0.009038723
1,0.00040120096,0.020030001,0.620861291885376,0.019012867,0.01041183
2,0.00023958088,0.0154784005,0.7149888277053833,0.015322352,0.008237287
3,0.00035675147,0.018887866,0.7519104480743408,0.017130237,0.009411469
4,0.00019428198,0.013938507,0.7752366662025452,0.013906492,0.0074721877
5,0.0004951327,0.022251578,0.7214748859405518,0.021661244,0.012058957
6,0.0003634491,0.01906434,0.7220346927642822,0.01782269,0.0098744165
7,8.428157e-05,0.009180499,0.5123980641365051,0.009015871,0.0046839686
8,0.0004630806,0.021519307,0.7165162563323975,0.025388299,0.011684866
9,0.00030388634,0.017432336,0.7414840459823608,0.015994452,0.008752258
