cluster,mse,rmse,r2_score,relative_error,mae
0,0.00036059276,0.01898928,0.6655222177505493,0.017940575,0.009839419
1,0.0004290257,0.020712936,0.5945667028427124,0.020338718,0.011127309
2,0.00028548925,0.016896427,0.6603751182556152,0.018320778,0.009796244
3,0.00045215545,0.021263948,0.6855652928352356,0.019399874,0.010764402
4,0.0002547258,0.01596013,0.7053096890449524,0.017059615,0.0091536045
5,0.00061207364,0.024740122,0.6556925773620605,0.024352713,0.013647785
6,0.00042715517,0.020667732,0.6733123064041138,0.019657705,0.010938212
7,0.00012981196,0.011393505,0.2489869594573974,0.013220709,0.0067888494
8,0.0005372128,0.023177853,0.6711347699165344,0.028361041,0.013087127
9,0.0003665502,0.0191455,0.6881759166717529,0.018313453,0.010060124
