cluster,mse,rmse,r2_score,relative_error,mae
1,0.00031959632,0.017877256,0.677824079990387,0.016358357,0.008934825
2,0.00053258135,0.023077725,0.6814659833908081,0.024307204,0.011110034
3,0.00033149324,0.018206956,0.7256582975387573,0.017674726,0.009699822
4,0.00040171508,0.020042831,0.7084545493125916,0.018314224,0.010097355
5,0.00022977825,0.015158438,0.7289814949035645,0.014494413,0.0078383535
6,0.00037163595,0.019277861,0.6770302057266235,0.018474985,0.010145398
7,0.0003878335,0.019693488,0.6676660776138306,0.017174015,0.009457361
8,0.0002553112,0.015978461,0.7698748707771301,0.01565083,0.0084770275
9,0.00021741644,0.014745048,0.8046270608901978,0.014221616,0.007742981
10,0.00035424007,0.018821266,0.7484220266342163,0.01753078,0.009746377
