site,mse,rmse,r2_score,relative_error,mae
AR-SLu,0.0015764894,0.03970503,0.2607507705688476,0.041805193,0.024610136
AT-Neu,0.0010272283,0.0320504,0.6669387817382812,0.03236438,0.018859575
AU-ASM,2.7119908e-05,0.005207678,0.6718183755874634,0.005922201,0.0030427095
AU-Cpr,4.003652e-05,0.006327442,0.6643043756484985,0.0076002856,0.0039131893
AU-Cum,0.0003528215,0.018783543,0.3921942710876465,0.021786539,0.011481877
AU-DaP,0.00031225244,0.017670667,0.7841553688049316,0.018949263,0.010358574
AU-DaS,0.00023179715,0.015224886,0.7555971145629883,0.017380614,0.009438991
AU-Dry,8.276937e-05,0.009097767,0.8402650356292725,0.010935491,0.005779616
AU-Emr,0.00017813988,0.013346905,0.0625489950180053,0.014942821,0.0076819267
AU-GWW,2.3428804e-05,0.004840331,0.6646326780319214,0.0059777545,0.0030715333
AU-Gin,6.6295484e-05,0.008142204,0.8386143445968628,0.010209985,0.005387257
AU-How,0.00025935782,0.01610459,0.8192225098609924,0.016659515,0.009207315
AU-Lox,0.002142807,0.046290465,0.1438198685646057,0.04588556,0.027626894
AU-RDF,0.00034267854,0.018511578,0.3598900437355041,0.021885522,0.011247391
AU-Rig,0.000117580625,0.01084346,0.8400524258613586,0.012279624,0.0064979466
AU-Rob,0.0008373868,0.028937636,0.4320926070213318,0.035364065,0.019399188
AU-Stp,9.1153175e-05,0.009547417,0.5042049288749695,0.011471662,0.0058873133
AU-TTE,5.5427303e-05,0.0074449517,-0.4035921096801758,0.00949169,0.004769948
AU-Wac,0.0014230296,0.037723064,0.3008090257644653,0.040755883,0.022209426
AU-Whr,6.731721e-05,0.008204707,0.8674280643463135,0.009600374,0.005113432
AU-Wom,0.00013435043,0.011590963,0.9048426151275636,0.013934105,0.0075814063
AU-Ync,7.841068e-05,0.008854981,0.2020134925842285,0.010974817,0.0055376184
BE-Bra,0.0002921691,0.017092954,0.7542665004730225,0.01800719,0.009607913
BE-Dor,0.00058762566,0.024240991,0.7101662158966064,0.024774255,0.014357221
BE-Lcr,0.0007680789,0.027714236,0.6344903707504272,0.026281387,0.015273107
BE-Lon,0.000730457,0.027026968,0.55176842212677,0.023068339,0.013119231
BE-Maa,0.00031990625,0.017885923,-0.9895819425582886,0.018041162,0.009412288
BE-Vie,0.00017743219,0.013320368,0.8725587129592896,0.014127764,0.007824454
BR-Npw,0.0008769089,0.029612647,0.6168463230133057,0.03087606,0.016660845
BR-Sa3,0.0008406141,0.028993346,0.7438788414001465,0.03341525,0.018708572
CA-ARB,0.00020224816,0.014221398,-1.0319058895111084,0.013689143,0.0071370313
CA-ARF,0.00015076711,0.012278726,0.250028133392334,0.0127620045,0.0066849096
CA-DB2,0.0005861157,0.024209827,-4.322232723236084,0.025513882,0.013187801
CA-DBB,0.0006858644,0.026189012,-4.681962013244629,0.030201955,0.015540796
