site,mse,r2,relative_error,mae,rmse
AR-SLu,0.0408457296972805,-0.0014870555111763384,1.0557596116731205,0.17365675509175676,0.20210326493473701
AT-Neu,0.01664564602407848,-0.00037817045618737666,1.0385420945440773,0.09861275092857187,0.12901800658853196
AU-ASM,0.007508038816558896,-0.0026135099361179748,1.1606335780178048,0.05239598844031176,0.08664894007752717
AU-Cpr,0.004705769425477117,-0.0020913262506163655,1.077008896868,0.05321237333134368,0.06859861095880235
AU-Cum,0.002071917018789511,-0.007486907281891497,1.0718910483264252,0.03563980693662228,0.04551831520157036
AU-DaP,0.008586621668259804,-0.0009971064898746107,1.1008913014958532,0.06563789921246758,0.0926640257503407
AU-DaS,0.0034310130320715044,-8.339845712734828e-05,1.0048898513083837,0.04646136021201495,0.05857484982542853
AU-Dry,0.0077549621503998755,-0.0002756862550483685,1.0436111668618748,0.07096197046280145,0.08806226291891366
AU-Emr,0.0041448804453866304,-0.0002456470626106544,1.0483474103600414,0.04303169472882353,0.0643807459213283
AU-GWW,0.011678202772096715,-0.0003732640416955757,1.1448002756738682,0.08875247349308125,0.10806573357034466
AU-Gin,0.027950975530453746,-0.001066789515099753,1.0511338172701954,0.14631838203845685,0.1671854525084457
AU-How,0.004051901526296147,-0.0004186117054163496,1.049089597782818,0.05067469401624129,0.06365454835513443
AU-Lox,0.03459954434956187,-0.003065402515955995,1.0771661038083666,0.1545891252923534,0.1860095275773848
AU-RDF,0.014014456680008539,-0.004546706187668947,1.4898152862241563,0.07731384652925473,0.11838267052237222
AU-Rig,0.014229273995402837,0.000268279761584167,1.0072716415497205,0.08555496230794755,0.11928652059391638
AU-Rob,0.01715820122065376,-0.00488396810051972,1.04474292607663,0.11471891863940863,0.1309893172005021
AU-Stp,0.0055638458177485715,-0.004402391232832814,1.6124997044690088,0.0522731273122585,0.07459119128790323
AU-TTE,0.0025078417474053124,-0.00036130510064680266,1.4074147925914617,0.02392952282637897,0.05007835607730462
