site,test_loss,mse,r2,relative_error,mae,rmse
AR-SLu,0.003483792534098029,0.003483792290542417,0.9288069981476174,0.8212683776389736,0.03790401862108093,0.05902365873564953
AT-Neu,0.0022709122858941555,0.0022709117130966993,0.8186800502413585,1.6072459651904825,0.03070998792454847,0.047654083907853056
AU-ASM,0.0010183067061007023,0.0010183063169861746,0.6932419549848008,1.5061196010141267,0.01837186304806912,0.03191091219295015
AU-Cpr,0.0010544821852818131,0.001054482112601679,0.05393237330384837,1.6741552077420074,0.02279784572328485,0.03247279034209532
AU-Cum,0.0005061500705778599,0.0005061500584439884,0.7226159036036638,1.4140969392182428,0.015151430700087287,0.02249777896691112
AU-DaP,0.0011214384576305747,0.001121439605603723,0.8891270271140629,0.7789349451408866,0.020087833741194376,0.03348790237688415
AU-DaS,0.0007959689246490598,0.0007959688301781836,0.7381993942214999,1.7694405649969749,0.01613118805267142,0.028212919561402778
AU-Dry,0.001067491713911295,0.001067491798764021,0.8580694806594893,1.9601588396656313,0.020710155613006133,0.032672492998913026
AU-Emr,0.0036279018968343735,0.003627903564333287,0.23776397622247547,1.7775561986032467,0.031009116437825352,0.0602320808567435
AU-GWW,0.004173708148300648,0.0041737089972969784,0.5914047958725567,3.617105296285074,0.04305258785657785,0.06460424906534383
AU-Gin,0.004479008726775646,0.0044790072827172525,0.89449916925564,0.7946871356485751,0.04300421121823882,0.06692538593625928
AU-How,0.0007378376321867108,0.000737837255077906,0.8469148190507622,1.0554516152346967,0.01628891092553906,0.027163159887573944
AU-Lox,0.0034969288390129805,0.0034969286427868258,-0.1477944332697032,2.9759567695639615,0.04078589917628842,0.059134834427660536
AU-RDF,0.002245971467345953,0.0022459719105522268,-2.9759370759087886,2.9452871357611405,0.03474161062690703,0.04739168609104583
AU-Rig,0.0021239789202809334,0.0021239796229872445,0.8956112251185647,0.9657057575192797,0.02852104061848868,0.046086653414923115
AU-Rob,0.003644743002951145,0.0036447433561014953,0.7561184661055436,3.2543484007378156,0.044374687669243996,0.06037170989877209
AU-Stp,0.0022493191063404083,0.0022493156564204384,0.6336492225866468,2.204979050901535,0.0262769526635908,0.0474269507392204
AU-TTE,0.001003356883302331,0.001003356892727834,0.45188902746972237,5.4657681220433565,0.01949384138901924,0.03167580926713372
AU-Wac,0.0037187456618994474,0.003718745766145354,0.3049856528707321,3.8788840163681595,0.03607200567098536,0.060981519874018834
AU-Whr,0.001347206998616457,0.001347206871813315,0.8269025385688268,0.8683970726923158,0.02372639278425409,0.03670431680079763
AU-Wom,0.0032727906946092844,0.0032727878318307376,0.8763714354839367,1.159788635201451,0.039682049741885606,0.057208284643316634
AU-Ync,0.0015214827144518495,0.0015214826289141944,-0.17486967882924032,2.501366128689904,0.025385511553039797,0.03900618705941654
BE-Bra,0.0006938583683222532,0.000693857999411455,0.7520544545793519,1.7513969814979413,0.014638028349075564,0.02634118447244647
BE-Dor,0.001798709505237639,0.001798708583402452,0.8694263860033489,1.6481098969298111,0.02590354462211828,0.042411184649835613
BE-Lcr,0.0024171641562134027,0.002417162958181766,0.7729068530756644,2.4131288257587666,0.033385784239073485,0.04916465151083414
BE-Lon,0.007511510048061609,0.007511511855160819,0.4606838770187276,5.105607851894393,0.038011248519324775,0.08666897862073153
BE-Maa,0.004120872355997562,0.004120872238959351,0.7782495210734959,0.6860246333230868,0.03879016917641564,0.06419402027416067
BE-Vie,0.001553707872517407,0.001553708156776377,0.8709925796086567,1.446225736255964,0.02381123872640544,0.03941710487562953
BR-Npw,0.0017941362457349896,0.0017941360067624174,0.7028896393681762,3.7577078464105913,0.02490968823991824,0.04235724267185504
BR-Sa3,0.006834759376943111,0.0068347593265367474,0.7391592011987935,1.517720121172798,0.05393484988747158,0.08267260324035253
CA-ARB,0.002869244897738099,0.002869244801347172,0.8253512120369806,1.0859119534190727,0.02943412057154599,0.05356533208472782
CA-ARF,0.0020579213742166758,0.002057922026608033,0.8825874176807078,0.9092314867479045,0.02462423558184574,0.04536432548388693
CA-DB2,0.00021053857926744968,0.00021053857104795935,-0.5402524999569764,1.375809670715295,0.010222790475727096,0.014509947313755461
CA-DBB,6.516509893117473e-05,6.516509646668134e-05,0.46540639508606296,3.330451044716786,0.005135230237281043,0.008072490103225976
CA-Gro,0.0008872940670698881,0.0008872931906207149,0.8317558216952498,0.9302570567723295,0.01599892698092362,0.029787467005784746
CA-LP1,0.0033129947260022163,0.0033129917435199634,0.6658938964391808,1.2094029333810827,0.030282255698702843,0.05755859400228574
CA-NS1,0.0019844374619424343,0.0019844372670724643,0.8631598840550956,1.2581302908049885,0.03022399076032168,0.04454702310000596
CA-NS2,0.001833584625273943,0.0018335847825656506,0.8407783886844988,1.014842860705349,0.026995243747687827,0.04282037812263748
CA-NS3,0.0018542880425229669,0.0018542880162484745,0.8544012873046302,1.5343713782717074,0.025671594274650024,0.04306144466049037
CA-NS4,0.0016229456523433328,0.0016229454594376268,0.805928752405224,6.545211171193947,0.02661253644207647,0.0402857972421749
CA-NS5,0.002344396896660328,0.0023443969223791226,0.8903809124156795,1.087697347105395,0.02801021866485636,0.04841897275220864
