site,mse,r2,relative_error,mae,rmse
AR-SLu,0.0015268760056620576,0.9611952331047098,0.49500192517326347,0.024257112545249107,0.03907526078815159
AT-Neu,0.0012544718833741074,0.8967270643680851,1.6576564684950525,0.0217041741239281,0.035418524579294765
AU-ASM,0.0004653249225177453,0.9371014110626454,1.018848764127529,0.012951649443035574,0.0215713912976828
AU-Cpr,0.0006683044310436578,0.84574151588874,1.2999426803260805,0.01596367920594202,0.025851584691149163
AU-Cum,0.0006112271993969336,0.7074194229957373,1.7573948429046602,0.013309817460941105,0.02472300951334472
AU-DaP,0.0005241917131449239,0.9399050016786573,0.7356774915474441,0.013205240795385995,0.02289523341538417
AU-DaS,0.00038190721302326576,0.864968679112818,1.4381293662480767,0.011651694231131094,0.019542446444170334
AU-Dry,0.0006679422351403855,0.9131130603447484,2.1979207038604702,0.015442042680169991,0.025844578447720628
AU-Emr,0.001154889246392719,0.7309414629060915,1.5708904182101788,0.019174964526736595,0.03398366146242513
AU-GWW,0.0022373941482504685,0.7999442755391042,3.7826697965990443,0.030317785144245962,0.04730110092006811
AU-Gin,0.0018202890940827244,0.92548883988639,1.0533000675094844,0.026207061322789858,0.04266484611577457
AU-How,0.0005006854202516433,0.8771567254744521,1.1391297611522564,0.012435526889997788,0.02237600098881932
AU-Lox,0.0008895184370877825,0.9742698364748932,0.2814174411005212,0.017794933547421978,0.029824795675541225
AU-RDF,0.0015759330165207933,0.8845337756351757,1.123854765561891,0.024293126597487353,0.039698022828861305
AU-Rig,0.0006987628714586572,0.9522777828255845,0.6695494652793723,0.016740086412997995,0.026434123239832585
AU-Rob,0.00265840295289875,0.8443662657984861,0.7535642725878438,0.029991682983996987,0.05155970280072171
AU-Stp,0.0005961795423893942,0.8797619401493084,2.413106226133794,0.013843445114518644,0.024416788125988114
AU-TTE,0.0004096525836565831,0.8453477334544934,3.1135945468694666,0.01180582335927722,0.02023987607809354
AU-Wac,0.0025891682692502503,0.4803742055928595,1.998988631149499,0.02694402780722811,0.050883870423251515
AU-Whr,0.000592538070987185,0.9105932251997305,0.5598355265487276,0.014527982013866465,0.024342104900504907
AU-Wom,0.001456432769158302,0.9457993065543667,0.706536934286158,0.02477670534743018,0.03816323845218461
AU-Ync,0.0012491771086327256,0.7566828766830205,2.012917936436548,0.021095999511114297,0.0353436997021071
BE-Bra,0.0006016577638882307,0.7860628757353126,1.971462094701815,0.013549464709470653,0.02452871304997942
BE-Dor,0.0008289951505779382,0.9462060489186842,0.6493095500659828,0.017791800066502425,0.028792275883957805
BE-Lcr,0.0008088491340310274,0.9150523586066031,0.6305501731980512,0.016344867237860727,0.02844027310050006
BE-Lon,0.0024903500440324423,0.8217749940195677,1.695399129315774,0.024698019725192217,0.04990340713851552
BE-Maa,0.0005730764352537061,0.9157456326197153,1.3980823628489603,0.014578391650271819,0.023939014918197995
BE-Vie,0.0009851665185724326,0.9164321943973437,0.8002976513061855,0.01889516593660122,0.031387362402285936
BR-Npw,0.0016847289427603487,0.7042897392517748,1.118617473706493,0.021513333538392,0.04104544972052747
BR-Sa3,0.004549379198442428,0.7968453059186956,1.2736410849499151,0.043361690494297354,0.06744908597188273
CA-ARB,0.0007430212314267914,0.9339919022454155,1.6698752341598773,0.015366758381607804,0.02725841579084873
CA-ARF,0.0009727907968326201,0.945084066479087,0.7889638526189995,0.01846079327392881,0.031189594367875644
CA-DB2,0.00033651089258510976,0.6217631329112092,3.419782943634517,0.0074852559694335566,0.018344233224234525
CA-DBB,7.09651769838826e-05,0.5349709029950094,1.4612707373941205,0.00389393142714606,0.008424083153903611
CA-Gro,0.0006010602158442619,0.9122547500555768,0.80273538914455,0.013391869487076814,0.024516529441261908
CA-LP1,0.0004079132811600468,0.8069865584395663,1.5056091303674206,0.01088429147870979,0.020196863151490798
CA-NS1,0.0007401099946216826,0.9359225193557107,0.6105604939105116,0.01706812872867458,0.02720496268370318
CA-NS2,0.0005986378155970884,0.9352965606613477,0.6994866385954381,0.014456700689464788,0.024467076155460187
CA-NS3,0.0006940993467959263,0.934732896096848,1.103550966730431,0.014863751203912982,0.026345765253564496
CA-NS4,0.00042327928772759705,0.9358570750175584,0.5249591457179588,0.010759487421413774,0.02057375239783927
CA-NS5,0.0006128215547214541,0.9602198058154696,0.4925715646278315,0.014065502211663656,0.024755232875524603
CA-NS6,0.0005250113697613253,0.9547114300254506,0.5354401016041788,0.012465712687288943,0.022913126581968802
CA-NS7,0.0005312698608416986,0.934676229158306,0.65716230747351,0.012480542209799763,0.023049291981353758
CA-Oas,0.0006439252002635959,0.9537346662766205,0.442443073183276,0.012907020336036367,0.025375681276836606
CA-Obs,0.0007012634301345712,0.9559723728807346,0.5133731627163272,0.01451604348976673,0.026481378931894225
CA-Qfo,0.0003987779080700573,0.927627528395445,0.8751022032377166,0.011535317304913308,0.019969424329961474
CA-SF1,0.0013408366677833989,0.8838554306848118,2.8636880865266554,0.02087050656339066,0.03661743666319912
