site,mse,r2,relative_error,mae,rmse
AR-SLu,0.0030501709481049514,0.9374784246595327,0.5871550812522058,0.035945190306908445,0.055228352755672075
AT-Neu,0.0018904765820323469,0.8495491674679585,1.5094396473540073,0.027391739152743292,0.04347961110718847
AU-ASM,0.0008633402577696468,0.7494735931762939,1.5118574029870708,0.01723661608251208,0.029382652327004904
AU-Cpr,0.0029955360526569014,-1.67154968723532,3.3609340639963845,0.03493852509922861,0.05473149050278917
AU-Cum,0.00042591352846855406,0.7669177709214536,1.4667823146551526,0.013787802113223618,0.020637672554543404
AU-DaP,0.0018016015480141197,0.8214882617599841,0.7683258326155263,0.020984181476904607,0.042445277099038
AU-DaS,0.000721331725168428,0.7626376573654328,1.7505474148502909,0.015733212283408966,0.026857619499286008
AU-Dry,0.001120380408302048,0.8512580534923733,2.3171109301686155,0.021731234892530465,0.033472084014922764
AU-Emr,0.003477165285652468,0.26658065520576546,1.9003535241715492,0.03163865473465039,0.0589674934659128
AU-GWW,0.002958667292626723,0.7111306415060532,3.035912498076552,0.03491434460071547,0.05439363283167179
AU-Gin,0.004078148366527765,0.9037411026970961,0.46473927022661243,0.03929803785480653,0.06386038182259612
AU-How,0.000628128658674797,0.8695955324636753,1.1790734058024201,0.015099487358208022,0.025062495060843345
AU-Lox,0.0012003453628028657,0.6133266063937935,1.5683734317042661,0.021370021040992577,0.034646000675443996
AU-RDF,0.0015233324238718895,-1.6952864373821508,2.708657339511827,0.026605734012639774,0.0390298914150666
AU-Rig,0.001325232655169011,0.9346541388102132,1.0272593875636817,0.02200603672274862,0.03640374507065188
AU-Rob,0.003439636536387482,0.7700412508445098,2.2751507799396884,0.04245755286448269,0.05864841461103175
AU-Stp,0.0016764906824671692,0.7264550269698551,2.0483310448157463,0.022775238109602938,0.040944971394142764
AU-TTE,0.0013829771787815797,0.24059140914500043,3.765513226819818,0.021268947448957905,0.03718840113236357
AU-Wac,0.00427083294467365,0.20166450679890147,4.198423367196524,0.038054102098939696,0.06535161011538775
AU-Whr,0.0006842384042270552,0.9122173614388266,0.46017084185791785,0.016371658267682863,0.026157951070889616
AU-Wom,0.0022966984482800574,0.9132234016297461,1.0261350137894563,0.0317412274295215,0.047923881815646545
AU-Ync,0.0015748856935705537,-0.21579281062428368,2.971794632995166,0.025680302382715667,0.039684829514192874
BE-Bra,0.0006694094284336511,0.7623248139722567,1.461018762969369,0.014178991001492962,0.02587294781105646
BE-Dor,0.001376859138401772,0.8999434960142152,1.6160451886635199,0.022233392543601578,0.0371060525844743
BE-Lcr,0.0027186974938465287,0.7434870865381964,2.100779087981375,0.030039511593469282,0.05214113053863072
BE-Lon,0.0059918289897297914,0.5694119953260182,2.653496082498785,0.035054667158358,0.07740690531037778
BE-Maa,0.005973900767367055,0.6775334525753248,0.6929967332356216,0.041599000553368744,0.07729101349682933
BE-Vie,0.0012618142193508153,0.8951334208313236,1.0721178488377738,0.020669507688832314,0.03552202442641488
BR-Npw,0.002261673617598201,0.624696813681573,2.6678442097480604,0.029181911182577104,0.04755705644379392
BR-Sa3,0.006595104119964087,0.7481607469113851,1.5240713697557997,0.05086121952410349,0.08121024639763191
CA-ARB,0.0027354630074996507,0.8331064409962314,1.1501177488783327,0.028755182638767855,0.05230165396523948
CA-ARF,0.0014545271210463838,0.9168160945830001,0.6851307658054194,0.021813284654990828,0.03813826321486578
CA-DB2,0.00014162259256277643,0.004798318630025111,1.2027976835044276,0.006834135217305993,0.011900529087514405
CA-DBB,5.902870726928041e-05,0.5141694034655423,2.735350686265434,0.004107531790408824,0.007683014204677771
CA-Gro,0.0007481077231468427,0.8580263943261549,0.8067156741137159,0.014280269225167092,0.02735155796562314
CA-LP1,0.0029559641451089025,0.7015230250647302,1.2778417248042675,0.027815405454956598,0.05436877913940042
CA-NS1,0.0017257467275709755,0.880718627208859,0.9578175918147016,0.02670272430233834,0.04154210788550547
CA-NS2,0.0011794987121788371,0.8975917146232247,0.9022854388091639,0.022478930047844105,0.03434383077320929
CA-NS3,0.0016289810421310253,0.8715462182757583,1.2271232862396986,0.02281535434139435,0.04036063728598726
CA-NS4,0.0011803019425344866,0.8583121772970622,2.055796409667694,0.02246636518305456,0.03435552273702856
CA-NS5,0.0012771360430398728,0.9401313197907385,0.829481931640713,0.021381898346783414,0.03573704021096141
CA-NS6,0.0014570748378110406,0.9268168138675019,0.521169828543858,0.019758626155278285,0.03817164966059288
CA-NS7,0.0016980417467474828,0.8111147713756814,2.4692774015004297,0.023098237667614648,0.04120730210469357
CA-Oas,0.0007980179667439601,0.9407998070037403,0.6951977308316105,0.013342512307464957,0.02824921178978203
CA-Obs,0.001043003361550032,0.9476038172767415,0.981387780412864,0.018095113623720214,0.03229556256748026
CA-Qfo,0.0005438181959571396,0.9144178139092578,0.8237665643718156,0.013884623795147547,0.023319909861685563
