,site,longitude,latitude,balanced_cluster
0,AR-SLu,-66.4598,-33.4648,2
1,AT-Neu,11.3175001144409,47.1166687011718,5
2,AU-ASM,133.249,-22.283,2
3,AU-Cpr,140.5891,-34.0021,2
4,AU-Cum,150.7236,-33.6152,2
5,AU-DaP,131.3181,-14.0633,2
6,AU-DaS,131.3881,-14.1593,2
7,AU-Dry,132.3706,-15.2588,2
8,AU-Emr,148.4746,-23.8587,2
9,AU-GWW,120.6541,-30.1913,2
10,AU-Gin,115.7138,-31.3764,2
11,AU-How,131.1523,-12.4943,2
12,AU-Lox,140.6551,-34.4704,2
13,AU-RDF,132.4776,-14.5636,2
14,AU-Rig,145.5759,-36.6499,2
15,AU-Rob,145.6301,-17.1175,2
16,AU-Stp,133.3502,-17.1507,2
17,AU-TTE,133.64,-22.287,2
18,AU-Wac,145.1878,-37.4259,2
19,AU-Whr,145.0294,-36.6732,2
20,AU-Wom,144.0944,-37.4222,2
21,AU-Ync,146.291606,-34.988282,2
22,BE-Bra,4.51984,51.30761,0
23,BE-Dor,4.968011,50.311928,0
24,BE-Lcr,3.85043,51.11218,0
25,BE-Lon,4.7462339,50.5516198,0
26,BE-Maa,5.6318611,50.9801111,0
27,BE-Vie,5.99811511350303,50.3049329013726,5
28,BR-Npw,-56.412,-16.498,9
29,BR-Sa3,-54.9714,-3.018,8
30,CA-ARB,-83.9452,52.695,6
31,CA-ARF,-83.955,52.7008,6
32,CA-DB2,-122.9951,49.119,7
33,CA-DBB,-122.9849,49.1293,7
34,CA-Gro,-82.1556,48.2167,8
35,CA-LP1,-122.8414,55.1119,4
36,CA-NS1,-98.4839,55.8792,4
37,CA-NS2,-98.5247,55.9058,4
38,CA-NS3,-98.3822,55.9117,4
39,CA-NS4,-98.3806,55.9144,4
40,CA-NS5,-98.485,55.8631,4
41,CA-NS6,-98.9644,55.9167,4
42,CA-NS7,-99.9483,56.6358,4
43,CA-Oas,-106.1978,53.6289,6
44,CA-Obs,-105.1178,53.9872,9
45,CA-Qfo,-74.3421,49.6925,4
46,CA-SF1,-105.8176,54.485,9
47,CA-SF2,-105.8775,54.2539,9
48,CA-SF3,-106.0053,54.0916,9
49,CA-TP1,-80.5595,42.6609,8
50,CA-TP4,-80.3574,42.7102,8
51,CA-TPD,-80.5577,42.6353,8
52,CH-Aws,9.790417,46.583194,5
53,CH-Cha,8.410444444,47.21022222,5
54,CH-Dav,9.85591,46.81533,5
55,CH-Fru,8.537777778,47.11583333,5
56,CH-Lae,8.365,47.47808333,5
57,CH-Oe1,7.731944444,47.28583333,5
58,CH-Oe2,7.734333333,47.28630556,5
59,CN-Cha,128.0958,42.4025,4
60,CN-Cng,123.5092,44.5934,4
61,CN-Dan,91.0664,30.4978,2
62,CN-Din,112.5361,23.1733,4
63,CN-Du2,116.283611,42.046667,4
64,CN-Du3,116.2809,42.0551,4
65,CN-Ha2,101.3269,37.6086,4
66,CN-HaM,101.18,37.37,4
67,CN-Qia,115.066338,26.733959,4
68,CN-Sw2,111.8971,41.7902,4
69,CZ-BK1,18.5368595123291,49.5021286010742,9
70,CZ-BK2,18.54285,49.49443,9
71,CZ-KrP,15.078773,49.573257,9
72,CZ-Lnz,16.946416,48.681611,9
73,CZ-RAJ,16.6965125,49.4437236,9
74,CZ-Stn,17.9699,49.035975,9
75,CZ-wet,14.77035,49.02465,9
76,DE-Geb,10.91463,51.09973,0
77,DE-Gri,13.51259,50.95004,6
78,DE-Hai,10.453,51.07916667,5
79,DE-HoH,11.219222,52.085306,0
80,DE-Hte,12.176111,54.210278,6
81,DE-Hzd,13.48978,50.96381,6
82,DE-Kli,13.52238,50.89306,6
83,DE-Lkb,13.30466667,49.09961667,0
84,DE-Lnf,10.3678,51.3282167,5
85,DE-Obe,13.72129,50.78666,6
86,DE-RuR,6.3041256,50.6219142,5
87,DE-RuS,6.447144704,50.86590702,5
88,DE-RuW,6.33101886,50.50490703,5
89,DE-Seh,6.44965306,50.8706233,5
90,DE-SfN,11.3275,47.806389,5
91,DE-Tha,13.56515,50.96256,6
92,DK-Fou,9.58722019195556,56.4841995239257,6
93,DK-Gds,9.3341,56.0737,6
94,DK-Skj,8.4048,55.9127,6
95,DK-Sor,11.6446444,55.4858694,6
96,DK-Vng,9.16070962,56.0374765,6
97,ES-Abr,-6.785881,38.701839,4
98,ES-Agu,-2.033208,36.940046,9
99,ES-Amo,-2.252318,36.833608,9
100,ES-LJu,-2.752115,36.926594,9
101,ES-LM1,-5.778683,39.94269,9
102,ES-LM2,-5.775881,39.934592,9
103,ES-LgS,-2.965833,37.097936,9
104,FI-Hyy,24.29477,61.84741,0
105,FI-Ken,24.24305,67.98723,0
106,FI-Let,23.95952,60.64183,0
107,FI-Lom,24.209178,67.997239,0
108,FI-Qvd,22.391607,60.295242,0
109,FI-Sii,24.19285,61.83265,0
110,FI-Sod,26.63859066,67.36238641,0
111,FI-Var,29.61,67.7549,6
112,FR-Aur,1.106096,43.549653,6
113,FR-Bil,-0.956082,44.493672,6
114,FR-EM2,3.02065,49.8721083,0
115,FR-FBn,5.67865,43.24079,5
116,FR-Fon,2.780096,48.476358,0
117,FR-Gri,1.95191,48.84422,6
118,FR-Hes,7.06465,48.6741,5
119,FR-LBr,-0.7693,44.71711,6
120,FR-LGt,2.284102,47.322917,0
121,FR-Lam,1.23785,43.49648,6
122,FR-Mej,-1.796318293,48.1183815,6
123,FR-Pue,3.5957,43.7413,0
124,FR-Tou,1.37474,43.572855,6
125,GF-Guy,-52.924861907959,5.27877187728882,9
126,GH-Ank,-2.69420592,5.26854275,4
127,GL-NuF,-51.38611,64.13083,2
128,GL-ZaF,-20.554517,74.481433,6
129,GL-ZaH,-20.5503,74.47328,6
130,IL-Yat,35.0519885122776,31.345044585655,2
131,IT-BCi,14.95744444,40.52375,9
132,IT-BFt,10.742714,45.202225,5
133,IT-CA1,12.02656111,42.38041111,0
134,IT-CA2,12.02603889,42.37721944,0
135,IT-CA3,12.0222,42.38,0
136,IT-Col,13.58814,41.84936,9
137,IT-Cp2,12.3572931289673,41.7042655944824,9
138,IT-Cpz,12.3761058,41.7052493,9
139,IT-Isp,8.633579,45.812643,5
140,IT-La2,11.2853,45.9542,5
141,IT-Lav,11.28132,45.9562,5
142,IT-Lsn,12.750297,45.740481,5
143,IT-MBo,11.045831,46.014678,5
