location,mse
-12.4943_131.1523,2.281393486976873e-15
-14.0633_131.3181,2.8063281355184247e-15
-14.1593_131.3881,1.2140844178671128e-14
-14.5636_132.4776,2.6246179948882634e-15
-15.2588_132.3706,1.0094813036924486e-15
-15.4378_23.2528,4.106277690015947e-15
-16.498_-56.412,1.9086895129735072e-14
-17.1175_145.6301,1.3154777725011836e-14
-17.1507_133.3502,1.2467107586964387e-15
-22.283_133.249,9.991023227272901e-16
-22.287_133.64,1.529852201671217e-15
-23.8587_148.4746,1.024132425499149e-15
-3.018_-54.9714,1.596186158117182e-14
-30.1913_120.6541,8.397416911023282e-16
-31.3764_115.7138,3.0115458149149712e-15
-33.4648_-66.4598,2.4092839453943332e-14
-33.6152_150.7236,2.70903695394742e-15
-34.0021_140.5891,9.28778620994219e-16
-34.4704_140.6551,2.160638637913863e-15
-34.9883_146.2916,1.2680308905947943e-15
-36.6499_145.5759,1.3559121073500273e-15
-36.6732_145.0294,4.139762004726204e-15
-37.4222_144.0944,1.8955171840044397e-14
-37.4259_145.1878,1.1284257034343131e-14
13.2829_30.4783,4.4930392605601586e-15
2.973_102.3062,1.1813966106203236e-14
23.1733_112.5361,4.627706591859788e-15
26.734_115.0663,2.18407188742805e-15
27.8446_-109.2977,1.6180434853887744e-15
28.125_-81.4362,3.9928300530563515e-15
28.4583_-80.6709,4.142915469974252e-15
28.6086_-80.6715,6.725348620397389e-15
28.7085_-80.7427,1.972097453948132e-15
29.6893_-81.9934,4.82403402292071e-15
30.4978_91.0664,1.3366458444833725e-15
31.1948_-84.4686,3.723343621852788e-15
31.345_35.052,1.1877773518519725e-15
31.7365_-109.9419,7.875378916684635e-16
31.7438_-110.0522,1.3641412051339374e-15
31.7894_-110.8277,1.0736105869044992e-15
31.8214_-110.8661,1.394197993004195e-15
31.9083_-110.8395,1.205236291502172e-15
31.9107_-110.8355,1.382317828059641e-15
32.5417_-87.8039,2.312451905713551e-15
32.5849_-106.6032,9.777990246507153e-16
32.9505_-87.3933,1.6056633383023535e-15
33.3455_-79.1957,1.3439863980162756e-15
33.4012_-97.57,7.051710301119595e-15
34.2547_-89.8735,7.788224567387495e-15
34.3349_-106.7442,1.4295880163008198e-15
34.3623_-106.7019,1.3740695171289618e-15
34.4255_-105.8615,1.5380735668655646e-15
34.4384_-106.2377,9.73750621564531e-16
34.9604_-97.9789,2.1107676331411434e-15
35.2617_137.0786,6.459519939497851e-15
35.4106_-99.0588,1.1347637850218586e-15
35.5465_-98.04,1.1693827556768016e-15
35.5497_-98.0402,1.6347553296264762e-15
35.689_-83.5019,6.096077057141566e-15
35.7879_-75.9038,4.734300333922611e-15
35.8118_-76.7119,1.2790879172996826e-15
36.3566_-119.8423,1.202337169561481e-15
36.4267_-99.42,5.412414589205975e-15
36.6058_-97.4888,1.472053441529584e-15
36.6358_-99.5975,9.83510274833624e-16
36.8193_-97.8198,3.2383003977499325e-14
36.8336_-2.2523,3.8783407183385545e-15
36.9266_-2.7521,1.32255216274836e-15
36.94_-2.0332,1.4712366835430004e-15
37.0979_-2.9658,1.0412568303043672e-15
37.3783_-80.5248,3.404278076677915e-15
37.37_101.18,1.4012837856057859e-15
37.6086_101.3269,1.1320055220974593e-15
37.6156_-122.114,8.556646151794824e-16
38.0369_-121.7547,1.0339198832663507e-14
38.0402_-121.7272,4.4656380979195e-15
38.0498_-121.7651,1.0900188551621704e-15
38.1022_-121.5042,9.675750912795268e-15
38.103_-121.6414,1.3116929594473521e-15
38.1087_-121.653,1.005161848315179e-15
38.109_-121.535,1.7689330185539962e-15
38.1159_-121.6467,4.476743757431265e-14
38.2483_-109.3883,1.3529654773780342e-15
38.4133_-120.9507,1.1229009261079898e-15
38.4316_-120.966,2.402277255497863e-15
38.7018_-6.7859,2.1110365636613396e-15
38.7441_-92.2,5.45548070729288e-14
38.7745_-97.5684,1.0682805394705453e-14
38.8901_-76.56,6.458644971224672e-15
38.8953_-120.6328,4.240272040259122e-15
39.0404_-95.1921,3.0659725744225834e-14
39.0561_-95.1907,1.3486435929404026e-15
39.1008_-96.5631,4.655407506306075e-15
39.1104_-96.6129,1.5565654462204132e-15
39.9346_-5.7759,5.964401162030991e-15
39.9427_-5.7787,6.312591869557154e-15
40.0329_-105.5464,1.4897004635597363e-15
40.1776_-112.4524,4.238354092113572e-15
40.2759_-105.5459,1.2759533726037898e-15
40.5238_14.9574,1.664076593315209e-14
40.6062_8.1512,7.869555032761248e-15
40.8155_-104.7456,1.3883836466973824e-15
40.8608_-77.8488,2.389656205938264e-14
41.3665_-106.2399,1.7445868668098128e-15
41.3795_-82.5125,1.386092216909569e-14
41.4646_-82.9962,1.3538406100622262e-15
41.5545_-83.8438,1.4813189020934716e-15
41.6285_-83.3471,1.5051627796392676e-15
41.7043_12.3573,6.146822418817741e-15
41.7052_12.3761,7.99330706125967e-15
41.7902_111.8971,9.764185878588552e-16
41.8406_-88.241,1.1481466315211884e-15
41.8494_13.5881,2.5432903487467026e-14
42.0467_116.2836,1.127546954143882e-15
42.0551_116.2809,1.769763565063173e-15
42.3772_12.026,1.2992248450551682e-15
42.3804_12.0266,1.9841251742129867e-14
42.38_12.0222,9.578671170448971e-16
42.3903_11.9209,1.3781817417991976e-15
42.4025_128.0958,1.2748045147323134e-15
42.4081_11.93,5.033764296113724e-15
42.5369_-72.1727,1.2088359008574874e-15
42.6353_-80.5577,1.3784545490793434e-15
42.6609_-80.5595,1.5363496861388825e-15
42.7102_-80.3574,2.495345766989445e-15
43.2408_5.6786,2.7702463626086102e-15
43.4965_1.2378,7.795533011781319e-15
43.5497_1.1061,4.0389592121134205e-15
43.5729_1.3747,1.493541005260546e-15
43.7279_10.2844,2.3291423804652625e-15
43.732_10.291,5.569677911156248e-15
43.7413_3.5957,3.2284104182857653e-15
44.0639_-71.2873,1.4369730977093347e-15
44.1031_-89.5379,5.995614401527739e-14
44.1394_-89.5727,9.105831302915481e-16
44.1597_-89.5475,9.423833876173566e-15
44.3154_-121.6078,1.132343291943797e-15
44.3233_-121.6078,4.2803460662574594e-15
44.4372_-121.5668,2.0389810766086346e-15
44.4523_-121.5574,1.1031310632326775e-15
44.4937_-0.9561,2.245752945081368e-14
44.4992_-121.6224,6.41920207661512e-15
44.5794_-121.5,9.93663951764627e-16
44.5934_123.5092,8.714109064954385e-16
44.6781_-93.0723,1.0864141176056769e-15
44.691_-93.0576,1.2804737632180107e-15
44.6946_-93.0578,1.2264746116296787e-15
44.7143_-93.0898,1.207479314218685e-15
44.7171_-0.7693,1.2041077796089725e-14
44.9535_-110.5391,1.3921697709223677e-15
45.2009_9.061,1.9611851657566773e-15
45.2022_10.7427,4.3086462940679334e-15
45.2091_-68.747,2.224783344607688e-15
45.4937_-89.5857,1.2981015440727086e-14
