location,mse
-12.4943_131.1523,2.430471373027152e-15
-14.0633_131.3181,1.3377581487653142e-15
-14.1593_131.3881,9.906288930003466e-15
-14.5636_132.4776,2.476604395868819e-15
-15.2588_132.3706,1.0822605109263127e-15
-15.4378_23.2528,1.0570833382009245e-14
-16.498_-56.412,1.5241980165065e-14
-17.1175_145.6301,1.3695828921933747e-14
-17.1507_133.3502,1.0342135900166766e-15
-22.283_133.249,8.56977556324508e-16
-22.287_133.64,1.3462927809258298e-15
-23.8587_148.4746,1.0969814640487113e-15
-3.018_-54.9714,1.711453625156764e-14
-30.1913_120.6541,6.972039920814696e-16
-31.3764_115.7138,2.726692114271897e-15
-33.4648_-66.4598,1.200787292648654e-14
-33.6152_150.7236,2.757871578068455e-15
-34.0021_140.5891,7.81977136085899e-16
-34.4704_140.6551,9.445438033546005e-16
-34.9883_146.2916,1.1067440478357047e-15
-36.6499_145.5759,1.2964761756347633e-15
-36.6732_145.0294,4.88332138327364e-15
-37.4222_144.0944,2.5951678720567478e-14
-37.4259_145.1878,6.8615112623668205e-15
13.2829_30.4783,4.845208778213776e-15
2.973_102.3062,7.456901394397019e-15
23.1733_112.5361,2.2334138060389663e-15
26.734_115.0663,1.4266000224249227e-15
27.8446_-109.2977,9.607986488365895e-16
28.125_-81.4362,1.671215806082593e-15
28.4583_-80.6709,3.3653331166524487e-15
28.6086_-80.6715,3.1456177015192416e-15
28.7085_-80.7427,1.8065931550728563e-15
29.6893_-81.9934,4.936137247922576e-15
30.4978_91.0664,1.1655836493581242e-15
31.1948_-84.4686,7.849133488244268e-15
31.345_35.052,1.0951320228008646e-15
31.7365_-109.9419,6.76534423149195e-16
31.7438_-110.0522,1.1968455371285652e-15
31.7894_-110.8277,1.106293540771735e-15
31.8214_-110.8661,1.221329576589107e-15
31.9083_-110.8395,1.1284755856350336e-15
31.9107_-110.8355,1.2019611279851064e-15
32.5417_-87.8039,3.988386263981831e-15
32.5849_-106.6032,1.4458585604378125e-15
32.9505_-87.3933,1.3402341076706765e-15
33.3455_-79.1957,1.087765707297916e-15
33.4012_-97.57,5.51332145375716e-15
34.2547_-89.8735,6.910733628353481e-15
34.3349_-106.7442,1.2037059748122382e-15
34.3623_-106.7019,1.1831786026308518e-15
34.4255_-105.8615,1.0519441334971396e-15
34.4384_-106.2377,8.46357405485793e-16
34.9604_-97.9789,1.3712323807024128e-15
35.2617_137.0786,9.135429226676215e-15
35.4106_-99.0588,8.741200585151165e-16
35.5465_-98.04,1.1041093848743276e-15
35.5497_-98.0402,1.5768580876885162e-15
35.689_-83.5019,8.249715395931362e-15
35.7879_-75.9038,1.6019983650071833e-15
35.8118_-76.7119,1.0039124869614763e-15
36.3566_-119.8423,1.0431657577425299e-15
36.4267_-99.42,1.2749402481482915e-15
36.6058_-97.4888,1.3930330102672258e-15
36.6358_-99.5975,1.1250089508711913e-15
36.8193_-97.8198,3.1188424104873665e-14
36.8336_-2.2523,3.738303011396419e-15
36.9266_-2.7521,1.0874016402885012e-15
36.94_-2.0332,1.4590631271730043e-15
37.0979_-2.9658,1.0250915036612573e-15
37.3783_-80.5248,6.091238530692165e-16
37.37_101.18,1.2262210684919128e-15
37.6086_101.3269,1.147050102241171e-15
37.6156_-122.114,8.877888396282355e-16
38.0369_-121.7547,9.122186389289169e-15
38.0402_-121.7272,3.873243103930233e-15
38.0498_-121.7651,1.052793365705759e-15
38.1022_-121.5042,1.0829964796093119e-14
38.103_-121.6414,1.006738934802399e-15
38.1087_-121.653,9.622322434713408e-16
38.109_-121.535,1.58889045968047e-15
38.1159_-121.6467,4.875115804410283e-14
38.2483_-109.3883,1.1240686963906728e-15
38.4133_-120.9507,1.1369150186945993e-15
38.4316_-120.966,1.5653260599614924e-15
38.7018_-6.7859,1.4122003135157893e-15
38.7441_-92.2,5.5905592826751065e-14
38.7745_-97.5684,1.9730703318991512e-14
38.8901_-76.56,1.0443592262099056e-15
38.8953_-120.6328,2.5227084935039843e-15
39.0404_-95.1921,3.216697910676516e-14
39.0561_-95.1907,1.0949180050892728e-15
39.1008_-96.5631,7.914913669207581e-15
39.1104_-96.6129,1.3127723423084837e-15
39.9346_-5.7759,9.236743881916875e-15
39.9427_-5.7787,1.0184936686407622e-14
40.0329_-105.5464,1.1021743394780665e-15
